[DARBY | EN | OT | Psalms | Chapter 62 | Verse 1] Upon God alone doth my soul rest peacefully; from him is my salvation.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 2] He only is my rock and my salvation; my high fortress: I shall not be greatly moved.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 3] How long will ye assail a man; will ye [seek], all of you, to break him down as a bowing wall or a tottering fence?
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 4] They only consult to thrust [him] down from his excellency; they delight in lies; they bless with their mouth, but in their inward part they curse. Selah.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 5] Upon God alone, O my soul, rest peacefully; for my expectation is from him.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 6] He only is my rock and my salvation; my high fortress: I shall not be moved.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 7] With God is my salvation and my glory; the rock of my strength, my refuge is in God.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 8] Confide in him at all times, ye people; pour out your heart before him: God is our refuge. Selah.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 9] Men of low degree are only vanity; men of high degree, a lie: laid in the balance, they go up together [lighter] than vanity.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 10] Put not confidence in oppression, and become not vain in robbery; if wealth increase, set not your heart upon it.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 11] Once hath God spoken, twice have I heard this, that strength [belongeth] unto God.
[DARBY | EN | OT | Psalms | Chapter 62 | Verse 12] And unto thee, O Lord, [belongeth] loving-kindness; for thou renderest to every man according to his work.
