[DARBY | EN | OT | Psalms | Chapter 103 | Verse 1] Bless Jehovah, O my soul; and all that is within me, [bless] his holy name!
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 2] Bless Jehovah, O my soul, and forget not all his benefits:
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 3] Who forgiveth all thine iniquities, who healeth all thy diseases;
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 4] Who redeemeth thy life from the pit, who crowneth thee with loving-kindness and tender mercies;
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 5] Who satisfieth thine old age with good [things]; thy youth is renewed like the eagle's.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 6] Jehovah executeth righteousness and justice for all that are oppressed.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 7] He made known his ways unto Moses, his acts unto the children of Israel.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 8] Jehovah is merciful and gracious, slow to anger, and abundant in loving-kindness.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 9] He will not always chide, neither will he keep [his anger] for ever.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 10] He hath not dealt with us according to our sins, nor rewarded us according to our iniquities.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 11] For as the heavens are high above the earth, so great is his loving-kindness toward them that fear him.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 12] As far as the east is from the west, so far hath he removed our transgressions from us.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 13] As a father pitieth [his] children, so Jehovah pitieth them that fear him.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 14] For himself knoweth our frame; he remembereth that we are dust.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 15] As for man, his days are as grass; as a flower of the field, so he flourisheth:
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 16] For the wind passeth over it, and it is gone, and the place thereof knoweth it no more.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 17] But the loving-kindness of Jehovah is from everlasting and to everlasting, upon them that fear him, and his righteousness unto children's children,
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 18] To such as keep his covenant and to those that remember his precepts to do them.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 19] Jehovah hath established his throne in the heavens, and his kingdom ruleth over all.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 20] Bless Jehovah, ye his angels, mighty in strength, that execute his word, hearkening unto the voice of his word.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 21] Bless Jehovah, all ye his hosts; ye ministers of his that do his will.
[DARBY | EN | OT | Psalms | Chapter 103 | Verse 22] Bless Jehovah, all his works, in all places of his dominion. Bless Jehovah, O my soul!
