[DARBY | EN | OT | Psalms | Chapter 33 | Verse 1] Exult, ye righteous, in Jehovah: praise is comely for the upright.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 2] Give thanks unto Jehovah with the harp; sing psalms unto him with the ten-stringed lute.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 3] Sing unto him a new song; play skilfully with a loud sound.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 4] For the word of Jehovah is right, and all his work is in faithfulness.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 5] He loveth righteousness and judgment: the earth is full of the loving-kindness of Jehovah.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 6] By the word of Jehovah were the heavens made, and all the host of them by the breath of his mouth.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 7] He gathereth the waters of the sea together as a heap; he layeth up the deeps in storehouses.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 8] Let all the earth fear Jehovah; let all the inhabitants of the world stand in awe of him.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 9] For he spoke, and it was [done]; he commanded, and it stood fast.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 10] Jehovah frustrateth the counsel of the nations; he maketh the thoughts of the peoples of none effect.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 11] The counsel of Jehovah standeth for ever, the thoughts of his heart from generation to generation.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 12] Blessed is the nation whose God is Jehovah, the people that he hath chosen for his inheritance!
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 13] Jehovah looketh from the heavens; he beholdeth all the sons of men:
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 14] From the place of his habitation he looketh forth upon all the inhabitants of the earth;
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 15] He who fashioneth the hearts of them all, who considereth all their works.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 16] The king is not saved by the multitude of [his] forces; a mighty man is not delivered by much strength.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 17] The horse is a vain thing for safety; neither doth he deliver by his great power.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 18] Behold, the eye of Jehovah is upon them that fear him, upon them that hope in his loving-kindness,
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 19] To deliver their soul from death, and to keep them alive in famine.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 20] Our soul waiteth for Jehovah: he is our help and our shield.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 21] For in him shall our heart rejoice, because we have confided in his holy name.
[DARBY | EN | OT | Psalms | Chapter 33 | Verse 22] Let thy loving-kindness, O Jehovah, be upon us, according as we have hoped in thee.
