[DARBY | EN | OT | Psalms | Chapter 16 | Verse 1] Preserve me, O God: for I trust in thee.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 2] Thou [my soul] hast said to Jehovah, Thou art the Lord: my goodness [extendeth] not to thee; —
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 3] To the saints that are on the earth, and to the excellent [thou hast said], In them is all my delight.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 4] Their sorrows shall be multiplied that hasten after another: their drink-offerings of blood will I not offer, and I will not take up their names into my lips.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 5] Jehovah is the portion of mine inheritance and of my cup: thou maintainest my lot.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 6] The lines are fallen unto me in pleasant places; yea, I have a goodly heritage.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 7] I will bless Jehovah, who giveth me counsel; even in the nights my reins instruct me.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 8] I have set Jehovah continually before me; because [he is] at my right hand, I shall not be moved.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 9] Therefore my heart rejoiceth, and my glory exulteth; my flesh moreover shall dwell in hope.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 10] For thou wilt not leave my soul to Sheol, neither wilt thou allow thy Holy One to see corruption.
[DARBY | EN | OT | Psalms | Chapter 16 | Verse 11] Thou wilt make known to me the path of life: thy countenance is fulness of joy; at thy right hand are pleasures for evermore.
