[DARBY | EN | OT | Psalms | Chapter 69 | Verse 1] Save me, O God; for the waters are come in unto [my] soul.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 2] I sink in deep mire, where there is no standing; I am come into the depths of waters, and the flood overfloweth me.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 3] I am weary with my crying, my throat is parched; mine eyes fail while I wait for my God.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 4] They that hate me without a cause are more than the hairs of my head; they that would destroy me, being mine enemies wrongfully, are mighty: then I restored that which I took not away.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 5] Thou, O God, knowest my foolishness, and my trespasses are not hidden from thee.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 6] Let not them that wait on thee, Lord, Jehovah of hosts, be ashamed through me; let not those that seek thee be confounded through me, O God of Israel.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 7] Because for thy sake I have borne reproach; confusion hath covered my face.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 8] I am become a stranger unto my brethren, and an alien unto my mother's sons;
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 9] For the zeal of thy house hath devoured me, and the reproaches of them that reproach thee have fallen upon me.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 10] And I wept, my soul was fasting: that also was to my reproach; —
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 11] And I made sackcloth my garment: then I became a proverb to them.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 12] They that sit in the gate talk of me, and [I am] the song of the drunkards.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 13] But as for me, my prayer is unto thee, Jehovah, in an acceptable time: O God, in the abundance of thy loving-kindness answer me, according to the truth of thy salvation:
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 14] Deliver me out of the mire, let me not sink; let me be delivered from them that hate me, and out of the depths of waters.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 15] Let not the flood of waters overflow me, neither let the deep swallow me up; and let not the pit shut its mouth upon me.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 16] Answer me, O Jehovah; for thy loving-kindness is good: according to the abundance of thy tender mercies, turn toward me;
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 17] And hide not thy face from thy servant, for I am in trouble: answer me speedily.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 18] Draw nigh unto my soul, be its redeemer; ransom me because of mine enemies.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 19] Thou knowest my reproach, and my shame, and my dishonour: mine adversaries are all before thee.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 20] Reproach hath broken my heart, and I am overwhelmed: and I looked for sympathy, but there was none; and for comforters, but I found none.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 21] Yea, they gave me gall for my food, and in my thirst they gave me vinegar to drink.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 22] Let their table become a snare before them, and their very welfare a trap;
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 23] Let their eyes be darkened, that they see not, and make their loins continually to shake.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 24] Pour out thine indignation upon them, and let the fierceness of thine anger take hold of them.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 25] Let their habitation be desolate; let there be no dweller in their tents.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 26] For they persecute him whom thou hast smitten, and they talk for the sorrow of those whom thou hast wounded.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 27] Add iniquity unto their iniquity, and let them not come into thy righteousness.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 28] Let them be blotted out of the book of life, and not be written with the righteous.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 29] But I am afflicted and sorrowful: let thy salvation, O God, set me secure on high.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 30] I will praise the name of God with a song, and will magnify him with thanksgiving;
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 31] And it shall please Jehovah more than an ox, — a bullock with horns and cloven hoofs.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 32] The meek shall see it, they shall be glad; ye that seek God, your heart shall live.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 33] For Jehovah heareth the needy, and despiseth not his prisoners.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 34] Let heavens and earth praise him; the seas, and everything that moveth therein.
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 35] For God will save Zion, and will build the cities of Judah; and they shall dwell there, and possess it:
[DARBY | EN | OT | Psalms | Chapter 69 | Verse 36] And the seed of his servants shall inherit it, and they that love his name shall dwell therein.
