[DARBY | EN | OT | Psalms | Chapter 102 | Verse 1] Jehovah, hear my prayer, and let my cry come unto thee.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 2] Hide not thy face from me: in the day of my trouble, incline thine ear unto me; in the day I call, answer me speedily.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 3] For my days are consumed like smoke, and my bones are burned as a firebrand.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 4] My heart is smitten and withered like grass; yea, I have forgotten to eat my bread.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 5] By reason of the voice of my groaning, my bones cleave to my flesh.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 6] I am become like the pelican of the wilderness, I am as an owl in desolate places;
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 7] I watch, and am like a sparrow alone upon the housetop.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 8] Mine enemies reproach me all the day; they that are mad against me swear by me.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 9] For I have eaten ashes like bread, and mingled my drink with weeping,
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 10] Because of thine indignation and thy wrath; for thou hast lifted me up, and cast me down.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 11] My days are like a lengthened-out shadow, and I, I am withered like grass.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 12] But thou, Jehovah, abidest for ever, and thy memorial from generation to generation.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 13] Thou wilt rise up, thou wilt have mercy upon Zion: for it is the time to be gracious to her, for the set time is come.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 14] For thy servants take pleasure in her stones, and favour her dust.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 15] And the nations shall fear the name of Jehovah, and all the kings of the earth thy glory.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 16] When Jehovah shall build up Zion, he will appear in his glory.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 17] He will regard the prayer of the destitute one, and not despise their prayer.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 18] This shall be written for the generation to come; and a people that shall be created shall praise Jah:
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 19] For he hath looked down from the height of his sanctuary; from the heavens hath Jehovah beheld the earth,
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 20] To hear the groaning of the prisoner, to loose those that are appointed to die;
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 21] That the name of Jehovah may be declared in Zion, and his praise in Jerusalem,
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 22] When the peoples shall be gathered together, and the kingdoms, to serve Jehovah.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 23] He weakened my strength in the way, he shortened my days.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 24] I said, My God, take me not away in the midst of my days! ...Thy years are from generation to generation.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 25] Of old hast thou founded the earth, and the heavens are the work of thy hands:
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 26] They shall perish, but thou continuest; and all of them shall grow old as a garment: as a vesture shalt thou change them, and they shall be changed.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 27] But thou art the Same, and thy years shall have no end.
[DARBY | EN | OT | Psalms | Chapter 102 | Verse 28] The children of thy servants shall abide, and their seed shall be established before thee.
