[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 1] Manasseh was twelve years old when he began to reign, and reigned fifty and five years in Jerusalem. And his mother’s name was Hephzi-bah.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 2] And he did that which was evil in the sight of the Lord, after the abominations of the heathen, whom the Lord cast out before the children of Israel.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 3] For he built up again the high places which Hezekiah his father had destroyed; and he reared up altars for Baal, and made a grove, as did Ahab king of Israel; and worshipped all the host of heaven, and served them.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 4] And he built altars in the house of the Lord, of which the Lord said, In Jerusalem will I put my name.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 5] And he built altars for all the host of heaven in the two courts of the house of the Lord.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 6] And he made his son pass through the fire, and observed times, and used enchantments, and dealt with familiar spirits and wizards: he wrought much wickedness in the sight of the Lord, to provoke him to anger.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 7] And he set a graven image of the grove that he had made in the house, of which the Lord said to David, and to Solomon his son, In this house, and in Jerusalem, which I have chosen out of all tribes of Israel, will I put my name for ever:
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 8] neither will I make the feet of Israel move any more out of the land which I gave their fathers; only if they will observe to do according to all that I have commanded them, and according to all the law that my servant Moses commanded them.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 9] But they hearkened not: and Manasseh seduced them to do more evil than did the nations whom the Lord destroyed before the children of Israel.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 10] And the Lord spake by his servants the prophets, saying,
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 11] Because Manasseh king of Judah hath done these abominations, and hath done wickedly above all that the Amorites did, which were before him, and hath made Judah also to sin with his idols:
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 12] therefore thus saith the Lord God of Israel, Behold, I am bringing such evil upon Jerusalem and Judah, that whosoever heareth of it, both his ears shall tingle.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 13] And I will stretch over Jerusalem the line of Samaria, and the plummet of the house of Ahab: and I will wipe Jerusalem as a man wipeth a dish, wiping it, and turning it upside down.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 14] And I will forsake the remnant of mine inheritance, and deliver them into the hand of their enemies; and they shall become a prey and a spoil to all their enemies;
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 15] because they have done that which was evil in my sight, and have provoked me to anger, since the day their fathers came forth out of Egypt, even unto this day.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 16] Moreover Manasseh shed innocent blood very much, till he had filled Jerusalem from one end to another; beside his sin wherewith he made Judah to sin, in doing that which was evil in the sight of the Lord.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 17] Now the rest of the acts of Manasseh, and all that he did, and his sin that he sinned, are they not written in the book of the chronicles of the kings of Judah?
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 18] And Manasseh slept with his fathers, and was buried in the garden of his own house, in the garden of Uzza: and Amon his son reigned in his stead.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 19] Amon was twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother’s name was Meshullemeth, the daughter of Haruz of Jotbah.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 20] And he did that which was evil in the sight of the Lord, as his father Manasseh did.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 21] And he walked in all the way that his father walked in, and served the idols that his father served, and worshipped them:
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 22] and he forsook the Lord God of his fathers, and walked not in the way of the Lord.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 23] And the servants of Amon conspired against him, and slew the king in his own house.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 24] And the people of the land slew all them that had conspired against king Amon; and the people of the land made Josiah his son king in his stead.
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 25] Now the rest of the acts of Amon which he did, are they not written in the book of the chronicles of the kings of Judah?
[KJV | EN | OT | 2 Kings | Chapter 21 | Verse 26] And he was buried in his sepulchre in the garden of Uzza: and Josiah his son reigned in his stead.
