[IRV | GU | NT | Philippians | Chapter 2 | Verse 1] માટે જો ખ્રિસ્તમાં કંઈ ઉત્તેજન, જો પ્રેમનો કંઈ દિલાસો, જો પવિત્ર આત્માની કંઈ સંગત, જો કંઈ હૃદયની અનુકંપા તથા કરુણા હોય,
[IRV | GU | NT | Philippians | Chapter 2 | Verse 2] તો મારો આનંદ એવી રીતે સંપૂર્ણ કરો કે, તમે એક જ મનના થાઓ, એક સરખો પ્રેમ રાખો, એક જીવના તથા એક હૃદયના થાઓ.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 3] પક્ષાપક્ષીથી કે મિથ્યાભિમાનથી કશું કરો નહિ, દરેકે નમ્ર ભાવથી પોતાના કરતાં બીજાઓને ઉત્તમ ગણવા.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 4] તમે દરેક માત્ર પોતાના હિત પર જ નહિ, પણ બીજાઓનાં હિત પર પણ લક્ષ રાખો.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 5] ખ્રિસ્ત ઈસુનું મન જેવું હતું, તેવું તમે પણ રાખો
[IRV | GU | NT | Philippians | Chapter 2 | Verse 6] પોતે ઈશ્વરના રૂપમાં હોવા છતાં, તેમણે ઈશ્વર સમાન હોવાનું પકડી રાખવાને ઇચ્છ્યું નહિ,
[IRV | GU | NT | Philippians | Chapter 2 | Verse 7] પણ તેમણે દાસનું રૂપ ધારણ કરીને, એટલે માણસોની સમાનતામાં આવીને પોતાને ખાલી કર્યા;
[IRV | GU | NT | Philippians | Chapter 2 | Verse 8] અને માણસના રૂપમાં પ્રગટ થઈને, વધસ્તંભ પરના મરણને આધીન થઈને પોતાને નમ્ર કર્યા.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 9] તેને કારણે ઈશ્વરે તેમને ઘણાં ઊંચા કર્યા અને સર્વ નામો કરતાં એવું શ્રેષ્ઠ નામ આપ્યું કે,
[IRV | GU | NT | Philippians | Chapter 2 | Verse 10] સ્વર્ગમાંના, પૃથ્વી પરનાં તથા પાતાળમાંનાં સર્વ ઈસુને નામે ઘૂંટણે પડીને નમે;
[IRV | GU | NT | Philippians | Chapter 2 | Verse 11] અને ઈશ્વરપિતાના મહિમાને અર્થે દરેક જીભ કબૂલ કરે કે ઈસુ ખ્રિસ્ત પ્રભુ છે.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 12] તેથી, મારા પ્રિય ભાઈઓ, તમે જેમ હંમેશા આધીન રહેતા હતા તેમ, કેવળ મારી હાજરીમાં જ નહિ, પણ હવે વિશેષે કરીને મારી ગેરહાજરીમાં પણ તમારો ઉદ્ધાર થાય માટે ભય તથા કંપારીસહિત પ્રયત્ન કરો.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 13] કેમ કે જે પોતાની પ્રસન્નતા પ્રમાણે તમારામાં ઇચ્છવાની તથા પ્રયત્ન કરવાની પ્રેરણા આપે છે, તે તો ઈશ્વર છે.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 14] બડબડાટ તથા તકરાર વગર બધું કરો
[IRV | GU | NT | Philippians | Chapter 2 | Verse 15] કે, જેથી કુટિલ તથા આડી પ્રજા મધ્યે તમે નિર્દોષ તથા સાલસ, ઈશ્વરનાં નિષ્કલંક સંતાન, જીવનનું વચન પ્રગટ કરીને દુનિયામાં જ્યોતિઓ તરીકે પ્રકાશો.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 16] જેથી ખ્રિસ્તનાં સમયમાં મને ગર્વ કરવાનું એવું કારણ મળે કે હું નિરર્થક દોડ્યો નથી અને મેં વ્યર્થ શ્રમ કર્યો નથી.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 17] પણ જો હું તમારા વિશ્વાસના અર્પણ તથા સેવા પર રેડાવું પડે તોપણ હું આનંદ કરીશ અને તમારી સર્વની સાથે આનંદ કરીશ.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 18] એમ જ તમે પણ મારી સાથે આનંદમાં સહભાગી બનો.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 19] પણ હું પ્રભુ ઈસુમાં આશા રાખું છું કે, હું તિમોથીને તમારી પાસે વહેલો મોકલીશ, જેથી તમારી ખબર જાણીને મને પણ આનંદ થાય.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 20] કેમ કે તમારી સંભાળ સારી રીતે રાખે તેવો તિમોથી જેવા સારા સ્વભાવવાળો બીજો કોઈ માણસ મારી પાસે નથી.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 21] કેમ કે સર્વ માણસો ખ્રિસ્ત ઈસુની વાત નહિ, પણ પોતાની જ વાત શોધે છે.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 22] પણ તમને તો અનુભવથી ખાતરી થઈ છે કે જેમ દીકરો પિતાની સાથે કામ કરે, તેમ તેણે સુવાર્તા ના પ્રસાર ને માટે મારી સાથે સેવા કરી.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 23] એ માટે હું આશા રાખું છું કે, જયારે મારા વિષે શું થવાનું છે તે હું જાણીશ કે તરત હું તેને મોકલી દઈશ;
[IRV | GU | NT | Philippians | Chapter 2 | Verse 24] વળી હું પ્રભુમાં ભરોસો રાખું છું કે, હું પોતે પણ વહેલો આવીશ.
[IRV | GU | NT | Philippians | Chapter 2 | Verse 25] તોપણ મારો ભાઈ એપાફ્રોદિતસ, મારી સાથે કામ કરનાર તથા સહયોદ્ધો, તેમ જ તમારો સંદેશવાહક તથા મારી જરૂરિયાત પૂરી પાડનાર છે’ તેને તમારી પાસે મોકલવાની અગત્ય મને જણાઈ;
[IRV | GU | NT | Philippians | Chapter 2 | Verse 26] કારણ કે તે તમો સર્વ પર બહુ પ્રેમ રાખતો હતો અને તે ઘણો ઉદાસ હતો, કેમ કે તમે સાંભળ્યું હતું કે તે બીમાર છે;
[IRV | GU | NT | Philippians | Chapter 2 | Verse 27] તે મરણતોલ બીમાર હતો ખરો; પણ ઈશ્વરે તેના પર દયા કરી, કેવળ તેના પર જ નહિ, પણ મારા પર પણ કે, મને શોક ન થાય અને આઘાત ન લાગે.
