[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 1] ಆದರೆ ಕಡೆ ದಿನಗಳಲ್ಲಿ ಕಠಿಣಕಾಲಗಳು ಬರುವವೆಂಬುದನ್ನು ತಿಳಿದುಕೋ.
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 2] ಮನುಷ್ಯರು ಸ್ವಾರ್ಥಚಿಂತಕರೂ, ಹಣದಾಸೆಯವರೂ, ಬಡಾಯಿಕೊಚ್ಚುವವರೂ, ಅಹಂಕಾರಿಗಳೂ, ದೂಷಕರೂ, ತಂದೆತಾಯಿಗಳಿಗೆ ಅವಿಧೇಯರೂ, ಉಪಕಾರ ನೆನಸದವರೂ, ದೇವಭಯವಿಲ್ಲದವರೂ,
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 3] ಮಮತೆಯಿಲ್ಲದವರೂ, ಸಮಾಧಾನಹೊಂದದವರೂ, ಚಾಡಿಹೇಳುವವರೂ, ದಮೆಯಿಲ್ಲದವರೂ, ಕ್ರೂರರೂ, ಒಳ್ಳೆಯದನ್ನು ದ್ವೇಷಿಸುವವರೂ,
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 4] ದ್ರೋಹಿಗಳೂ, ದುಡುಕುವವರೂ, ದುರಹಂಕಾರವುಳ್ಳವರೂ, ದೇವರನ್ನು ಪ್ರೀತಿಸುವುದಕ್ಕಿಂತ ಅಧಿಕವಾಗಿ ಭೋಗವನ್ನೇ ಪ್ರೀತಿಸುವವರೂ,
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 5] ಭಕ್ತಿಯ ವೇಷವಿದ್ದು ಅದರ ಬಲವನ್ನು ಬೇಡವೆನ್ನುವವರೂ ಆಗಿರುವರು. ಇಂಥವರ ಸಹವಾಸವನ್ನೂ ಮಾಡದಿರು.
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 6] ಅವರಲ್ಲಿ ಕೆಲವರು ಮನೆಗಳಲ್ಲಿ ನುಸುಳಿ, ಪಾಪಗಳಿಂದ ತುಂಬಿದವರೂ, ನಾನಾ ವಿಧವಾದ ಆಸೆಗಳಿಂದ ಪ್ರೇರಿತರೂ ಆಗಿರುವ ಅವಿವೇಕಿಗಳಾದ ಸ್ತ್ರೀಯರನ್ನು ವಶಮಾಡಿಕೊಳ್ಳುವವರು ಆಗಿರುತ್ತಾರೆ.
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 7] ಆ ಸ್ತ್ರೀಯರು ಯಾವಾಗಲೂ ಉಪದೇಶ ಕೇಳುತ್ತಿದ್ದರೂ ಸತ್ಯದ ಪರಿಜ್ಞಾನವನ್ನು ಹೊಂದಲಾರದವರು.
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 8] ಯನ್ನ, ಯಂಬ್ರ ಎಂಬವರು ಮೋಶೆಯನ್ನು ವಿರೋಧಿಸಿದಂತೆಯೇ ಈ ಮನುಷ್ಯರು ಸಹ ಸತ್ಯಕ್ಕೆ ವಿರೋಧಿಗಳಾಗಿದ್ದು, ಬುದ್ಧಿಹೀನರೂ ನಂಬಿಕೆಯ ವಿಷಯದಲ್ಲಿ ನಿಷ್ಪ್ರಯೋಜಕರೂ ಆಗಿದ್ದಾರೆ.
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 9] ಆದರೆ ಅವರು ಹೆಚ್ಚು ಮುಂದುವರಿಯಲು ಸಾಧ್ಯವಿಲ್ಲ. ಆ ಯನ್ನ ಯಂಬ್ರರ ಮೂರ್ಖತನವು ಎಲ್ಲರಿಗೂ ಪ್ರಕಟವಾಗಿ ಬಂದ ಹಾಗೆಯೇ ಇವರದೂ ಪ್ರಕಟವಾಗುವುದು.
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 10] ನೀನಾದರೋ ನನ್ನನ್ನು ಅನುಸರಿಸುವವನಾಗಿದ್ದು, ನನ್ನ ಬೋಧನೆ, ನಡತೆ, ಉದ್ದೇಶ, ನಂಬಿಕೆ, ದೀರ್ಘಶಾಂತಿ, ಪ್ರೀತಿ, ಸೈರಣೆ ಇವುಗಳನ್ನೂ,
[IRV | KN | NT | 2 Timothy | Chapter 3 | Verse 11] ಅಂತಿಯೋಕ್ಯ, ಇಕೋನ್ಯ, ಲುಸ್ತ್ರ ಎಂಬ ಪಟ್ಟಣಗಳಲ್ಲಿ ನನಗೆ ಸಂಭವಿಸಿದ ಹಿಂಸೆಗಳನ್ನೂ, ಕಷ್ಟಾನುಭವಗಳನ್ನೂ ತಿಳಿದವನಾಗಿದ್ದೀ. ನಾನು ಎಂಥೆಂಥ ಹಿಂಸೆಗಳನ್ನು ಸಹಿಸಿಕೊಂಡೆನು, ಅವೆಲ್ಲವುಗಳೊಳಗಿನಿಂದ ಕರ್ತನು ನನ್ನನ್ನು ಬಿಡಿಸಿದನು.
