[IRV | UR | NT | Luke | Chapter 3 | Verse 1] तिब्रियुस क़ैसर की हुकूमत के पंद्रहवें बरस पुनित्युस पिलातुस यहूदिया का हाकिम था, हेरोदेस गलील का और उसका भाई फ़िलिप्पुस इतुरिय्या और त्र्खोनीतिस का और लिसानियास अबलेने का हाकिम था।
[IRV | UR | NT | Luke | Chapter 3 | Verse 2] और हन्ना और काइफ़ा सरदार काहिन थे, उस वक़्त ख़ुदा का कलाम वीराने में ज़करियाह के बेटे युहन्ना पर नाज़िल हुआ।
[IRV | UR | NT | Luke | Chapter 3 | Verse 3] और वो यरदन के आस पास में जाकर गुनाहों की मु'आफ़ी के लिए तौबा के बपतिस्मे का एलान करने लगा।
[IRV | UR | NT | Luke | Chapter 3 | Verse 4] जैसा यसा'याह नबी के कलाम की किताब में लिखा है: “वीराने में पुकारने वाले की आवाज़ आती है, 'ख़ुदावन्द की राह तैयार करो, उसके रास्ते सीधे बनाओ।
[IRV | UR | NT | Luke | Chapter 3 | Verse 5] हर एक घाटी भर दी जाएगी, और हर एक पहाड़ और टीला नीचा किया जाएगा; और जो टेढ़ा है सीधा, और जो ऊँचा — नीचा है बराबर रास्ता बनेगा।
[IRV | UR | NT | Luke | Chapter 3 | Verse 6] और हर बशर ख़ुदा की नजात देखेगा'।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 7] पस जो लोग उससे बपतिस्मा लेने को निकलकर आते थे वो उनसे कहता था, “ऐ साँप के बच्चो! तुम्हें किसने जताया कि आने वाले ग़ज़ब से भागो?”
[IRV | UR | NT | Luke | Chapter 3 | Verse 8] पस तौबा के मुवाफ़िक़ फल लाओ — और अपने दिलों में ये कहना शुरू' न करो कि अब्रहाम हमारा बाप है क्यूँकि मैं तुम से कहता हूँ कि ख़ुदा इन पत्थरों से अब्रहाम के लिए औलाद पैदा कर सकता है।
[IRV | UR | NT | Luke | Chapter 3 | Verse 9] और अब तो दरख़्तों की जड़ पर कुल्हाड़ा रख्खा है पस जो दरख़्त अच्छा फल नहीं लाता वो काटा और आग में डाला जाता है।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 10] लोगों ने उस से पूछा, “हम क्या करें?”
[IRV | UR | NT | Luke | Chapter 3 | Verse 11] उसने जवाब में उनसे कहा, “जिसके पास दो कुरते हों वो उसको जिसके पास न हो बाँट दे, और जिसके पास खाना हो वो भी ऐसा ही करे।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 12] और महसूल लेने वाले भी बपतिस्मा लेने को आए और उससे पुछा, “ऐ उस्ताद, हम क्या करें?”
[IRV | UR | NT | Luke | Chapter 3 | Verse 13] उसने उनसे कहा, “जो तुम्हारे लिए मुक़र्रर है उससे ज़्यादा न लेना।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 14] और सिपाहियों ने भी उससे पूछा, “हम क्या करें?” उसने उनसे कहा, “न किसी पर तुम ज़ुल्म करो और न किसी से नाहक़ कुछ लो, और अपनी तनख़्वाह पर किफ़ायत करो।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 15] जब लोग इन्तिज़ार में थे और सब अपने अपने दिल में युहन्ना के बारे में सोच रहे थे कि आया वो मसीह है या नहीं।
[IRV | UR | NT | Luke | Chapter 3 | Verse 16] तो युहन्ना ने उन से जवाब में कहा, “मैं तो तुम्हें पानी से बपतिस्मा देता हूँ, मगर जो मुझ से ताक़तवर है वो आनेवाला है, मैं उसकी जूती का फ़ीता खोलने के लायक़ नहीं; वो तुम्हें रूह — उल — क़ुद्दूस और आग से बपतिस्मा देगा।
[IRV | UR | NT | Luke | Chapter 3 | Verse 17] उसका सूप उसके हाथ में है; ताकि वो अपने खलियान को ख़ूब साफ़ करे और गेहूँ को अपने खित्ते में जमा करे, मगर भूसी को उस आग में जलाएगा जो बुझने की नहीं।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 18] पस वो और बहुत सी नसीहत करके लोगों को ख़ुशख़बरी सूनाता रहा।
[IRV | UR | NT | Luke | Chapter 3 | Verse 19] लेकिन चौथाई मुल्क के हाकिम हेरोदेस ने अपने भाई फ़िलिप्पुस की बीवी हेरोदियास की वजह से और उन सब बुराइयों के बा'इस जो हेरोदेस ने की थी, युहन्ना से मलामत उठाकर,
[IRV | UR | NT | Luke | Chapter 3 | Verse 20] इन सब से बढ़कर ये भी किया कि उसको क़ैद में डाला।
[IRV | UR | NT | Luke | Chapter 3 | Verse 21] जब सब लोगों ने बपतिस्मा लिया और ईसा भी बपतिस्मा पाकर दुआ कर रहा था तो ऐसा हुआ कि आसमान खुल गया,
[IRV | UR | NT | Luke | Chapter 3 | Verse 22] और रूह — उल — क़ुद्दूस जिस्मानी सूरत में कबूतर की तरह उस पर नाज़िल हुआ और आसमान से ये आवाज़ आई: “तू मेरा प्यारा बेटा है, तुझ से मैं ख़ुश हूँ।”
[IRV | UR | NT | Luke | Chapter 3 | Verse 23] जब ईसा ख़ुद ता'लीम देने लगा, क़रीबन तीस बरस का था और (जैसा कि समझा जाता था) यूसुफ़ का बेटा था; और वो 'एली का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 24] और वो मत्तात का, और वो लावी का, और वो मल्की का, और वो यन्ना का, और वो यूसुफ़ का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 25] और वो मत्तितियाह का, और वो 'आमूस का और नाहूम का, और वो असलियाह का, और वो नोगा का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 26] और वो माअत का, और मत्तितियाह का, और वो शिम'ई का, और वो योसेख़ का, और वो यहुदाह का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 27] और वो युहन्ना का, और वो रोसा का, और वो ज़रुब्बाबुल का, और वो सियालतीएल का और वो नेरी का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 28] और वो मल्की का, और वो अद्दी का, और वो क़ोसाम का, और वो इल्मोदाम का, और वो 'एर का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 29] और वो यशु'अ का, और वो इली'अज़र का, और वो योरीम का, और वो मतात का, और वो लावी का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 30] और वो शमौन का, और वो यहूदाह का, और वो यूसुफ़ का, और वो योनाम का और वो इलियाक़ीम का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 31] और वो मलेआह का, और वो मिन्नाह का, और वो मत्तितियाह का, और वो नातन का, और वो दाऊद का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 32] और वो यस्सी का, और वो ओबेद का, और वो बो'अज़ का, और वो सल्मोन का, और वो नह्सोन का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 33] और वो 'अम्मीनदाब का, और वो अदमीन का, और वो अरनी का, और वो हस्रोन का, और वो फ़ारस का, और वो यहूदाह का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 34] और वो याक़ूब का, और वो इज़हाक़ का, और वो इब्राहीम का, और वो तारह का, और वो नहूर का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 35] और वो सरूज का, और वो र'ऊ का, और वो फ़लज का, और वो इबर का, और वो सिलह का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 36] और वो क़ीनान का और वो अर्फ़क्सद का, और वो सिम का, और वो नूह का, और वो लमक का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 37] और वो मतूसिलह का और वो हनूक का, और वो यारिद का, और वो महल्ल — एल का, और वो क़ीनान का,
[IRV | UR | NT | Luke | Chapter 3 | Verse 38] और वो अनूस का, और वो सेत का, और आदम ख़ुदा से था।
