[IRV | UR | NT | Luke | Chapter 2 | Verse 1] उन दिनों में ऐसा हुआ कि क़ैसर औगुस्तुस की तरफ़ से ये हुक्म जारी हुआ कि सारी दुनियाँ के लोगों के नाम लिखे जाएँ।
[IRV | UR | NT | Luke | Chapter 2 | Verse 2] ये पहली इस्म नवीसी सूरिया के हाकिम कोरिन्युस के 'अहद में हुई।
[IRV | UR | NT | Luke | Chapter 2 | Verse 3] और सब लोग नाम लिखवाने के लिए अपने — अपने शहर को गए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 4] पस यूसुफ़ भी गलील के शहर नासरत से दाऊद के शहर बैतलहम को गया जो यहूदिया में है, इसलिए कि वो दाऊद के घराने और औलाद से था।
[IRV | UR | NT | Luke | Chapter 2 | Verse 5] ताकि अपनी होने वाली बीवी मरियम के साथ जो हामिला थी, नाम लिखवाए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 6] जब वो वहाँ थे तो ऐसा हुआ कि उसके वज़ा — ए — हम्ल का वक़्त आ पहुँचा,
[IRV | UR | NT | Luke | Chapter 2 | Verse 7] और उसका पहलौठा बेटा पैदा हुआ और उसने उसको कपड़े में लपेट कर चरनी में रख्खा क्यूँकि उनके लिए सराय में जगह न थी।
[IRV | UR | NT | Luke | Chapter 2 | Verse 8] उसी 'इलाक़े में चरवाहे थे, जो रात को मैदान में रहकर अपने गल्ले की निगहबानी कर रहे थे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 9] और ख़ुदावन्द का फ़रिश्ता उनके पास आ खड़ा हुआ, और ख़ुदावन्द का जलाल उनके चारोंतरफ़ चमका, और वो बहुत डर गए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 10] मगर फ़रिश्ते ने उनसे कहा, डरो मत! क्यूँकि देखो, मैं तुम्हें बड़ी ख़ुशी की बशारत देता हूँ जो सारी उम्मत के वास्ते होगी,
[IRV | UR | NT | Luke | Chapter 2 | Verse 11] कि आज दाऊद के शहर में तुम्हारे लिए एक मुन्जी पैदा हुआ है, या'नी मसीह ख़ुदावन्द।
[IRV | UR | NT | Luke | Chapter 2 | Verse 12] इसका तुम्हारे लिए ये निशान है कि तुम एक बच्चे को कपड़े में लिपटा और चरनी में पड़ा हुआ पाओगे।'
[IRV | UR | NT | Luke | Chapter 2 | Verse 13] और यकायक उस फ़रिश्ते के साथ आसमानी लश्कर की एक गिरोह ख़ुदा की हम्द करती और ये कहती ज़ाहिर हुई कि:
[IRV | UR | NT | Luke | Chapter 2 | Verse 14] “'आलम — ए — बाला पर ख़ुदा की तम्जीद हो और ज़मीन पर आदमियों में जिनसे वो राज़ी है सुलह।”
[IRV | UR | NT | Luke | Chapter 2 | Verse 15] जब फ़रिश्ते उनके पास से आसमान पर चले गए तो ऐसा हुआ कि चरवाहों ने आपस में कहा, “आओ, बैतलहम तक चलें और ये बात जो हुई है और जिसकी ख़ुदावन्द ने हम को ख़बर दी है देखें।”
[IRV | UR | NT | Luke | Chapter 2 | Verse 16] पस उन्होंने जल्दी से जाकर मरियम और यूसुफ़ को देखा और इस बच्चे को चरनी में पड़ा पाया।
[IRV | UR | NT | Luke | Chapter 2 | Verse 17] उन्हें देखकर वो बात जो उस लड़के के हक़ में उनसे कही गई थी मशहूर की,
[IRV | UR | NT | Luke | Chapter 2 | Verse 18] और सब सुनने वालों ने इन बातों पर जो चरवाहों ने उनसे कहीं ता'ज्जुब किया।
[IRV | UR | NT | Luke | Chapter 2 | Verse 19] मगर मरियम इन सब बातों को अपने दिल में रखकर ग़ौर करती रही।
[IRV | UR | NT | Luke | Chapter 2 | Verse 20] और चरवाहे, जैसा उनसे कहा गया था वैसा ही सब कुछ सुन कर और देखकर ख़ुदा की तम्जीद और हम्द करते हुए लौट गए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 21] जब आठ दिन पुरे हुए और उसके ख़तने का वक़्त आया, तो उसका नाम ईसा रख्खा गया। जो फ़रिश्ते ने उसके रहम में पड़ने से पहले रख्खा था।
[IRV | UR | NT | Luke | Chapter 2 | Verse 22] फिर जब मूसा की शरी'अत के मुवाफ़िक़ उनके पाक होने के दिन पुरे हो गए, तो वो उसको येरूशलेम में लाए ताकि ख़ुदावन्द के आगे हाज़िर करें
[IRV | UR | NT | Luke | Chapter 2 | Verse 23] (जैसा कि ख़ुदावन्द की शरी'अत में लिखा है कि हर एक पहलौठा ख़ुदावन्द के लिए मुक़द्दस ठहरेगा)
[IRV | UR | NT | Luke | Chapter 2 | Verse 24] और ख़ुदावन्द की शरी'अत के इस क़ौल के मुवाफ़िक़ क़ुर्बानी करें, कि फ़ाख़्ता का एक जोड़ा या कबूतर के दो बच्चे लाओ।
[IRV | UR | NT | Luke | Chapter 2 | Verse 25] और देखो, येरूशलेम में शमौन नाम एक आदमी था, और वो आदमी रास्तबाज़ और ख़ुदातरस और इस्राईल की तसल्ली का मुन्तज़िर था और रूह — उल — क़ुद्दूस उस पर था।
[IRV | UR | NT | Luke | Chapter 2 | Verse 26] और उसको रूह — उल — क़ुद्दूस से अगवाही हुई थी कि जब तक तू ख़ुदावन्द के मसीह को देख न ले, मौत को न देखेगा।
[IRV | UR | NT | Luke | Chapter 2 | Verse 27] वो रूह की हिदायत से हैकल में आया और जिस वक़्त माँ — बाप उस लड़के ईसा को अन्दर लाए ताकि उसके शरी'अत के दस्तूर पर 'अमल करें।
[IRV | UR | NT | Luke | Chapter 2 | Verse 28] तो उसने उसे अपनी गोद में लिया और ख़ुदा की हम्द करके कहा:
