[IRV | UR | NT | Luke | Chapter 5 | Verse 1] जब भीड़ उस पर गिरी पड़ती थी और ख़ुदा का कलाम सुनती थी, और वो गनेसरत की झील के किनारे खड़ा था तो ऐसा हुआ कि
[IRV | UR | NT | Luke | Chapter 5 | Verse 2] उसने झील के किनारे दो नाव लगी देखीं, लेकिन मछली पकड़ने वाले उन पर से उतर कर जाल धो रहे थे
[IRV | UR | NT | Luke | Chapter 5 | Verse 3] और उसने उस नावों में से एक पर चढ़कर जो शमौन की थी, उससे दरख़्वास्त की कि किनारे से ज़रा हटा ले चल और वो बैठकर लोगों को नाव पर से ता'लीम देने लगा।
[IRV | UR | NT | Luke | Chapter 5 | Verse 4] जब कलाम कर चुका तो शमौन से कहा, “गहरे में ले चल, और तुम शिकार के लिए अपने जाल डालो।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 5] शमौन ने जवाब में कहा, “ऐ ख़ुदावन्द! हम ने रात भर मेहनत की और कुछ हाथ न आया, मगर तेरे कहने से जाल डालता हूँ।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 6] ये किया और वो मछलियों का बड़ा घेर लाए, और उनके जाल फ़टने लगे।
[IRV | UR | NT | Luke | Chapter 5 | Verse 7] और उन्होंने अपने साथियों को जो दूसरी नाव पर थे इशारा किया कि आओ हमारी मदद करो। पस उन्होंने आकर दोनों नावें यहाँ तक भर दीं कि डूबने लगीं।
[IRV | UR | NT | Luke | Chapter 5 | Verse 8] शमौन पतरस ये देखकर ईसा के पाँव में गिरा और कहा, ऐ ख़ुदावन्द! मेरे पास से चला जा, क्यूँकि मैं गुनहगार आदमी हूँ।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 9] क्यूँकि मछलियों के इस शिकार से जो उन्होंने किया, वो और उसके सब साथी बहुत हैरान हुए।
[IRV | UR | NT | Luke | Chapter 5 | Verse 10] और वैसे ही ज़ब्दी के बेटे या'क़ूब और यूहन्ना भी जो शमौन के साथी थे, हैरान हुए। ईसा ने शमौन से कहा, “ख़ौफ़ न कर, अब से तू आदमियों का शिकार करेगा।“
[IRV | UR | NT | Luke | Chapter 5 | Verse 11] वो नावों को किनारे पर ले आए और सब कुछ छोड़कर उसके पीछे हो लिए।
