[IRV | UR | NT | Luke | Chapter 15 | Verse 1] सब महसूल लेनेवाले और गुनहगार उसके पास आते थे ताकि उसकी बातें सुनें।
[IRV | UR | NT | Luke | Chapter 15 | Verse 2] और उलमा और फ़रीसी बुदबुदाकर कहने लगे, “ये आदमी गुनाहगारों से मिलता और उनके साथ खाना खाता है।”
[IRV | UR | NT | Luke | Chapter 15 | Verse 3] उसने उनसे ये मिसाल कही,
[IRV | UR | NT | Luke | Chapter 15 | Verse 4] “तुम में से कौन है जिसकी सौ भेड़ें हों, और उनमें से एक गुम हो जाए तो निनानवें को जंगल में छोड़कर उस खोई हुई को जब तक मिल न जाए ढूँडता न रहेगा?
[IRV | UR | NT | Luke | Chapter 15 | Verse 5] फिर मिल जाती है तो वो ख़ुश होकर उसे कन्धे पर उठा लेता है,
[IRV | UR | NT | Luke | Chapter 15 | Verse 6] और घर पहुँचकर दोस्तों और पड़ोसियों को बुलाता और कहता है, 'मेरे साथ ख़ुशी करो, क्यूँकि मेरी खोई हुई भेड़ मिल गई।
[IRV | UR | NT | Luke | Chapter 15 | Verse 7] मैं तुम से कहता हूँ कि इसी तरह निनानवें, रास्तबाज़ों की निस्बत जो तौबा की हाजत नहीं रखते, एक तौबा करने वाले गुनहगार के बा'इस आसमान पर ज़्यादा ख़ुशी होगी।”
[IRV | UR | NT | Luke | Chapter 15 | Verse 8] “या कौन ऐसी “औरत है जिसके पास दस दिरहम हों और एक खो जाए तो वो चराग़ जलाकर घर में झाडू न दे, और जब तक मिल न जाए कोशिश से ढूँडती न रहे।
[IRV | UR | NT | Luke | Chapter 15 | Verse 9] और जब मिल जाए तो अपनी दोस्तों और पड़ोसियों को बुलाकर न कहे, 'मेरे साथ ख़ुशी करो, क्यूँकि 'मेरा खोया हुआ दिरहम मिल गया।
[IRV | UR | NT | Luke | Chapter 15 | Verse 10] मैं तुम से कहता हूँ कि इसी तरह एक तौबा करनेवाला गुनाहगार के बारे में ख़ुदा के फ़रिश्तों के सामने ख़ुशी होती है।”
[IRV | UR | NT | Luke | Chapter 15 | Verse 11] फिर उसने कहा, “किसी शख़्स के दो बेटे थे।
[IRV | UR | NT | Luke | Chapter 15 | Verse 12] उनमें से छोटे ने बाप से कहा, 'ऐ बाप! माल का जो हिस्सा मुझ को पहुँचता है मुझे दे दे। उसने अपना माल — ओ — अस्बाब उन्हें बाँट दिया।
[IRV | UR | NT | Luke | Chapter 15 | Verse 13] और बहुत दिन न गुज़रे कि छोटा बेटा अपना सब कुछ जमा करके दूर दराज़ मुल्क को रवाना हुआ, और वहाँ अपना माल बदचलनी में उड़ा दिया।
[IRV | UR | NT | Luke | Chapter 15 | Verse 14] जब सब ख़र्च कर चुका तो उस मुल्क में सख़्त काल पड़ा, और वो मुहताज होने लगा।
[IRV | UR | NT | Luke | Chapter 15 | Verse 15] फिर उस मुल्क के एक बाशिन्दे के वहाँ जा पड़ा। उसने उसको अपने खेत में खिंजीर यनी [सूअवर] चराने भेजा।
[IRV | UR | NT | Luke | Chapter 15 | Verse 16] और उसे आरज़ू थी कि जो फलियाँ खिंजीर यनी [सूअवर] खाते थे उन्हीं से अपना पेट भरे, मगर कोई उसे न देता था।
[IRV | UR | NT | Luke | Chapter 15 | Verse 17] फिर उसने होश में आकर कहा, 'मेरे बाप के बहुत से मज़दूरों को इफ़रात से रोटी मिलती है, और मैं यहाँ भूखा मर रहा हूँ।
[IRV | UR | NT | Luke | Chapter 15 | Verse 18] मैं उठकर अपने बाप के पास जाऊँगा और उससे कहूँगा, 'ऐ बाप! मैं आसमान का और तेरी नज़र में गुनहगार हुआ।
[IRV | UR | NT | Luke | Chapter 15 | Verse 19] अब इस लायक़ नहीं रहा कि फिर तेरा बेटा कहलाऊँ। मुझे अपने मज़दूरों जैसा कर ले।”
[IRV | UR | NT | Luke | Chapter 15 | Verse 20] “पस वो उठकर अपने बाप के पास चला। वो अभी दूर ही था कि उसे देखकर उसके बाप को तरस आया, और दौड़कर उसको गले लगा लिया और चूमा।
[IRV | UR | NT | Luke | Chapter 15 | Verse 21] बेटे ने उससे कहा, 'ऐ बाप! मैं आसमान का और तेरी नज़र मैं गुनहगार हुआ। अब इस लायक़ नहीं रहा कि फिर तेरा बेटा कहलाऊँ।
[IRV | UR | NT | Luke | Chapter 15 | Verse 22] बाप ने अपने नौकरों से कहा, 'अच्छे से अच्छा लिबास जल्द निकाल कर उसे पहनाओ और उसके हाथ में अँगूठी और पैरों में जूती पहनाओ;
[IRV | UR | NT | Luke | Chapter 15 | Verse 23] और तैयार किए हुए जानवर को लाकर ज़बह करो, ताकि हम खाकर ख़ुशी मनाएँ।
[IRV | UR | NT | Luke | Chapter 15 | Verse 24] क्यूँकि मेरा ये बेटा मुर्दा था, अब ज़िन्दा हुआ; खो गया था, अब मिला है। पस वो ख़ुशी मनाने लगे।”
[IRV | UR | NT | Luke | Chapter 15 | Verse 25] “लेकिन उसका बड़ा बेटा खेत में था। जब वो आकर घर के नज़दीक पहुँचा, तो गाने बजाने और नाचने की आवाज़ सुनी।
[IRV | UR | NT | Luke | Chapter 15 | Verse 26] और एक नौकर को बुलाकर मालूम करने लगा, 'ये क्या हो रहा है?'
[IRV | UR | NT | Luke | Chapter 15 | Verse 27] उसने उससे कहा, 'तेरा भाई आ गया है, और तेरे बाप ने तैयार किया हुआ जानवर ज़बह कराया है, क्यूँकि उसे भला चंगा पाया।
[IRV | UR | NT | Luke | Chapter 15 | Verse 28] वो ग़ुस्सा हुआ और अन्दर जाना न चाहा, मगर उसका बाप बाहर जाकर उसे मनाने लगा।
[IRV | UR | NT | Luke | Chapter 15 | Verse 29] उसने अपने बाप से जवाब में कहा, 'देख, इतने बरसों से मैं तेरी ख़िदमत करता हूँ और कभी तेरी नाफ़रमानी नहीं की, मगर मुझे तूने कभी एक बकरी का बच्चा भी न दिया कि अपने दोस्तों के साथ ख़ुशी मनाता।
[IRV | UR | NT | Luke | Chapter 15 | Verse 30] लेकिन जब तेरा ये बेटा आया जिसने तेरा माल — ओ — अस्बाब कस्बियों में उड़ा दिया, तो उसके लिए तूने तैयार किया हुआ जानवर ज़बह कराया है'।
[IRV | UR | NT | Luke | Chapter 15 | Verse 31] उसने उससे कहा, बेटा, तू तो हमेशा मेरे पास है और जो कुछ मेरा है वो तेरा ही है।
[IRV | UR | NT | Luke | Chapter 15 | Verse 32] लेकिन ख़ुशी मनाना और शादमान होना मुनासिब था, क्यूँकि तेरा ये भाई मुर्दा था अब ज़िन्दा हुआ, खोया था अब मिला है'।”
