[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 1] And Rehoboam came to Jerusalem; and he assembled the house of Judah and Benjamin, a hundred and eighty thousand chosen men apt for war, to fight against Israel, that he might bring the kingdom again to Rehoboam.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 2] But the word of Jehovah came to Shemaiah the man of God, saying,
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 3] Speak unto Rehoboam, the son of Solomon, king of Judah, and unto all Israel in Judah and Benjamin, saying,
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 4] Thus saith Jehovah: Go not up, nor fight with your brethren; return every man to his house; for this thing is from me. And they hearkened to the words of Jehovah, and returned from going against Jeroboam.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 5] And Rehoboam dwelt in Jerusalem, and built cities for defence in Judah.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 6] And he built Bethlehem, and Etam, and Tekoa,
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 7] and Beth-zur, and Soco, and Adullam,
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 8] and Gath, and Mareshah, and Ziph,
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 9] and Adoraim, and Lachish, and Azekah,
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 10] and Zorah, and Ajalon, and Hebron, which are in Judah and in Benjamin, fortified cities.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 11] And he fortified the strongholds, and put captains in them, and stores of victuals, and of oil and wine;
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 12] and in every several city, targets and spears, and made them exceedingly strong. And Judah and Benjamin were his.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 13] And the priests and the Levites that were in all Israel resorted to him out of all their districts;
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 14] for the Levites left their suburbs and their possessions, and came to Judah and Jerusalem: for Jeroboam and his sons had cast them off from exercising the priesthood to Jehovah;
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 15] and he ordained for himself priests for the high places, and for the he-goats and for the calves that he had made.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 16] — And after them, those out of all the tribes of Israel that set their heart to seek Jehovah the God of Israel came to Jerusalem, to sacrifice to Jehovah the God of their fathers.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 17] And they strengthened the kingdom of Judah, and made Rehoboam the son of Solomon strong three years; for during three years they walked in the way of David and Solomon.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 18] And Rehoboam took Mahalath the daughter of Jerimoth the son of David as wife, [and of] Abihail the daughter of Eliab the son of Jesse.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 19] And she bore him children: Jeush, and Shemariah, and Zaham.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 20] And after her he took Maachah the daughter of Absalom; and she bore him Abijah, and Attai, and Ziza, and Shelomith.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 21] And Rehoboam loved Maachah the daughter of Absalom above all his wives and his concubines; for he had taken eighteen wives and sixty concubines, and he begot twenty-eight sons and sixty daughters.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 22] And Rehoboam established Abijah the son of Maachah at the head, to be ruler among his brethren; for [he thought] to make him king.
[DARBY | EN | OT | 2 Chronicles | Chapter 11 | Verse 23] And he dealt wisely, and dispersed of all his sons throughout all the lands of Judah and Benjamin, to all the fortified cities; and he gave them food in abundance. And he desired [for them] a multitude of wives.
