[IRV | ML | NT | Galatians | Chapter 1 | Verse 1] മനുഷ്യരിൽ നിന്നല്ല മനുഷ്യനാലുമല്ല യേശുക്രിസ്തുവിനാലും അവനെ മരിച്ചവരുടെ ഇടയിൽനിന്നു ഉയിർപ്പിച്ച പിതാവായ ദൈവത്താലുമത്രേ അപ്പൊസ്തലനായ പൗലൊസും
[IRV | ML | NT | Galatians | Chapter 1 | Verse 2] കൂടെയുള്ള സകല സഹോദരന്മാരും ഗലാത്യസഭകൾക്കു എഴുതുന്നതു:
[IRV | ML | NT | Galatians | Chapter 1 | Verse 3] പിതാവായ ദൈവത്തിങ്കൽനിന്നും നമ്മുടെ ദൈവവും പിതാവുമായവന്റെ ഇഷ്ടപ്രകാരം ഇപ്പോഴത്തെ ദുഷ്ടലോകത്തിൽനിന്നു നമ്മെ വിടുവിക്കേണ്ടതിന്നു നമ്മുടെ പാപങ്ങൾനിമിത്തം തന്നെത്താൻ ഏല്പിച്ചുകൊടുത്തവനായി നമ്മുടെ
[IRV | ML | NT | Galatians | Chapter 1 | Verse 4] കർത്താവായ യേശുക്രിസ്തുവിങ്കൽ നിന്നും നിങ്ങൾക്കു കൃപയും സമാധാനവും ഉണ്ടാകട്ടെ.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 5] അവന്നു എന്നെന്നേക്കും മഹത്വം. ആമേൻ.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 6] ക്രിസ്തുവിന്റെ കൃപയാൽ നിങ്ങളെ വിളിച്ചവനെ വിട്ടു നിങ്ങൾ ഇത്രവേഗത്തിൽ വേറൊരു സുവിശേഷത്തിലേക്കു മറിയുന്നതുകൊണ്ടു ഞാൻ ആശ്ചര്യപ്പെടുന്നു.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 7] അതു വേറൊരു സുവിശേഷം എന്നല്ല, ചിലർ നിങ്ങളെ കലക്കി ക്രിസ്തുവിന്റെ സുവിശേഷം മറിച്ചുകളവാൻ ഇച്ഛിക്കുന്നു എന്നത്രേ.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 8] എന്നാൽ ഞങ്ങൾ നിങ്ങളോടു അറിയിച്ചതിന്നു വിപരീതമായി ഞങ്ങൾ ആകട്ടെ സ്വർഗ്ഗത്തിൽനിന്നു ഒരു ദൂതനാകട്ടെ നിങ്ങളോടു സുവിശേഷം അറിയിച്ചാൽ അവൻ ശപിക്കപ്പെട്ടവൻ.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 9] ഞങ്ങൾ മുൻപറഞ്ഞതുപോലെ ഞാൻ ഇപ്പോൾ പിന്നെയും പറയുന്നു: നിങ്ങൾ കൈക്കൊണ്ട സുവിശേഷത്തിന്നു വിപരീതമായി ആരെങ്കിലും നിങ്ങളോടു സുവിശേഷം അറിയിച്ചാൽ അവൻ ശപിക്കപ്പെട്ടവൻ.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 10] ഇപ്പോൾ ഞാൻ മനുഷ്യരെയോ ദൈവത്തെയോ സന്തോഷിപ്പിക്കുന്നതു? അല്ല, ഞാൻ മനുഷ്യരെ പ്രസാദിപ്പിപ്പാൻ നോക്കുന്നുവോ? ഇന്നും ഞാൻ മനുഷ്യരെ പ്രസാദിപ്പിക്കുന്നു എങ്കിൽ ക്രിസ്തുവിന്റെ ദാസനായിരിക്കയില്ല.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 11] സഹോദരന്മാരേ, ഞാൻ അറിയിച്ച സുവിശേഷം മാനുഷമല്ല എന്നു നിങ്ങളെ ഓർപ്പിക്കുന്നു.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 12] അതു ഞാൻ മനുഷ്യരോടു പ്രാപിച്ചിട്ടില്ല പഠിച്ചിട്ടുമില്ല, യേശുക്രിസ്തുവിന്റെ വെളിപ്പാടിനാൽ അത്രേ പ്രാപിച്ചതു.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 13] യെഹൂദമതത്തിലെ എന്റെ മുമ്പത്തെ നടപ്പു നിങ്ങൾ കേട്ടിട്ടുണ്ടല്ലോ. ഞാൻ ദൈവത്തിന്റെ സഭയെ അത്യന്തം ഉപദ്രവിച്ചു മുടിക്കയും
