[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 1] The LORD said to Samuel, “How long will you mourn for Saul, since I have rejected him from being king over Israel? Fill your horn with oil, and go. I will send you to Jesse the Bethlehemite, for I have provided a king for myself among his sons.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 2] Samuel said, “How can I go? If Saul hears it, he will kill me.” The LORD said, “Take a heifer with you, and say, ‘I have come to sacrifice to the LORD.’
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 3] Call Jesse to the sacrifice, and I will show you what you shall do. You shall anoint to me him whom I name to you.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 4] Samuel did that which the LORD spoke, and came to Bethlehem. The elders of the city came to meet him trembling, and said, “Do you come peaceably?”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 5] He said, “Peaceably; I have come to sacrifice to the LORD. Sanctify yourselves, and come with me to the sacrifice.” He sanctified Jesse and his sons, and called them to the sacrifice.
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 6] When they had come, he looked at Eliab, and said, “Surely the LORD’s anointed is before him.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 7] But the LORD said to Samuel, “Don’t look on his face, or on the height of his stature, because I have rejected him; for I don’t see as man sees. For man looks at the outward appearance, but the LORD looks at the heart.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 8] Then Jesse called Abinadab, and made him pass before Samuel. He said, “The LORD has not chosen this one, either.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 9] Then Jesse made Shammah to pass by. He said, “The LORD has not chosen this one, either.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 10] Jesse made seven of his sons to pass before Samuel. Samuel said to Jesse, “The LORD has not chosen these.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 11] Samuel said to Jesse, “Are all your children here?” He said, “There remains yet the youngest. Behold, he is keeping the sheep.” Samuel said to Jesse, “Send and get him, for we will not sit down until he comes here.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 12] He sent, and brought him in. Now he was ruddy, with a handsome face and good appearance. The LORD said, “Arise! Anoint him, for this is he.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 13] Then Samuel took the horn of oil and anointed him in the middle of his brothers. Then the LORD’s Spirit came mightily on David from that day forward. So Samuel rose up and went to Ramah.
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 14] Now the LORD’s Spirit departed from Saul, and an evil spirit from the LORD troubled him.
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 15] Saul’s servants said to him, “See now, an evil spirit from God troubles you.
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 16] Let our lord now command your servants who are in front of you to seek out a man who is a skillful player on the harp. Then when the evil spirit from God is on you, he will play with his hand, and you will be well.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 17] Saul said to his servants, “Provide me now a man who can play well, and bring him to me.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 18] Then one of the young men answered and said, “Behold, I have seen a son of Jesse the Bethlehemite who is skillful in playing, a mighty man of valor, a man of war, prudent in speech, and a handsome person; and the LORD is with him.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 19] Therefore Saul sent messengers to Jesse, and said, “Send me David your son, who is with the sheep.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 20] Jesse took a donkey loaded with bread, a container of wine, and a young goat, and sent them by David his son to Saul.
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 21] David came to Saul and stood before him. He loved him greatly; and he became his armor bearer.
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 22] Saul sent to Jesse, saying, “Please let David stand before me, for he has found favor in my sight.”
[WEB | EN | OT | 1 Samuel | Chapter 16 | Verse 23] When the spirit from God was on Saul, David took the harp and played with his hand; so Saul was refreshed and was well, and the evil spirit departed from him.
