[IRV | HI | OT | Proverbs | Chapter 31 | Verse 1] लमूएल राजा के प्रभावशाली वचन, जो उसकी माता ने उसे सिखाए।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 2] हे मेरे पुत्र, हे मेरे निज पुत्र! हे मेरी मन्नतों के पुत्र!
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 3] अपना बल स्त्रियों को न देना, न अपना जीवन उनके वश कर देना जो राजाओं का पौरूष खा जाती हैं।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 4] हे लमूएल, राजाओं को दाखमधु पीना शोभा नहीं देता, और मदिरा चाहना, रईसों को नहीं फबता;
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 5] ऐसा न हो कि वे पीकर व्यवस्था को भूल जाएँ और किसी दुःखी के हक़ को मारें।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 6] मदिरा उसको पिलाओ जो मरने पर है, और दाखमधु उदास मनवालों को ही देना;
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 7] जिससे वे पीकर अपनी दरिद्रता को भूल जाएँ और अपने कठिन श्रम फिर स्मरण न करें।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 8] गूँगे के लिये अपना मुँह खोल, और सब अनाथों का न्याय उचित रीति से किया कर।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 9] अपना मुँह खोल और धर्म से न्याय कर, और दीन दरिद्रों का न्याय कर।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 10] भली पत्नी कौन पा सकता है? क्योंकि उसका मूल्य मूँगों से भी बहुत अधिक है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 11] उसके पति के मन में उसके प्रति विश्वास है, और उसे लाभ की घटी नहीं होती।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 12] वह अपने जीवन के सारे दिनों में उससे बुरा नहीं, वरन् भला ही व्यवहार करती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 13] वह ऊन और सन ढूँढ़ ढूँढ़कर, अपने हाथों से प्रसन्नता के साथ काम करती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 14] वह व्यापार के जहाजों के समान अपनी भोजनवस्तुएँ दूर से मँगवाती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 15] वह रात ही को उठ बैठती है, और अपने घराने को भोजन खिलाती है और अपनी दासियों को अलग-अलग काम देती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 16] वह किसी खेत के विषय में सोच विचार करती है और उसे मोल ले लेती है; और अपने परिश्रम के फल से दाख की बारी लगाती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 17] वह अपनी कमर को बल के फेंटे से कसती है, और अपनी बाहों को दृढ़ बनाती है। (लूका 12:35)
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 18] वह परख लेती है कि मेरा व्यापार लाभदायक है। रात को उसका दिया नहीं बुझता।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 19] वह अटेरन में हाथ लगाती है, और चरखा पकड़ती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 20] वह दीन के लिये मुट्ठी खोलती है, और दरिद्र को सम्भालने के लिए हाथ बढ़ाती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 21] वह अपने घराने के लिये हिम से नहीं डरती, क्योंकि उसके घर के सब लोग लाल कपड़े पहनते हैं।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 22] वह तकिये बना लेती है; उसके वस्त्र सूक्ष्म सन और बैंगनी रंग के होते हैं।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 23] जब उसका पति सभा में देश के पुरनियों के संग बैठता है, तब उसका सम्मान होता है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 24] वह सन के वस्त्र बनाकर बेचती है; और व्यापारी को कमरबन्द देती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 25] वह बल और प्रताप का पहरावा पहने रहती है, और आनेवाले काल के विषय पर हँसती है।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 26] वह बुद्धि की बात बोलती है, और उसके वचन कृपा की शिक्षा के अनुसार होते हैं।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 27] वह अपने घराने के चाल चलन को ध्यान से देखती है, और अपनी रोटी बिना परिश्रम नहीं खाती।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 28] उसके पुत्र उठ उठकर उसको धन्य कहते हैं, उनका पति भी उठकर उसकी ऐसी प्रशंसा करता है:
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 29] “बहुत सी स्त्रियों ने अच्छे-अच्छे काम तो किए हैं परन्तु तू उन सभी में श्रेष्ठ है।”
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 30] शोभा तो झूठी और सुन्दरता व्यर्थ है, परन्तु जो स्त्री यहोवा का भय मानती है, उसकी प्रशंसा की जाएगी।
[IRV | HI | OT | Proverbs | Chapter 31 | Verse 31] उसके हाथों के परिश्रम का फल उसे दो, और उसके कार्यों से सभा में उसकी प्रशंसा होगी।
