[IRV | HI | OT | Proverbs | Chapter 3 | Verse 1] हे मेरे पुत्र, मेरी शिक्षा को न भूलना; अपने हृदय में मेरी आज्ञाओं को रखे रहना;
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 2] क्योंकि ऐसा करने से तेरी आयु बढ़ेगी, और तू अधिक कुशल से रहेगा।
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 3] कृपा और सच्चाई तुझ से अलग न होने पाएँ; वरन् उनको अपने गले का हार बनाना, और अपनी हृदयरूपी पटिया पर लिखना। (2 कुरि. 3:3)
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 4] तब तू परमेश्वर और मनुष्य दोनों का अनुग्रह पाएगा, तू अति प्रतिष्ठित होगा। (लूका 2:52, रोम. 12:17, 2 कुरि. 8:21)
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 5] तू अपनी समझ का सहारा न लेना, वरन् सम्पूर्ण मन से यहोवा पर भरोसा रखना।
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 6] उसी को स्मरण करके सब काम करना, तब वह तेरे लिये सीधा मार्ग निकालेगा।
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 7] अपनी दृष्टि में बुद्धिमान न होना; यहोवा का भय मानना, और बुराई से अलग रहना। (रोम. 12:16)
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 8] ऐसा करने से तेरा शरीर भला चंगा, और तेरी हड्डियाँ पुष्ट रहेंगी।
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 9] अपनी सम्पत्ति के द्वारा और अपनी भूमि की सारी पहली उपज देकर यहोवा की प्रतिष्ठा करना;
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 10] इस प्रकार तेरे खत्ते भरे और पूरे रहेंगे, और तेरे रसकुण्डों से नया दाखमधु उमड़ता रहेगा।
[IRV | HI | OT | Proverbs | Chapter 3 | Verse 11] हे मेरे पुत्र, यहोवा की शिक्षा से मुँह न मोड़ना, और जब वह तुझे डाँटे, तब तू बुरा न मानना,
