[IRV | HI | OT | Proverbs | Chapter 5 | Verse 1] हे मेरे पुत्र, मेरी बुद्धि की बातों पर ध्यान दे, मेरी समझ की ओर कान लगा;
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 2] जिससे तेरा विवेक सुरक्षित बना रहे, और तू ज्ञान की रक्षा करे।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 3] क्योंकि पराई स्त्री के होठों से मधु टपकता है, और उसकी बातें तेल से भी अधिक चिकनी होती हैं;
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 4] परन्तु इसका परिणाम नागदौना के समान कड़वा और दोधारी तलवार के समान पैना होता है।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 5] उसके पाँव मृत्यु की ओर बढ़ते हैं; और उसके पग अधोलोक तक पहुँचते हैं।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 6] वह जीवन के मार्ग के विषय विचार नहीं करती; उसके चाल चलन में चंचलता है, परन्तु उसे वह स्वयं नहीं जानती।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 7] इसलिए अब हे मेरे पुत्रों, मेरी सुनो, और मेरी बातों से मुँह न मोड़ो।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 8] ऐसी स्त्री से दूर ही रह, और उसकी डेवढ़ी के पास भी न जाना;
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 9] कहीं ऐसा न हो कि तू अपना यश औरों के हाथ, और अपना जीवन क्रूर जन के वश में कर दे;
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 10] या पराए तेरी कमाई से अपना पेट भरें, और परदेशी मनुष्य तेरे परिश्रम का फल अपने घर में रखें;
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 11] और तू अपने अन्तिम समय में जब तेरे शरीर का बल खत्म हो जाए तब कराह कर,
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 12] तू यह कहेगा “मैंने शिक्षा से कैसा बैर किया, और डाँटनेवाले का कैसा तिरस्कार किया!
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 13] मैंने अपने गुरुओं की बातें न मानीं और अपने सिखानेवालों की ओर ध्यान न लगाया।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 14] मैं सभा और मण्डली के बीच में पूर्णतः विनाश की कगार पर जा पड़ा।”
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 15] तू अपने ही कुण्ड से पानी, और अपने ही कुएँ के सोते का जल पिया करना।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 16] क्या तेरे सोतों का पानी सड़क में, और तेरे जल की धारा चौकों में बह जाने पाए?
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 17] यह केवल तेरे ही लिये रहे, और तेरे संग अनजानों के लिये न हो।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 18] तेरा सोता धन्य रहे; और अपनी जवानी की पत्नी के साथ आनन्दित रह,
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 19] वह तेरे लिए प्रिय हिरनी या सुन्दर सांभरनी के समान हो, उसके स्तन सर्वदा तुझे सन्तुष्ट रखें, और उसी का प्रेम नित्य तुझे मोहित करता रहे।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 20] हे मेरे पुत्र, तू व्यभिचारिणी पर क्यों मोहित हो, और पराई स्त्री को क्यों छाती से लगाए?
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 21] क्योंकि मनुष्य के मार्ग यहोवा की दृष्टि से छिपे नहीं हैं, और वह उसके सब मार्गों पर ध्यान करता है।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 22] दुष्ट अपने ही अधर्म के कर्मों से फँसेगा, और अपने ही पाप के बन्धनों में बन्धा रहेगा।
[IRV | HI | OT | Proverbs | Chapter 5 | Verse 23] वह अनुशासन का पालन न करने के कारण मर जाएगा, और अपनी ही मूर्खता के कारण भटकता रहेगा।
