[IRV | HI | OT | Proverbs | Chapter 7 | Verse 1] हे मेरे पुत्र, मेरी बातों को माना कर, और मेरी आज्ञाओं को अपने मन में रख छोड़।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 2] मेरी आज्ञाओं को मान, इससे तू जीवित रहेगा, और मेरी शिक्षा को अपनी आँख की पुतली जान;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 3] उनको अपनी उँगलियों में बाँध, और अपने हृदय की पटिया पर लिख ले।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 4] बुद्धि से कह, “तू मेरी बहन है,” और समझ को अपनी कुटुम्बी बना;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 5] तब तू पराई स्त्री से बचेगा, जो चिकनी चुपड़ी बातें बोलती है।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 6] मैंने एक दिन अपने घर की खिड़की से, अर्थात् अपने झरोखे से झाँका,
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 7] तब मैंने भोले लोगों में से एक निर्बुद्धि जवान को देखा;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 8] वह उस स्त्री के घर के कोने के पास की सड़क से गुजर रहा था, और उसने उसके घर का मार्ग लिया।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 9] उस समय दिन ढल गया, और संध्याकाल आ गया था, वरन् रात का घोर अंधकार छा गया था।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 10] और उससे एक स्त्री मिली, जिसका भेष वेश्या के समान था, और वह बड़ी धूर्त थी।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 11] वह शान्ति रहित और चंचल थी, और उसके पैर घर में नहीं टिकते थे;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 12] कभी वह सड़क में, कभी चौक में पाई जाती थी, और एक-एक कोने पर वह बाट जोहती थी।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 13] तब उसने उस जवान को पकड़कर चूमा, और निर्लज्जता की चेष्टा करके उससे कहा,
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 14] “मैंने आज ही मेलबलि चढ़ाया और अपनी मन्नतें पूरी की;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 15] इसी कारण मैं तुझ से भेंट करने को निकली, मैं तेरे दर्शन की खोजी थी, और अभी पाया है।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 16] मैंने अपने पलंग के बिछौने पर मिस्र के बेलबूटेवाले कपड़े बिछाए हैं;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 17] मैंने अपने बिछौने पर गन्धरस, अगर और दालचीनी छिड़की है।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 18] इसलिए अब चल हम प्रेम से भोर तक जी बहलाते रहें; हम परस्पर की प्रीति से आनन्दित रहें।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 19] क्योंकि मेरा पति घर में नहीं है; वह दूर देश को चला गया है;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 20] वह चाँदी की थैली ले गया है; और पूर्णमासी को लौट आएगा।”
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 21] ऐसी ही लुभानेवाली बातें कह कहकर, उसने उसको फँसा लिया; और अपनी चिकनी चुपड़ी बातों से उसको अपने वश में कर लिया।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 22] वह तुरन्त उसके पीछे हो लिया, जैसे बैल कसाई-खाने को, या हिरन फंदे में कदम रखता है।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 23] अन्त में उस जवान का कलेजा तीर से बेधा जाएगा; वह उस चिड़िया के समान है जो फंदे की ओर वेग से उड़ती है और नहीं जानती कि उससे उसके प्राण जाएँगे।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 24] अब हे मेरे पुत्रों, मेरी सुनो, और मेरी बातों पर मन लगाओ।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 25] तेरा मन ऐसी स्त्री के मार्ग की ओर न फिरे, और उसकी डगरों में भूलकर भी न जाना;
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 26] क्योंकि बहुत से लोग उसके द्वारा मारे गए है; उसके घात किए हुओं की एक बड़ी संख्या होगी।
[IRV | HI | OT | Proverbs | Chapter 7 | Verse 27] उसका घर अधोलोक का मार्ग है, वह मृत्यु के घर में पहुँचाता है।
