[IRV | HI | OT | Proverbs | Chapter 4 | Verse 1] हे मेरे पुत्रों, पिता की शिक्षा सुनो, और समझ प्राप्त करने में मन लगाओ।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 2] क्योंकि मैंने तुम को उत्तम शिक्षा दी है; मेरी शिक्षा को न छोड़ो।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 3] देखो, मैं भी अपने पिता का पुत्र था, और माता का एकलौता दुलारा था,
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 4] और मेरा पिता मुझे यह कहकर सिखाता था, “तेरा मन मेरे वचन पर लगा रहे; तू मेरी आज्ञाओं का पालन कर, तब जीवित रहेगा।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 5] बुद्धि को प्राप्त कर, समझ को भी प्राप्त कर; उनको भूल न जाना, न मेरी बातों को छोड़ना।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 6] बुद्धि को न छोड़ और वह तेरी रक्षा करेगी; उससे प्रीति रख और वह तेरा पहरा देगी।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 7] बुद्धि श्रेष्ठ है इसलिए उसकी प्राप्ति के लिये यत्न कर; अपना सब कुछ खर्च कर दे ताकि समझ को प्राप्त कर सके।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 8] उसकी बड़ाई कर, वह तुझको बढ़ाएगी; जब तू उससे लिपट जाए, तब वह तेरी महिमा करेगी।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 9] वह तेरे सिर पर शोभायमान आभूषण बाँधेगी; और तुझे सुन्दर मुकुट देगी।”
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 10] हे मेरे पुत्र, मेरी बातें सुनकर ग्रहण कर, तब तू बहुत वर्ष तक जीवित रहेगा।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 11] मैंने तुझे बुद्धि का मार्ग बताया है; और सिधाई के पथ पर चलाया है।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 12] जिसमें चलने पर तुझे रोक टोक न होगी, और चाहे तू दौड़े, तो भी ठोकर न खाएगा।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 13] शिक्षा को पकड़े रह, उसे छोड़ न दे; उसकी रक्षा कर, क्योंकि वही तेरा जीवन है।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 14] दुष्टों की डगर में पाँव न रखना, और न बुरे लोगों के मार्ग पर चलना।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 15] उसे छोड़ दे, उसके पास से भी न चल, उसके निकट से मुड़कर आगे बढ़ जा।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 16] क्योंकि दुष्ट लोग यदि बुराई न करें, तो उनको नींद नहीं आती; और जब तक वे किसी को ठोकर न खिलाएँ, तब तक उन्हें नींद नहीं मिलती।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 17] क्योंकि वे दुष्टता की रोटी खाते, और हिंसा का दाखमधु पीते हैं।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 18] परन्तु धर्मियों की चाल, भोर-प्रकाश के समान है, जिसकी चमक दोपहर तक बढ़ती जाती है।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 19] दुष्टों का मार्ग घोर अंधकारमय है; वे नहीं जानते कि वे किस से ठोकर खाते हैं।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 20] हे मेरे पुत्र मेरे वचन ध्यान धरके सुन, और अपना कान मेरी बातों पर लगा।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 21] इनको अपनी आँखों से ओझल न होने दे; वरन् अपने मन में धारण कर।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 22] क्योंकि जिनको वे प्राप्त होती हैं, वे उनके जीवित रहने का, और उनके सारे शरीर के चंगे रहने का कारण होती हैं।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 23] सबसे अधिक अपने मन की रक्षा कर; क्योंकि जीवन का मूल स्रोत वही है।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 24] टेढ़ी बात अपने मुँह से मत बोल, और चालबाजी की बातें कहना तुझ से दूर रहे।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 25] तेरी आँखें सामने ही की ओर लगी रहें, और तेरी पलकें आगे की ओर खुली रहें।
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 26] अपने पाँव रखने के लिये मार्ग को समतल कर, तब तेरे सब मार्ग ठीक रहेंगे। (इब्रा. 12:13)
[IRV | HI | OT | Proverbs | Chapter 4 | Verse 27] न तो दाहिनी ओर मुड़ना, और न बाईं ओर; अपने पाँव को बुराई के मार्ग पर चलने से हटा ले।
