[IRV | HI | OT | Proverbs | Chapter 16 | Verse 1] मन की युक्ति मनुष्य के वश में रहती है, परन्तु मुँह से कहना यहोवा की ओर से होता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 2] मनुष्य का सारा चाल चलन अपनी दृष्टि में पवित्र ठहरता है, परन्तु यहोवा मन को तौलता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 3] अपने कामों को यहोवा पर डाल दे, इससे तेरी कल्पनाएँ सिद्ध होंगी।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 4] यहोवा ने सब वस्तुएँ विशेष उद्देश्य के लिये बनाई हैं, वरन् दुष्ट को भी विपत्ति भोगने के लिये बनाया है। (कुलु. 1:16)
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 5] सब मन के घमण्डियों से यहोवा घृणा करता है; मैं दृढ़ता से कहता हूँ, ऐसे लोग निर्दोष न ठहरेंगे।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 6] अधर्म का प्रायश्चित कृपा, और सच्चाई से होता है, और यहोवा के भय मानने के द्वारा मनुष्य बुराई करने से बच जाते हैं।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 7] जब किसी का चाल चलन यहोवा को भावता है, तब वह उसके शत्रुओं का भी उससे मेल कराता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 8] अन्याय के बड़े लाभ से, न्याय से थोड़ा ही प्राप्त करना उत्तम है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 9] मनुष्य मन में अपने मार्ग पर विचार करता है, परन्तु यहोवा ही उसके पैरों को स्थिर करता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 10] राजा के मुँह से दैवीवाणी निकलती है, न्याय करने में उससे चूक नहीं होती।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 11] सच्चा तराजू और पलड़े यहोवा की ओर से होते हैं, थैली में जितने बटखरे हैं, सब उसी के बनवाए हुए हैं।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 12] दुष्टता करना राजाओं के लिये घृणित काम है, क्योंकि उनकी गद्दी धर्म ही से स्थिर रहती है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 13] धर्म की बात बोलनेवालों से राजा प्रसन्न होता है, और जो सीधी बातें बोलता है, उससे वह प्रेम रखता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 14] राजा का क्रोध मृत्यु के दूत के समान है, परन्तु बुद्धिमान मनुष्य उसको ठंडा करता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 15] राजा के मुख की चमक में जीवन रहता है, और उसकी प्रसन्नता बरसात के अन्त की घटा के समान होती है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 16] बुद्धि की प्राप्ति शुद्ध सोने से क्या ही उत्तम है! और समझ की प्राप्ति चाँदी से बढ़कर योग्य है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 17] बुराई से हटना धर्मियों के लिये उत्तम मार्ग है, जो अपने चाल चलन की चौकसी करता, वह अपने प्राण की भी रक्षा करता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 18] विनाश से पहले गर्व, और ठोकर खाने से पहले घमण्ड आता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 19] घमण्डियों के संग लूट बाँट लेने से, दीन लोगों के संग नम्र भाव से रहना उत्तम है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 20] जो वचन पर मन लगाता, वह कल्याण पाता है, और जो यहोवा पर भरोसा रखता, वह धन्य होता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 21] जिसके हृदय में बुद्धि है, वह समझवाला कहलाता है, और मधुर वाणी के द्वारा ज्ञान बढ़ता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 22] जिसमें बुद्धि है, उसके लिये वह जीवन का स्रोत है, परन्तु मूर्ख का दण्ड स्वयं उसकी मूर्खता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 23] बुद्धिमान का मन उसके मुँह पर भी बुद्धिमानी प्रगट करता है, और उसके वचन में विद्या रहती है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 24] मनभावने वचन मधु भरे छत्ते के समान प्राणों को मीठे लगते, और हड्डियों को हरी-भरी करते हैं।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 25] ऐसा भी मार्ग है, जो मनुष्य को सीधा जान पड़ता है, परन्तु उसके अन्त में मृत्यु ही मिलती है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 26] परिश्रमी की लालसा उसके लिये परिश्रम करती है, उसकी भूख तो उसको उभारती रहती है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 27] अधर्मी मनुष्य बुराई की युक्ति निकालता है, और उसके वचनों से आग लग जाती है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 28] टेढ़ा मनुष्य बहुत झगड़े को उठाता है, और कानाफूसी करनेवाला परम मित्रों में भी फूट करा देता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 29] उपद्रवी मनुष्य अपने पड़ोसी को फुसलाकर कुमार्ग पर चलाता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 30] आँख मूँदनेवाला छल की कल्पनाएँ करता है, और होंठ दबानेवाला बुराई करता है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 31] पक्के बाल शोभायमान मुकुट ठहरते हैं; वे धर्म के मार्ग पर चलने से प्राप्त होते हैं।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 32] विलम्ब से क्रोध करना वीरता से, और अपने मन को वश में रखना, नगर को जीत लेने से उत्तम है।
[IRV | HI | OT | Proverbs | Chapter 16 | Verse 33] चिट्ठी डाली जाती तो है, परन्तु उसका निकलना यहोवा ही की ओर से होता है। (प्रेरि. 1:26)
