[ERV | EN | NT | Matthew | Chapter 5 | Verse 1] And seeing the multitudes, he went up into the mountain: and when he had sat down, his disciples came unto him:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 2] and he opened his mouth and taught them, saying,
[ERV | EN | NT | Matthew | Chapter 5 | Verse 3] Blessed are the poor in spirit: for theirs is the kingdom of heaven.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 4] Blessed are they that mourn: for they shall be comforted.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 5] Blessed are the meek: for they shall inherit the earth.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 6] Blessed are they that hunger and thirst after righteousness: for they shall be filled.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 7] Blessed are the merciful: for they shall obtain mercy.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 8] Blessed are the pure in heart: for they shall see God.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 9] Blessed are the peacemakers: for they shall be called sons of God.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 10] Blessed are they that have been persecuted for righteousness’ sake: for theirs is the kingdom of heaven.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 11] Blessed are ye when men shall reproach you, and persecute you, and say all manner of evil against you falsely, for my sake.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 12] Rejoice, and be exceeding glad: for great is your reward in heaven: for so persecuted they the prophets which were before you.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 13] Ye are the salt of the earth: but if the salt have lost its savour, wherewith shall it be salted? it is thenceforth good for nothing, but to be cast out and trodden under foot of men.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 14] Ye are the light of the world. A city set on a hill cannot be hid.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 15] Neither do men light a lamp, and put it under the bushel, but on the stand; and it shineth unto all that are in the house.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 16] Even so let your light shine before men, that they may see your good works, and glorify your Father which is in heaven.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 17] Think not that I came to destroy the law or the prophets: I came not to destroy, but to fulfill.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 18] For verily I say unto you, Till heaven and earth pass away, one jot or one tittle shall in no wise pass away from the law, till all things be accomplished.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 19] Whosoever therefore shall break one of these least commandments, and shall teach men so, shall be called least in the kingdom of heaven: but whosoever shall do and teach them, he shall be called great in the kingdom of heaven.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 20] For I say unto you, that except your righteousness shall exceed the righteousness of the scribes and Pharisees, ye shall in no wise enter into the kingdom of heaven.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 21] Ye have heard that it was said to them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 22] but I say unto you, that every one who is angry with his brother shall be in danger of the judgment; and whosoever shall say to his brother, Raca, shall be in danger of the council; and whosoever shall say, Thou fool, shall be in danger of the hell of fire.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 23] If therefore thou art offering thy gift at the altar, and there rememberest that thy brother hath aught against thee,
[ERV | EN | NT | Matthew | Chapter 5 | Verse 24] leave there thy gift before the altar, and go thy way, first be reconciled to thy brother, and then come and offer thy gift.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 25] Agree with thine adversary quickly, whiles thou art with him in the way; lest haply the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 26] Verily I say unto thee, Thou shalt by no means come out thence, till thou have paid the last farthing.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 27] Ye have heard that it was said, Thou shalt not commit adultery:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 28] but I say unto you, that every one that looketh on a woman to lust after her hath committed adultery with her already in his heart.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 29] And if thy right eye causeth thee to stumble, pluck it out, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not thy whole body be cast into hell.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 30] And if thy right hand causeth thee to stumble, cut it off, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not thy whole body go into hell.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 31] It was said also, Whosoever shall put away his wife, let him give her a writing of divorcement:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 32] but I say unto you, that every one that putteth away his wife, saving for the cause of fornication, maketh her an adulteress: and whosoever shall marry her when she is put away committeth adultery.
