[ERV | EN | NT | Matthew | Chapter 24 | Verse 1] And Jesus went out from the temple, and was going on his way; and his disciples came to him to shew him the buildings of the temple.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 2] But he answered and said unto them, See ye not all these things? verily I say unto you, There shall not be left here one stone upon another, that shall not be thrown down.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 3] And as he sat on the mount of Olives, the disciples came unto him privately, saying, Tell us, when shall these things be? and what shall be the sign of thy coming, and of the end of the world?
[ERV | EN | NT | Matthew | Chapter 24 | Verse 4] And Jesus answered and said unto them, Take heed that no man lead you astray.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 5] For many shall come in my name, saying, I am the Christ; and shall lead many astray.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 6] And ye shall hear of wars and rumours of wars: see that ye be not troubled: for these things must needs come to pass; but the end is not yet.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 7] For nation shall rise against nation, and kingdom against kingdom: and there shall be famines and earthquakes in divers places.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 8] But all these things are the beginning of travail.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 9] Then shall they deliver you up unto tribulation, and shall kill you: and ye shall be hated of all the nations for my name’s sake.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 10] And then shall many stumble, and shall deliver up one another, and shall hate one another.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 11] And many false prophets shall arise, and shall lead many astray.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 12] And because iniquity shall be multiplied, the love of the many shall wax cold.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 13] But he that endureth to the end, the same shall be saved.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 14] And this gospel of the kingdom shall be preached in the whole world for a testimony unto all the nations; and then shall the end come.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 15] When therefore ye see the abomination of desolation, which was spoken of by Daniel the prophet, standing in the holy place ( let him that readeth understand),
[ERV | EN | NT | Matthew | Chapter 24 | Verse 16] then let them that are in Judaea flee unto the mountains:
[ERV | EN | NT | Matthew | Chapter 24 | Verse 17] let him that is on the housetop not go down to take out the things that are in his house:
[ERV | EN | NT | Matthew | Chapter 24 | Verse 18] and let him that is in the field not return back to take his cloke.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 19] But woe unto them that are with child and to them that give suck in those days!
[ERV | EN | NT | Matthew | Chapter 24 | Verse 20] And pray ye that your flight be not in the winter, neither on a sabbath:
[ERV | EN | NT | Matthew | Chapter 24 | Verse 21] for then shall be great tribulation, such as hath not been from the beginning of the world until now, no, nor ever shall be.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 22] And except those days had been shortened, no flesh would have been saved: but for the elect’s sake those days shall be shortened.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 23] Then if any man shall say unto you, Lo, here is the Christ, or, Here; believe it not.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 24] For there shall arise false Christs, and false prophets, and shall shew great signs and wonders; so as to lead astray, if possible, even the elect.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 25] Behold, I have told you beforehand.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 26] If therefore they shall say unto you, Behold, he is in the wilderness; go not forth: Behold, he is in the inner chambers; believe it not.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 27] For as the lightning cometh forth from the east, and is seen even unto the west; so shall be the coming of the Son of man.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 28] Wheresoever the carcase is, there will the eagles be gathered together.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 29] But immediately, after the tribulation of those days, the sun shall be darkened, and the moon shall not give her light, and the stars shall fall from heaven, and the powers of the heavens shall be shaken:
[ERV | EN | NT | Matthew | Chapter 24 | Verse 30] and then shall appear the sign of the Son of man in heaven: and then shall all the tribes of the earth mourn, and they shall see the Son of man coming on the clouds of heaven with power and great glory.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 31] And he shall send forth his angels with a great sound of a trumpet, and they shall gather together his elect from the four winds, from one end of heaven to the other.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 32] Now from the fig tree learn her parable: when her branch is now become tender, and putteth forth its leaves, ye know that the summer is nigh;
[ERV | EN | NT | Matthew | Chapter 24 | Verse 33] even so ye also, when ye see all these things, know ye that he is nigh, even at the doors.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 34] Verily I say unto you, This generation shall not pass away, till all these things be accomplished.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 35] Heaven and earth shall pass away, but my words shall not pass away.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 36] But of that day and hour knoweth no one, not even the angels of heaven, neither the Son, but the Father only.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 37] And as were the days of Noah, so shall be the coming of the Son of man.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 38] For as in those days which were before the flood they were eating and drinking, marrying and giving in marriage, until the day that Noah entered into the ark,
[ERV | EN | NT | Matthew | Chapter 24 | Verse 39] and they knew not until the flood came, and took them all away; so shall be the coming of the Son of man.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 40] Then shall two men be in the field; one is taken, and one is left:
[ERV | EN | NT | Matthew | Chapter 24 | Verse 41] two women shall be grinding at the mill; one is taken, and one is left.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 42] Watch therefore: for ye know not on what day your Lord cometh.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 43] But know this, that if the master of the house had known in what watch the thief was coming, he would have watched, and would not have suffered his house to be broken through.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 44] Therefore be ye also ready: for in an hour that ye think not the Son of man cometh.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 45] Who then is the faithful and wise servant, whom his lord hath set over his household, to give them their food in due season?
[ERV | EN | NT | Matthew | Chapter 24 | Verse 46] Blessed is that servant, whom his lord when he cometh shall find so doing.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 47] Verily I say unto you, that he will set him over all that he hath.
[ERV | EN | NT | Matthew | Chapter 24 | Verse 48] But if that evil servant shall say in his heart, My lord tarrieth;
[ERV | EN | NT | Matthew | Chapter 24 | Verse 49] and shall begin to beat his fellow-servants, and shall eat and drink with the drunken;
[ERV | EN | NT | Matthew | Chapter 24 | Verse 50] the lord of that servant shall come in a day when he expecteth not, and in an hour when he knoweth not,
[ERV | EN | NT | Matthew | Chapter 24 | Verse 51] and shall cut him asunder, and appoint his portion with the hypocrites: there shall be the weeping and gnashing of teeth.
