[ERV | EN | NT | Matthew | Chapter 22 | Verse 1] And Jesus answered and spake again in parables unto them, saying,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 2] The kingdom of heaven is likened unto a certain king, which made a marriage feast for his son,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 3] and sent forth his servants to call them that were bidden to the marriage feast: and they would not come.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 4] Again he sent forth other servants, saying, Tell them that are bidden, Behold, I have made ready my dinner: my oxen and my fatlings are killed, and all things are ready: come to the marriage feast.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 5] But they made light of it, and went their ways, one to his own farm, another to his merchandise:
[ERV | EN | NT | Matthew | Chapter 22 | Verse 6] and the rest laid hold on his servants, and entreated them shamefully, and killed them.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 7] But the king was wroth; and he sent his armies, and destroyed those murderers, and burned their city.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 8] Then saith he to his servants, The wedding is ready, but they that were bidden were not worthy.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 9] Go ye therefore unto the partings of the highways, and as many as ye shall find, bid to the marriage feast.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 10] And those servants went out into the highways, and gathered together all as many as they found, both bad and good: and the wedding was filled with guests.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 11] But when the king came in to behold the guests, he saw there a man which had not on a wedding-garment:
[ERV | EN | NT | Matthew | Chapter 22 | Verse 12] and he saith unto him, Friend, how camest thou in hither not having a wedding-garment? And he was speechless.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 13] Then the king said to the servants, Bind him hand and foot, and cast him out into the outer darkness; there shall be the weeping and gnashing of teeth.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 14] For many are called, but few chosen.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 15] Then went the Pharisees, and took counsel how they might ensnare him in his talk.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 16] And they send to him their disciples, with the Herodians, saying, Master, we know that thou art true, and teachest the way of God in truth, and carest not for any one: for thou regardest not the person of men.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 17] Tell us therefore, What thinkest thou? Is it lawful to give tribute unto Caesar, or not?
[ERV | EN | NT | Matthew | Chapter 22 | Verse 18] But Jesus perceived their wickedness, and said, Why tempt ye me, ye hypocrites?
