[ERV | EN | NT | Matthew | Chapter 4 | Verse 1] Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 2] And when he had fasted forty days and forty nights, he afterward hungered.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 3] And the tempter came and said unto him, If thou art the Son of God, command that these stones become bread.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 4] But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 5] Then the devil taketh him into the holy city; and he set him on the pinnacle of the temple,
[ERV | EN | NT | Matthew | Chapter 4 | Verse 6] and saith unto him, If thou art the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: And on their hands they shall bear thee up, Lest haply thou dash thy foot against a stone.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 7] Jesus said unto him, Again it is written, Thou shalt not tempt the Lord thy God.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 8] Again, the devil taketh him unto an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them;
[ERV | EN | NT | Matthew | Chapter 4 | Verse 9] and he said unto him, All these things will I give thee, if thou wilt fall down and worship me.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 10] Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 11] Then the devil leaveth him; and behold, angels came and ministered unto him.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 12] Now when he heard that John was delivered up, he withdrew into Galilee;
[ERV | EN | NT | Matthew | Chapter 4 | Verse 13] and leaving Nazareth, he came and dwelt in Capernaum, which is by the sea, in the borders of Zebulun and Naphtali:
[ERV | EN | NT | Matthew | Chapter 4 | Verse 14] that it might be fulfilled which was spoken by Isaiah the prophet, saying,
[ERV | EN | NT | Matthew | Chapter 4 | Verse 15] The land of Zebulun and the land of Naphtali, Toward the sea, beyond Jordan, Galilee of the Gentiles,
[ERV | EN | NT | Matthew | Chapter 4 | Verse 16] The people which sat in darkness Saw a great light, And to them which sat in the region and shadow of death, To them did light spring up.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 17] From that time began Jesus to preach, and to say, Repent ye; for the kingdom of heaven is at hand.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 18] And walking by the sea of Galilee, he saw two brethren, Simon who is called Peter, and Andrew his brother, casting a net into the sea; for they were fishers.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 19] And he saith unto them, Come ye after me, and I will make you fishers of men.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 20] And they straightway left the nets, and followed him.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 21] And going on from thence he saw other two brethren, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets; and he called them.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 22] And they straightway left the boat and their father, and followed him.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 23] And Jesus went about in all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of disease and all manner of sickness among the people.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 24] And the report of him went forth into all Syria: and they brought unto him all that were sick, holden with divers diseases and torments, possessed with devils, and epileptic, and palsied; and he healed them.
[ERV | EN | NT | Matthew | Chapter 4 | Verse 25] And there followed him great multitudes from Galilee and Decapolis and Jerusalem and Judaea and from beyond Jordan.
