[BSB | EN | OT | Genesis | Chapter 11 | Verse 1] Now the whole world had one language and a common form of speech.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 2] And as people journeyed eastward, they found a plain in the land of Shinar and settled there.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 3] And they said to one another, “Come, let us make bricks and bake them thoroughly.” So they used brick instead of stone, and tar instead of mortar.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 4] “Come,” they said, “let us build for ourselves a city with a tower that reaches to the heavens, that we may make a name for ourselves and not be scattered over the face of all the earth.”
[BSB | EN | OT | Genesis | Chapter 11 | Verse 5] Then the LORD came down to see the city and the tower that the sons of men were building.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 6] And the LORD said, “If they have begun to do this as one people speaking the same language, then nothing they devise will be beyond them.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 7] Come, let Us go down and confuse their language, so that they will not understand one another’s speech.”
[BSB | EN | OT | Genesis | Chapter 11 | Verse 8] So the LORD scattered them from there over the face of all the earth, and they stopped building the city.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 9] That is why it is called Babel, for there the LORD confused the language of the whole world, and from that place the LORD scattered them over the face of all the earth.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 10] This is the account of Shem. Two years after the flood, when Shem was 100 years old, he became the father of Arphaxad.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 11] And after he had become the father of Arphaxad, Shem lived 500 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 12] When Arphaxad was 35 years old, he became the father of Shelah.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 13] And after he had become the father of Shelah, Arphaxad lived 403 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 14] When Shelah was 30 years old, he became the father of Eber.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 15] And after he had become the father of Eber, Shelah lived 403 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 16] When Eber was 34 years old, he became the father of Peleg.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 17] And after he had become the father of Peleg, Eber lived 430 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 18] When Peleg was 30 years old, he became the father of Reu.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 19] And after he had become the father of Reu, Peleg lived 209 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 20] When Reu was 32 years old, he became the father of Serug.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 21] And after he had become the father of Serug, Reu lived 207 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 22] When Serug was 30 years old, he became the father of Nahor.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 23] And after he had become the father of Nahor, Serug lived 200 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 24] When Nahor was 29 years old, he became the father of Terah.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 25] And after he had become the father of Terah, Nahor lived 119 years and had other sons and daughters.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 26] When Terah was 70 years old, he became the father of Abram, Nahor, and Haran.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 27] This is the account of Terah. Terah became the father of Abram, Nahor, and Haran. And Haran became the father of Lot.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 28] During his father Terah’s lifetime, Haran died in his native land, in Ur of the Chaldeans.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 29] And Abram and Nahor took wives for themselves. Abram’s wife was named Sarai, and Nahor’s wife was named Milcah; she was the daughter of Haran, who was the father of both Milcah and Iscah.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 30] But Sarai was barren; she had no children.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 31] And Terah took his son Abram, his grandson Lot son of Haran, and his daughter-in-law Sarai the wife of Abram, and they set out from Ur of the Chaldeans for the land of Canaan. But when they arrived in Haran, they settled there.
[BSB | EN | OT | Genesis | Chapter 11 | Verse 32] Terah lived 205 years, and he died in Haran.
