[BSB | EN | OT | Genesis | Chapter 9 | Verse 1] And God blessed Noah and his sons and said to them, “Be fruitful and multiply and fill the earth.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 2] The fear and dread of you will fall on every living creature on the earth, every bird of the air, every creature that crawls on the ground, and all the fish of the sea. They are delivered into your hand.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 3] Everything that lives and moves will be food for you; just as I gave you the green plants, I now give you all things.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 4] But you must not eat meat with its lifeblood still in it.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 5] And surely I will require the life of any man or beast by whose hand your lifeblood is shed. I will demand an accounting from anyone who takes the life of his fellow man:
[BSB | EN | OT | Genesis | Chapter 9 | Verse 6] Whoever sheds the blood of man, by man his blood will be shed; for in His own image God has made mankind.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 7] But as for you, be fruitful and multiply; spread out across the earth and multiply upon it.”
[BSB | EN | OT | Genesis | Chapter 9 | Verse 8] Then God said to Noah and his sons with him,
[BSB | EN | OT | Genesis | Chapter 9 | Verse 9] “Behold, I now establish My covenant with you and your descendants after you,
[BSB | EN | OT | Genesis | Chapter 9 | Verse 10] and with every living creature that was with you—the birds, the livestock, and every beast of the earth—every living thing that came out of the ark.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 11] And I establish My covenant with you: Never again will all life be cut off by the waters of a flood; never again will there be a flood to destroy the earth.”
[BSB | EN | OT | Genesis | Chapter 9 | Verse 12] And God said, “This is the sign of the covenant I am making between Me and you and every living creature with you, a covenant for all generations to come:
[BSB | EN | OT | Genesis | Chapter 9 | Verse 13] I have set My rainbow in the clouds, and it will be a sign of the covenant between Me and the earth.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 14] Whenever I form clouds over the earth and the rainbow appears in the clouds,
[BSB | EN | OT | Genesis | Chapter 9 | Verse 15] I will remember My covenant between Me and you and every living creature of every kind. Never again will the waters become a flood to destroy all life.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 16] And whenever the rainbow appears in the clouds, I will see it and remember the everlasting covenant between God and every living creature of every kind that is on the earth.”
[BSB | EN | OT | Genesis | Chapter 9 | Verse 17] So God said to Noah, “This is the sign of the covenant that I have established between Me and every creature on the earth.”
[BSB | EN | OT | Genesis | Chapter 9 | Verse 18] The sons of Noah who came out of the ark were Shem, Ham, and Japheth. And Ham was the father of Canaan.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 19] These three were the sons of Noah, and from them the whole earth was populated.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 20] Now Noah, a man of the soil, proceeded to plant a vineyard.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 21] But when he drank some of its wine, he became drunk and uncovered himself inside his tent.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 22] And Ham, the father of Canaan, saw his father’s nakedness and told his two brothers outside.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 23] Then Shem and Japheth took a garment and placed it across their shoulders, and walking backward, they covered their father’s nakedness. Their faces were turned away so that they did not see their father’s nakedness.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 24] When Noah awoke from his drunkenness and learned what his youngest son had done to him,
[BSB | EN | OT | Genesis | Chapter 9 | Verse 25] he said, “Cursed be Canaan! A servant of servants shall he be to his brothers.”
[BSB | EN | OT | Genesis | Chapter 9 | Verse 26] He also declared: “Blessed be the LORD, the God of Shem! May Canaan be the servant of Shem.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 27] May God expand the territory of Japheth; may he dwell in the tents of Shem, and may Canaan be his servant.”
[BSB | EN | OT | Genesis | Chapter 9 | Verse 28] After the flood, Noah lived 350 years.
[BSB | EN | OT | Genesis | Chapter 9 | Verse 29] So Noah lived a total of 950 years, and then he died.
