[BSB | EN | OT | Genesis | Chapter 47 | Verse 1] So Joseph went and told Pharaoh: “My father and my brothers, with their flocks and herds and all they own, have come from the land of Canaan and are now in Goshen.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 2] And he chose five of his brothers and presented them before Pharaoh.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 3] “What is your occupation?” Pharaoh asked Joseph’s brothers. “Your servants are shepherds,” they replied, “both we and our fathers.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 4] Then they said to Pharaoh, “We have come to live in the land for a time, because there is no pasture for the flocks of your servants, since the famine in the land of Canaan has been severe. So now, please allow your servants to settle in the land of Goshen.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 5] Pharaoh said to Joseph, “Now that your father and brothers have come to you,
[BSB | EN | OT | Genesis | Chapter 47 | Verse 6] the land of Egypt is before you; settle your father and brothers in the best part of the land. They may dwell in the land of Goshen. And if you know of any talented men among them, put them in charge of my own livestock.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 7] Then Joseph brought in his father Jacob and presented him before Pharaoh, and Jacob blessed Pharaoh.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 8] “How many years have you lived?” Pharaoh asked.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 9] “My travels have lasted 130 years,” Jacob replied. “My years have been few and hard, and they have not matched the years of the travels of my fathers.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 10] Then Jacob blessed Pharaoh and departed from his presence.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 11] So Joseph settled his father and brothers in the land of Egypt and gave them property in the best part of the land, the district of Rameses, as Pharaoh had commanded.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 12] Joseph also provided his father and brothers and all his father’s household with food for their families.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 13] There was no food, however, in all that region, because the famine was so severe; the lands of Egypt and Canaan had been exhausted by the famine.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 14] Joseph collected all the money to be found in the land of Egypt and the land of Canaan in exchange for the grain they were buying, and he brought it into Pharaoh’s palace.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 15] When the money from the lands of Egypt and Canaan was gone, all the Egyptians came to Joseph and said, “Give us food. Why should we die before your eyes? For our funds have run out!”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 16] “Then bring me your livestock,” said Joseph. “Since the money is gone, I will sell you food in exchange for your livestock.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 17] So they brought their livestock to Joseph, and he gave them food in exchange for their horses, their flocks and herds, and their donkeys. Throughout that year he provided them with food in exchange for all their livestock.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 18] When that year was over, they came to him the second year and said, “We cannot hide from our lord that our money is gone and all our livestock belongs to you. There is nothing left for our lord except our bodies and our land.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 19] Why should we perish before your eyes—we and our land as well? Purchase us and our land in exchange for food. Then we, along with our land, will be slaves to Pharaoh. Give us seed that we may live and not die, and that the land may not become desolate.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 20] So Joseph acquired for Pharaoh all the land in Egypt; the Egyptians, one and all, sold their fields because the famine was so severe upon them. The land became Pharaoh’s,
[BSB | EN | OT | Genesis | Chapter 47 | Verse 21] and Joseph reduced the people to servitude from one end of Egypt to the other.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 22] However, he did not acquire the priests’ portion of the land, for it had been given to them by Pharaoh. They ate the rations that Pharaoh supplied; so they did not sell their land.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 23] Then Joseph said to the people, “Now that I have acquired you and your land for Pharaoh this day, here is seed for you to sow in the land.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 24] At harvest time, you are to give a fifth of it to Pharaoh, and four-fifths will be yours as seed for the field and food for yourselves and your households and children.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 25] “You have saved our lives,” they said. “We have found favor in our lord’s eyes, and we will be Pharaoh’s servants.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 26] So Joseph established a law that a fifth of the produce belongs to Pharaoh, and it is in effect in the land of Egypt to this day. Only the priests’ land does not belong to Pharaoh.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 27] Now the Israelites settled in the land of Egypt, in the region of Goshen. They acquired property there and became fruitful and increased greatly in number.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 28] And Jacob lived in the land of Egypt seventeen years, and the length of his life was 147 years.
[BSB | EN | OT | Genesis | Chapter 47 | Verse 29] When the time drew near for Israel to die, he called his son Joseph and said to him, “If I have found favor in your eyes, put your hand under my thigh and promise to show me kindness and faithfulness. Do not bury me in Egypt,
[BSB | EN | OT | Genesis | Chapter 47 | Verse 30] but when I lie down with my fathers, carry me out of Egypt and bury me with them.” Joseph answered, “I will do as you have requested.”
[BSB | EN | OT | Genesis | Chapter 47 | Verse 31] “Swear to me,” Jacob said. So Joseph swore to him, and Israel bowed in worship at the head of his bed.
