[BSB | EN | OT | Genesis | Chapter 26 | Verse 1] Now there was another famine in the land, subsequent to the one that had occurred in Abraham’s time. And Isaac went to Abimelech king of the Philistines at Gerar.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 2] The LORD appeared to Isaac and said, “Do not go down to Egypt. Settle in the land where I tell you.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 3] Stay in this land as a foreigner, and I will be with you and bless you. For I will give all these lands to you and your offspring, and I will confirm the oath that I swore to your father Abraham.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 4] I will make your descendants as numerous as the stars in the sky, and I will give them all these lands, and through your offspring all nations of the earth will be blessed,
[BSB | EN | OT | Genesis | Chapter 26 | Verse 5] because Abraham listened to My voice and kept My charge, My commandments, My statutes, and My laws.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 6] So Isaac settled in Gerar.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 7] But when the men of that place asked about his wife, he said, “She is my sister.” For he was afraid to say, “She is my wife,” since he thought to himself, “The men of this place will kill me on account of Rebekah, because she is so beautiful.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 8] When Isaac had been there a long time, Abimelech king of the Philistines looked down from the window and was surprised to see Isaac caressing his wife Rebekah.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 9] Abimelech sent for Isaac and said, “So she is really your wife! How could you say, ‘She is my sister’?” Isaac replied, “Because I thought I might die on account of her.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 10] “What is this you have done to us?” asked Abimelech. “One of the people could easily have slept with your wife, and you would have brought guilt upon us.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 11] So Abimelech warned all the people, saying, “Whoever harms this man or his wife will surely be put to death.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 12] Now Isaac sowed seed in the land, and that very year he reaped a hundredfold. And the LORD blessed him,
[BSB | EN | OT | Genesis | Chapter 26 | Verse 13] and he became richer and richer, until he was exceedingly wealthy.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 14] He owned so many flocks and herds and servants that the Philistines envied him.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 15] So the Philistines took dirt and stopped up all the wells that his father’s servants had dug in the days of his father Abraham.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 16] Then Abimelech said to Isaac, “Depart from us, for you are much too powerful for us.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 17] So Isaac left that place and encamped in the Valley of Gerar and settled there.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 18] Isaac reopened the wells that had been dug in the days of his father Abraham, which the Philistines had stopped up after Abraham died. And he gave these wells the same names his father had given them.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 19] Then Isaac’s servants dug in the valley and found a well of fresh water there.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 20] But the herdsmen of Gerar quarreled with Isaac’s herdsmen and said, “The water is ours!” So he named the well Esek, because they contended with him.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 21] Then they dug another well and quarreled over that one also; so he named it Sitnah.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 22] He moved on from there and dug another well, and they did not quarrel over it. He named it Rehoboth and said, “At last the LORD has made room for us, and we will be fruitful in the land.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 23] From there Isaac went up to Beersheba,
[BSB | EN | OT | Genesis | Chapter 26 | Verse 24] and that night the LORD appeared to him and said, “I am the God of your father Abraham. Do not be afraid, for I am with you. I will bless you and multiply your descendants for the sake of My servant Abraham.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 25] So Isaac built an altar there and called on the name of the LORD, and he pitched his tent there. His servants also dug a well there.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 26] Later, Abimelech came to Isaac from Gerar, with Ahuzzath his adviser and Phicol the commander of his army.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 27] “Why have you come to me?” Isaac asked them. “You hated me and sent me away.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 28] “We can plainly see that the LORD has been with you,” they replied. “We recommend that there should now be an oath between us and you. Let us make a covenant with you
[BSB | EN | OT | Genesis | Chapter 26 | Verse 29] that you will not harm us, just as we have not harmed you but have done only good to you, sending you on your way in peace. And now you are blessed by the LORD.”
[BSB | EN | OT | Genesis | Chapter 26 | Verse 30] So Isaac prepared a feast for them, and they ate and drank.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 31] And they got up early the next morning and swore an oath to each other. Then Isaac sent them on their way, and they left him in peace.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 32] On that same day, Isaac’s servants came and told him about the well they had dug. “We have found water!” they told him.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 33] So he called it Shibah, and to this day the name of the city is Beersheba.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 34] When Esau was forty years old, he took as his wives Judith daughter of Beeri the Hittite and Basemath daughter of Elon the Hittite.
[BSB | EN | OT | Genesis | Chapter 26 | Verse 35] And they brought grief to Isaac and Rebekah.
