[BSB | EN | OT | Genesis | Chapter 30 | Verse 1] When Rachel saw that she was not bearing any children for Jacob, she envied her sister. “Give me children, or I will die!” she said to Jacob.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 2] Jacob became angry with Rachel and said, “Am I in the place of God, who has withheld children from you?”
[BSB | EN | OT | Genesis | Chapter 30 | Verse 3] Then she said, “Here is my maidservant Bilhah. Sleep with her, that she may bear children for me, so that through her I too can build a family.”
[BSB | EN | OT | Genesis | Chapter 30 | Verse 4] So Rachel gave Jacob her servant Bilhah as a wife, and he slept with her,
[BSB | EN | OT | Genesis | Chapter 30 | Verse 5] and Bilhah conceived and bore him a son.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 6] Then Rachel said, “God has vindicated me; He has heard my plea and given me a son.” So she named him Dan.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 7] And Rachel’s servant Bilhah conceived again and bore Jacob a second son.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 8] Then Rachel said, “In my great struggles, I have wrestled with my sister and won.” So she named him Naphtali.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 9] When Leah saw that she had stopped having children, she gave her servant Zilpah to Jacob as a wife.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 10] And Leah’s servant Zilpah bore Jacob a son.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 11] Then Leah said, “How fortunate!” So she named him Gad.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 12] When Leah’s servant Zilpah bore Jacob a second son,
[BSB | EN | OT | Genesis | Chapter 30 | Verse 13] Leah said, “How happy I am! For the women call me happy.” So she named him Asher.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 14] Now during the wheat harvest, Reuben went out and found some mandrakes in the field. When he brought them to his mother, Rachel begged Leah, “Please give me some of your son’s mandrakes.”
[BSB | EN | OT | Genesis | Chapter 30 | Verse 15] But Leah replied, “Is it not enough that you have taken away my husband? Now you want to take my son’s mandrakes as well?” “Very well,” said Rachel, “he may sleep with you tonight in exchange for your son’s mandrakes.”
[BSB | EN | OT | Genesis | Chapter 30 | Verse 16] When Jacob came in from the field that evening, Leah went out to meet him and said, “You must come with me, for I have hired you with my son’s mandrakes.” So he slept with her that night.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 17] And God listened to Leah, and she conceived and bore a fifth son to Jacob.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 18] Then Leah said, “God has rewarded me for giving my maidservant to my husband.” So she named him Issachar.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 19] Again Leah conceived and bore a sixth son to Jacob.
[BSB | EN | OT | Genesis | Chapter 30 | Verse 20] “God has given me a good gift,” she said. “This time my husband will honor me, because I have borne him six sons.” And she named him Zebulun.
