[BSB | EN | OT | Genesis | Chapter 10 | Verse 1] This is the account of Noah’s sons Shem, Ham, and Japheth, who also had sons after the flood.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 3] The sons of Gomer: Ashkenaz, Riphath, and Togarmah.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 4] And the sons of Javan: Elishah, Tarshish, the Kittites, and the Rodanites.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 5] From these, the maritime peoples separated into their territories, according to their languages, by clans within their nations.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 6] The sons of Ham: Cush, Mizraim, Put, and Canaan.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 7] The sons of Cush: Seba, Havilah, Sabtah, Raamah, and Sabteca. And the sons of Raamah: Sheba and Dedan.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 8] Cush was the father of Nimrod, who began to be a mighty one on the earth.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 9] He was a mighty hunter before the LORD; so it is said, “Like Nimrod, a mighty hunter before the LORD.”
[BSB | EN | OT | Genesis | Chapter 10 | Verse 10] His kingdom began in Babylon, Erech, Accad, and Calneh, in the land of Shinar.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 11] From that land he went forth into Assyria, where he built Nineveh, Rehoboth-Ir, Calah,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 12] and Resen, which is between Nineveh and the great city of Calah.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 13] Mizraim was the father of the Ludites, the Anamites, the Lehabites, the Naphtuhites,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 14] the Pathrusites, the Casluhites (from whom the Philistines came), and the Caphtorites.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 15] And Canaan was the father of Sidon his firstborn, and of the Hittites,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 16] the Jebusites, the Amorites, the Girgashites,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 17] the Hivites, the Arkites, the Sinites,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 18] the Arvadites, the Zemarites, and the Hamathites. Later the Canaanite clans were scattered,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 19] and the borders of Canaan extended from Sidon toward Gerar as far as Gaza, and then toward Sodom, Gomorrah, Admah, and Zeboiim, as far as Lasha.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 20] These are the sons of Ham according to their clans, languages, lands, and nations.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 21] And sons were also born to Shem, the older brother of Japheth; Shem was the forefather of all the sons of Eber.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 22] The sons of Shem: Elam, Asshur, Arphaxad, Lud, and Aram.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 23] The sons of Aram: Uz, Hul, Gether, and Mash.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 24] Arphaxad was the father of Shelah, and Shelah was the father of Eber.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 25] Two sons were born to Eber: One was named Peleg, because in his days the earth was divided, and his brother was named Joktan.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 26] And Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 27] Hadoram, Uzal, Diklah,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 28] Obal, Abimael, Sheba,
[BSB | EN | OT | Genesis | Chapter 10 | Verse 29] Ophir, Havilah, and Jobab. All these were sons of Joktan.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 30] Their territory extended from Mesha to Sephar, in the eastern hill country.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 31] These are the sons of Shem, according to their clans, languages, lands, and nations.
[BSB | EN | OT | Genesis | Chapter 10 | Verse 32] All these are the clans of Noah’s sons, according to their generations and nations. From these the nations of the earth spread out after the flood.
