[BSB | EN | OT | Genesis | Chapter 27 | Verse 1] When Isaac was old and his eyes were so weak that he could no longer see, he called his older son Esau and said to him, “My son.” “Here I am,” Esau replied.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 2] “Look,” said Isaac, “I am now old, and I do not know the day of my death.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 3] Take your weapons—your quiver and bow—and go out into the field to hunt some game for me.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 4] Then prepare a tasty dish that I love and bring it to me to eat, so that I may bless you before I die.”
[BSB | EN | OT | Genesis | Chapter 27 | Verse 5] Now Rebekah was listening to what Isaac told his son Esau. So when Esau went into the field to hunt game and bring it back,
[BSB | EN | OT | Genesis | Chapter 27 | Verse 6] Rebekah said to her son Jacob, “Behold, I overheard your father saying to your brother Esau,
[BSB | EN | OT | Genesis | Chapter 27 | Verse 7] ‘Bring me some game and prepare me a tasty dish to eat, so that I may bless you in the presence of the LORD before I die.’
[BSB | EN | OT | Genesis | Chapter 27 | Verse 8] Now, my son, listen to my voice and do exactly as I tell you.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 9] Go out to the flock and bring me two choice young goats, so that I can make them into a tasty dish for your father—the kind he loves.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 10] Then take it to your father to eat, so that he may bless you before he dies.”
[BSB | EN | OT | Genesis | Chapter 27 | Verse 11] Jacob answered his mother Rebekah, “Look, my brother Esau is a hairy man, but I am smooth-skinned.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 12] What if my father touches me? Then I would be revealed to him as a deceiver, and I would bring upon myself a curse rather than a blessing.”
[BSB | EN | OT | Genesis | Chapter 27 | Verse 13] His mother replied, “Your curse be on me, my son. Just obey my voice and go get them for me.”
[BSB | EN | OT | Genesis | Chapter 27 | Verse 14] So Jacob went and got two goats and brought them to his mother, who made the tasty food his father loved.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 15] And Rebekah took the finest clothes in the house that belonged to her older son Esau, and she put them on her younger son Jacob.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 16] She also put the skins of the young goats on his hands and on the smooth part of his neck.
[BSB | EN | OT | Genesis | Chapter 27 | Verse 17] Then she handed her son Jacob the tasty food and bread she had made.
