[BSB | EN | OT | Genesis | Chapter 36 | Verse 1] This is the account of Esau (that is, Edom).
[BSB | EN | OT | Genesis | Chapter 36 | Verse 2] Esau took his wives from the daughters of Canaan: Adah daughter of Elon the Hittite, Oholibamah daughter of Anah and granddaughter of Zibeon the Hivite,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 3] and Basemath daughter of Ishmael and sister of Nebaioth.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 4] And Adah bore Eliphaz to Esau, Basemath gave birth to Reuel,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 5] and Oholibamah gave birth to Jeush, Jalam, and Korah. These were the sons of Esau, who were born to him in the land of Canaan.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 6] Later, Esau took his wives and sons and daughters and all the people of his household, along with his livestock, all his other animals, and all the property he had acquired in Canaan, and he moved to a land far away from his brother Jacob.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 7] For their possessions were too great for them to dwell together; the land where they stayed could not support them because of their livestock.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 8] So Esau (that is, Edom) settled in the area of Mount Seir.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 9] This is the account of Esau, the father of the Edomites, in the area of Mount Seir.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 10] These are the names of Esau’s sons: Eliphaz son of Esau’s wife Adah, and Reuel son of Esau’s wife Basemath.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 11] The sons of Eliphaz were Teman, Omar, Zepho, Gatam, and Kenaz.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 12] Additionally, Timna, a concubine of Esau’s son Eliphaz, gave birth to Amalek. These are the grandsons of Esau’s wife Adah.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 13] These are the sons of Reuel: Nahath, Zerah, Shammah, and Mizzah. They are the grandsons of Esau’s wife Basemath.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 14] These are the sons of Esau’s wife Oholibamah (daughter of Anah and granddaughter of Zibeon) whom she bore to Esau: Jeush, Jalam, and Korah.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 15] These are the chiefs among the sons of Esau. The sons of Eliphaz the firstborn of Esau: Chiefs Teman, Omar, Zepho, Kenaz,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 16] Korah, Gatam, and Amalek. They are the chiefs of Eliphaz in the land of Edom, and they are the grandsons of Adah.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 17] These are the sons of Esau’s son Reuel: Chiefs Nahath, Zerah, Shammah, and Mizzah. They are the chiefs descended from Reuel in the land of Edom, and they are the grandsons of Esau’s wife Basemath.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 18] These are the sons of Esau’s wife Oholibamah: Chiefs Jeush, Jalam, and Korah. They are the chiefs descended from Esau’s wife Oholibamah, the daughter of Anah.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 19] All these are the sons of Esau (that is, Edom), and they were their chiefs.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 20] These are the sons of Seir the Horite, who were living in the land: Lotan, Shobal, Zibeon, Anah,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 21] Dishon, Ezer, and Dishan. They are the chiefs of the Horites, the descendants of Seir in the land of Edom.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 22] The sons of Lotan were Hori and Hemam. Timna was Lotan’s sister.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 23] These are the sons of Shobal: Alvan, Manahath, Ebal, Shepho, and Onam.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 24] These are the sons of Zibeon: Aiah and Anah. (This is the Anah who found the hot springs in the wilderness as he was pasturing the donkeys of his father Zibeon.)
[BSB | EN | OT | Genesis | Chapter 36 | Verse 25] These are the children of Anah: Dishon and Oholibamah daughter of Anah.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 26] These are the sons of Dishon: Hemdan, Eshban, Ithran, and Cheran.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 27] These are the sons of Ezer: Bilhan, Zaavan, and Akan.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 28] These are the sons of Dishan: Uz and Aran.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 29] These are the chiefs of the Horites: Chiefs Lotan, Shobal, Zibeon, Anah,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 30] Dishon, Ezer, and Dishan. They are the chiefs of the Horites, according to their divisions in the land of Seir.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 31] These are the kings who reigned in the land of Edom before any king reigned over the Israelites:
[BSB | EN | OT | Genesis | Chapter 36 | Verse 32] Bela son of Beor reigned in Edom; the name of his city was Dinhabah.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 33] When Bela died, Jobab son of Zerah from Bozrah reigned in his place.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 34] When Jobab died, Husham from the land of the Temanites reigned in his place.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 35] When Husham died, Hadad son of Bedad, who defeated Midian in the country of Moab, reigned in his place. And the name of his city was Avith.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 36] When Hadad died, Samlah from Masrekah reigned in his place.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 37] When Samlah died, Shaul from Rehoboth on the Euphrates reigned in his place.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 38] When Shaul died, Baal-hanan son of Achbor reigned in his place.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 39] When Baal-hanan son of Achbor died, Hadad reigned in his place. His city was named Pau, and his wife’s name was Mehetabel daughter of Matred, the daughter of Me-zahab.
[BSB | EN | OT | Genesis | Chapter 36 | Verse 40] These are the names of Esau’s chiefs, according to their families and regions, by their names: Chiefs Timna, Alvah, Jetheth,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 41] Oholibamah, Elah, Pinon,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 42] Kenaz, Teman, Mibzar,
[BSB | EN | OT | Genesis | Chapter 36 | Verse 43] Magdiel, and Iram. These were the chiefs of Edom, according to their settlements in the land they possessed. Esau was the father of the Edomites.
