[BSB | EN | OT | Genesis | Chapter 24 | Verse 1] By now Abraham was old and well along in years, and the LORD had blessed him in every way.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 2] So Abraham instructed the chief servant of his household, who managed all he owned, “Place your hand under my thigh,
[BSB | EN | OT | Genesis | Chapter 24 | Verse 3] and I will have you swear by the LORD, the God of heaven and the God of earth, that you will not take a wife for my son from the daughters of the Canaanites among whom I am dwelling,
[BSB | EN | OT | Genesis | Chapter 24 | Verse 4] but will go to my country and my kindred to take a wife for my son Isaac.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 5] The servant asked him, “What if the woman is unwilling to follow me to this land? Shall I then take your son back to the land from which you came?”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 6] Abraham replied, “Make sure that you do not take my son back there.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 7] The LORD, the God of heaven, who brought me from my father’s house and my native land, who spoke to me and promised me on oath, saying, ‘To your offspring I will give this land’—He will send His angel before you so that you can take a wife for my son from there.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 8] And if the woman is unwilling to follow you, then you are released from this oath of mine. Only do not take my son back there.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 9] So the servant placed his hand under the thigh of his master Abraham and swore an oath to him concerning this matter.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 10] Then the servant took ten of his master’s camels and departed with all manner of good things from his master in hand. And he set out for Nahor’s hometown in Aram-naharaim.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 11] As evening approached, he made the camels kneel down near the well outside the town at the time when the women went out to draw water.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 12] “O LORD, God of my master Abraham,” he prayed, “please grant me success today, and show kindness to my master Abraham.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 13] Here I am, standing beside the spring, and the daughters of the townspeople are coming out to draw water.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 14] Now may it happen that the girl to whom I say, ‘Please let down your jar that I may drink,’ and who responds, ‘Drink, and I will water your camels as well’—let her be the one You have appointed for Your servant Isaac. By this I will know that You have shown kindness to my master.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 15] Before the servant had finished praying, Rebekah came out with her jar on her shoulder. She was the daughter of Bethuel son of Milcah, the wife of Abraham’s brother Nahor.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 16] Now the girl was very beautiful, a virgin who had not had relations with any man. She went down to the spring, filled her jar, and came up again.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 17] So the servant ran to meet her and said, “Please let me have a little water from your jar.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 18] “Drink, my lord,” she replied, and she quickly lowered her jar to her hands and gave him a drink.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 19] After she had given him a drink, she said, “I will also draw water for your camels, until they have had enough to drink.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 20] And she quickly emptied her jar into the trough and ran back to the well to draw water, until she had drawn water for all his camels.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 21] Meanwhile, the man watched her silently to see whether or not the LORD had made his journey a success.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 22] And after the camels had finished drinking, he took out a gold ring weighing a beka, and two gold bracelets for her wrists weighing ten shekels.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 23] “Whose daughter are you?” he asked. “Please tell me, is there room in your father’s house for us to spend the night?”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 24] She replied, “I am the daughter of Bethuel, the son that Milcah bore to Nahor.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 25] Then she added, “We have plenty of straw and feed, as well as a place for you to spend the night.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 26] Then the man bowed down and worshiped the LORD,
[BSB | EN | OT | Genesis | Chapter 24 | Verse 27] saying, “Blessed be the LORD, the God of my master Abraham, who has not withheld His kindness and faithfulness from my master. As for me, the LORD has led me on the journey to the house of my master’s relatives.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 28] The girl ran and told her mother’s household about these things.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 29] Now Rebekah had a brother named Laban, and he rushed out to the man at the spring.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 30] As soon as he saw the ring, and the bracelets on his sister’s wrists, and heard Rebekah’s words, “The man said this to me,” he went and found the man standing by the camels near the spring.
[BSB | EN | OT | Genesis | Chapter 24 | Verse 31] “Come, you who are blessed by the LORD,” said Laban. “Why are you standing out here? I have prepared the house and a place for the camels.”
[BSB | EN | OT | Genesis | Chapter 24 | Verse 32] So the man came to the house, and the camels were unloaded. Straw and feed were brought to the camels, and water to wash his feet and the feet of his companions.
