[BSB | EN | OT | Genesis | Chapter 41 | Verse 1] After two full years had passed, Pharaoh had a dream: He was standing beside the Nile,
[BSB | EN | OT | Genesis | Chapter 41 | Verse 2] when seven cows, sleek and well-fed, came up from the river and began to graze among the reeds.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 3] After them, seven other cows, sickly and thin, came up from the Nile and stood beside the well-fed cows on the bank of the river.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 4] And the cows that were sickly and thin devoured the seven sleek, well-fed cows. Then Pharaoh woke up,
[BSB | EN | OT | Genesis | Chapter 41 | Verse 5] but he fell back asleep and dreamed a second time: Seven heads of grain, plump and ripe, came up on one stalk.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 6] After them, seven other heads of grain sprouted, thin and scorched by the east wind.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 7] And the thin heads of grain swallowed up the seven plump, ripe ones. Then Pharaoh awoke and realized it was a dream.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 8] In the morning his spirit was troubled, so he summoned all the magicians and wise men of Egypt. Pharaoh told them his dreams, but no one could interpret them for him.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 9] Then the chief cupbearer said to Pharaoh, “Today I recall my failures.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 10] Pharaoh was once angry with his servants, and he put me and the chief baker in the custody of the captain of the guard.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 11] One night both the chief baker and I had dreams, and each dream had its own meaning.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 12] Now a young Hebrew was there with us, a servant of the captain of the guard. We told him our dreams and he interpreted them for us individually.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 13] And it happened to us just as he had interpreted: I was restored to my position, and the other man was hanged.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 14] So Pharaoh sent for Joseph, who was quickly brought out of the dungeon. After he had shaved and changed his clothes, he went in before Pharaoh.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 15] Pharaoh said to Joseph, “I had a dream, and no one can interpret it. But I have heard it said of you that when you hear a dream you can interpret it.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 16] “I myself cannot do it,” Joseph replied, “but God will give Pharaoh a sound answer.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 17] Then Pharaoh said to Joseph: “In my dream I was standing on the bank of the Nile,
[BSB | EN | OT | Genesis | Chapter 41 | Verse 18] when seven cows, well-fed and sleek, came up from the river and began to graze among the reeds.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 19] After them, seven other cows—sickly, ugly, and thin—came up. I have never seen such ugly cows in all the land of Egypt!
[BSB | EN | OT | Genesis | Chapter 41 | Verse 20] Then the thin, ugly cows devoured the seven well-fed cows that were there first.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 21] When they had devoured them, however, no one could tell that they had done so; their appearance was as ugly as it had been before. Then I awoke.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 22] In my dream I also saw seven heads of grain, plump and ripe, growing on a single stalk.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 23] After them, seven other heads of grain sprouted—withered, thin, and scorched by the east wind.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 24] And the thin heads of grain swallowed the seven plump ones. I told this dream to the magicians, but no one could explain it to me.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 25] At this, Joseph said to Pharaoh, “The dreams of Pharaoh are one and the same. God has revealed to Pharaoh what He is about to do.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 26] The seven good cows are seven years, and the seven ripe heads of grain are seven years. The dreams have the same meaning.
