[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 1] Therefore, seeing we have this ministry, as we have received mercy, we faint not;
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 2] But have renounced the hidden things of dishonesty; not walking in craftiness, nor handling the word of God deceitfully; but, by manifestation of the truth, commending ourselves to every man's conscience in the sight of God.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 3] But if our gospel is hid, it is hid to them that are lost:
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 4] In whom the god of this world hath blinded the minds of them who believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine to them.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 5] For we preach not ourselves, but Christ Jesus the Lord; and ourselves your servants for Jesus' sake.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 6] For God, who commanded the light to shine out of darkness, hath shined into our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 7] But we have this treasure in earthen vessels, that the excellence of the power may be of God, and not from us.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 8] We are troubled on every side, yet not distressed; we are perplexed, but not in despair;
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 9] Persecuted, but not forsaken; cast down, but not destroyed;
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 10] Always bearing about in the body the dying of the Lord Jesus, that the life also of Jesus may be made manifest in our body.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 11] For we who live are always delivered to death for Jesus' sake, that the life also of Jesus may be made manifest in our mortal flesh.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 12] So then death worketh in us, but life in you.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 13] We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 14] Knowing, that he who raised the Lord Jesus, will raise us also by Jesus, and will present us with you.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 15] For all things are for your sakes, that the abundant grace may, through the thanksgiving of many, redound to the glory of God.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 16] For which cause we faint not; but though our outward man is wasted, yet the inward man is renewed day by day.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 17] For our light affliction, which is but for a moment, worketh out for us a far more exceeding and eternal weight of glory;
[WEBSTER | EN | NT | 2 Corinthians | Chapter 4 | Verse 18] While we look not at the things which are seen, but at the things which are not seen: for the things which are seen are temporal; but the things which are not seen are eternal.
