[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 1] Now I Paul myself beseech you, by the meekness and gentleness of Christ, who in presence am base among you, but being absent am bold towards you:
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 2] But I beseech you , that I may not be bold when I am present with that confidence, with which I think to be bold against some, who think of us as if we walked according to the flesh.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 3] For though we walk in the flesh, we do not war according to the flesh:
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 4] (For the weapons of our warfare are not carnal, but mighty through God to the pulling down of strong holds;)
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 5] Casting down imaginations, and every high thing that exalteth itself against the knowledge of God, and bringing into captivity every thought to the obedience of Christ;
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 6] And having in a readiness to avenge all disobedience, when your obedience is fulfilled.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 7] Do ye look on things after the outward appearance? If any man trusteth to himself that he is Christ's, let him of himself think this again, that, as he is Christ's, even so are we Christ's.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 8] For though I should boast somewhat more of our authority, which the Lord hath given us for edification, and not for your destruction, I should not be ashamed:
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 9] That I may not seem as if I would terrify you by letters.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 10] For his letters (say they) are weighty and powerful; but his bodily presence is weak, and his speech contemptible.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 11] Let such one think this, that such as we are in word by letters when we are absent, such will we be also in deed when we are present.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 12] For we dare not make ourselves of the number, or compare ourselves with some that commend themselves: but they measuring themselves by themselves, and comparing themselves among themselves, are not wise.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 13] But we will not boast of things without our measure, but according to the measure of the rule which God hath distributed to us, a measure to reach even to you.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 14] For we stretch not ourselves beyond our measure , as though we reached not to you; for we are come as far as to you also in preaching the gospel of Christ:
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 15] Not boasting of things without our measure, that is , of other men's labors; but having hope, when your faith is increased, that we shall be enlarged by you, according to our rule abundantly,
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 16] To preach the gospel in the regions beyond you, and not to boast in another man's line of things made ready to our hand.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 17] But he that glorieth, let him glory in the Lord.
[WEBSTER | EN | NT | 2 Corinthians | Chapter 10 | Verse 18] For not he that commendeth himself is approved, but whom the Lord commendeth.
