[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 1] And they continued three years without war between Syria and Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 2] And it came to pass in the third year, that Jehoshaphat the king of Judah came down to the king of Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 3] And the king of Israel said to his servants, Know ye that Ramoth in Gilead is ours, and we are still, and take it not out of the hand of the king of Syria?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 4] And he said to Jehoshaphat, Wilt thou go with me to battle to Ramoth-gilead? And Jehoshaphat said to the king of Israel, I am as thou art , my people as thy people, my horses as thy horses.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 5] And Jehoshaphat said to the king of Israel, Inquire, I pray thee, at the word of the LORD to-day.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 6] Then the king of Israel assembled the prophets, about four hundred men, and said to them, Shall I go against Ramoth-gilead to battle, or shall I forbear? And they said, Go up; for the LORD will deliver it into the hand of the king.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 7] And Jehoshaphat said, Is there not here a prophet of the LORD besides, that we may inquire of him?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 8] And the king of Israel said to Jehoshaphat, There is yet one man, Micaiah the son of Imlah, by whom we may inquire of the LORD: but I hate him; for he doth not prophesy good concerning me, but evil. And Jehoshaphat said, Let not the king say so.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 9] Then the king of Israel called an officer, and said, Hasten hither Micaiah the son of Imlah.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 10] And the king of Israel and Jehoshaphat the king of Judah sat each on his throne, having put on their robes, in a void place in the entrance of the gate of Samaria; and all the prophets prophesied before them.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 11] And Zedekiah the son of Chenaanah made him horns of iron: and he said, Thus saith the LORD, With these shalt thou push the Syrians, until thou hast consumed them.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 12] And all the prophets prophesied so, saying, Go up to Ramoth-gilead, and prosper: for the LORD will deliver it into the king's hand.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 13] And the messenger that went to call Micaiah, spoke to him, saying, Behold now, the words of the prophets declare good to the king with one mouth: let thy word, I pray thee, be like the word of one of them, and speak that which is good.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 14] And Micaiah said, As the LORD liveth, what the LORD saith to me, that will I speak.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 15] So he came to the king. And the king said to him, Micaiah, shall we go against Ramoth-gilead to battle, or shall we forbear? And he answered him, Go, and prosper: for the LORD will deliver it into the hand of the king.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 16] And the king said to him, How many times shall I adjure thee that thou tell me nothing but that which is true in the name of the LORD?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 17] And he said, I saw all Israel scattered upon the hills, as sheep that have not a shepherd: and the LORD said, These have no master: let them return every man to his house in peace.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 18] And the king of Israel said to Jehoshaphat, Did I not tell thee that he would prophesy no good concerning me, but evil?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 19] And he said, Hear thou therefore the word of the LORD: I saw the LORD sitting on his throne, and all the host of heaven standing by him on his right hand and on his left.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 20] And the LORD said, Who shall persuade Ahab, that he may go up and fall at Ramoth-gilead? And one said in this manner, and another said in that manner.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 21] And there came forth a spirit, and stood before the LORD, and said, I will persuade him.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 22] And the LORD said to him, With what? And he said, I will go forth, and I will be a lying spirit in the mouth of all his prophets? And he said, Thou shalt persuade him , and prevail also: go forth, and do so.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 23] Now therefore, behold, the LORD hath put a lying spirit in the mouth of all these thy prophets, and the LORD hath spoken evil concerning thee.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 24] But Zedekiah the son of Chenaanah went near, and smote Micaiah on the cheek, and said, Which way went the Spirit of the LORD from me to speak to thee?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 25] And Micaiah said, Behold, thou shalt see in that day, when thou shalt go into an inner chamber to hide thyself.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 26] And the king of Israel said, Take Micaiah, and carry him back to Amon the governor of the city, and to Joash the king's son;
