[IRV | GU | NT | Romans | Chapter 4 | Verse 1] તો મનુષ્યદેહે આપણા પૂર્વજ ઇબ્રાહિમને જે મળ્યું, તે વિષે આપણે શું કહીએ?
[IRV | GU | NT | Romans | Chapter 4 | Verse 2] કેમ કે ઇબ્રાહિમ જો કરણીઓથી ન્યાયી ઠર્યો હોત, તો તેને આત્મપ્રશંસા કરવાનું કારણ છે, પણ ઈશ્વર આગળ નહિ.
[IRV | GU | NT | Romans | Chapter 4 | Verse 3] કેમ કે શાસ્ત્રવચન શું કહે છે? કે ઇબ્રાહિમે ઈશ્વર પર વિશ્વાસ કર્યો અને તે વિશ્વાસ તેને માટે ન્યાયીપણાને અર્થે ગણાયો.
[IRV | GU | NT | Romans | Chapter 4 | Verse 4] હવે કામ કરનારને જે પ્રતિફળ મળે છે તે કૃપારૂપ ગણાતું નથી, પણ હકરૂપ ગણાય છે.
[IRV | GU | NT | Romans | Chapter 4 | Verse 5] પણ જે મનુષ્ય પોતે કરેલા કામ પર નહિ, પણ અધર્મીને ન્યાયી ઠરાવનાર પર વિશ્વાસ કરે છે, તેનો વિશ્વાસ તેને લેખે ન્યાયીપણાને અર્થે ગણાયો છે.
[IRV | GU | NT | Romans | Chapter 4 | Verse 6] તે જ રીતે ઈશ્વર જે મનુષ્યને કરણીઓ વગર ન્યાયી ગણે છે તેને દાઉદ પણ નીચે પ્રમાણે આશીર્વાદ આપે છે કે,
[IRV | GU | NT | Romans | Chapter 4 | Verse 7] ‘જેઓનાં અપરાધ માફ થયા છે, અને જેઓનાં પાપ ઢંકાયા છે, તેઓ આશીર્વાદિત છે.
[IRV | GU | NT | Romans | Chapter 4 | Verse 8] જેનાં પાપ પ્રભુ નહિ ગણે તે મનુષ્ય આશીર્વાદિત છે.’”
[IRV | GU | NT | Romans | Chapter 4 | Verse 9] ત્યારે તે આશીર્વાદ સુન્નતીને જ આપવામાં આવ્યો છે, કે બેસુન્નતીને પણ? આપણે એવું તો કહીએ છીએ કે ‘ઇબ્રાહિમનો વિશ્વાસ તેને લેખે ન્યાયીપણાને અર્થે ગણાયો છે.’”
[IRV | GU | NT | Romans | Chapter 4 | Verse 10] ત્યારે તે શી રીતે ગણાયો? તે સુન્નતી હતો ત્યારે? કે બેસુન્નતી હતો ત્યારે? સુન્નતી હતો ત્યારે નહિ, પણ બેસુન્નતી હતો ત્યારે જ.
[IRV | GU | NT | Romans | Chapter 4 | Verse 11] અને તે બેસુન્નતી હતો ત્યારે વિશ્વાસથી જે ન્યાયીપણું તેને મળ્યું હતું, તેની ઓળખ થવા માટે તે સુન્નતની નિશાની પામ્યો, જેથી સર્વ બેસુન્નતી વિશ્વાસીઓનો તે પૂર્વજ થાય કે તેઓને લેખે તે પણ વિશ્વાસનું ન્યાયીપણું ગણાય.
