[IRV | GU | NT | Romans | Chapter 7 | Verse 1] વળી ભાઈઓ, શું તમે એ નથી જાણતા જેઓ નિયમશાસ્ત્ર જાણે છે તેઓને હું કહું છું કે, મનુષ્ય જીવે ત્યાં સુધી તે નિયમશાસ્ત્રના નિયંત્રણમાં હોય છે?
[IRV | GU | NT | Romans | Chapter 7 | Verse 2] કેમ કે જે સ્ત્રીને પતિ છે, તે તેના જીવતાં સુધી નિયમથી તેની સાથે બંધાયેલી છે, પણ જો તે મરી જાય તો તેના નિયમથી તે મુક્ત થાય છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 3] તેથી જો પતિ જીવતો હોય અને તે બીજો પતિ કરે, તો તે વ્યભિચારિણી કહેવાશે; પણ જો તેનો પતિ મરી જાય તો તે નિયમથી મુક્ત છે, તેથી જો તે બીજો પતિ કરે તોપણ તે વ્યભિચારિણી નથી.
[IRV | GU | NT | Romans | Chapter 7 | Verse 4] તે માટે, મારા ભાઈઓ, તમે પણ ખ્રિસ્તનાં શરીરદ્વારા નિયમશાસ્ત્ર સંબંધી મૃત છો, કે જેથી તમે બીજાના, એટલે જે મૃત્યુમાંથી સજીવન થયા છે તેમના થાઓ, કે આપણે ઈશ્વરને અર્થે ફળ ઉત્પન્ન કરીએ.
[IRV | GU | NT | Romans | Chapter 7 | Verse 5] કેમ કે જયારે આપણે દૈહિક હતા ત્યારે નિયમશાસ્ત્ર વડે પાપવાસનાઓ આપણાં અંગોમાં મૃત્યુ માટે ફળ ઉત્પન્ન કરવાને પ્રયત્ન કરતી હતી.
[IRV | GU | NT | Romans | Chapter 7 | Verse 6] પણ હમણાં જેમાં આપણે બંધાયા હતા તેમાં આપણું મૃત્યુ થયાથી નિયમશાસ્ત્રથી મુક્ત થયા છીએ. તેથી નિયમશાસ્ત્રની જૂની રીતથી નહિ, પણ આત્માની નવી રીતથી સેવા કરીએ.
[IRV | GU | NT | Romans | Chapter 7 | Verse 7] ત્યારે આપણે શું કહીએ? શું નિયમશાસ્ત્ર પાપરૂપ છે? ના, એવું ન થાઓ; પરંતુ નિયમશાસ્ત્ર ન હોત તો મેં પાપ જાણ્યું ન હોત; કેમ કે નિયમશાસ્ત્રે જો કહ્યું ન હોત કે લોભ ન રાખ, તો હું લોભ વિષે સમજ્યો ન હોત.
[IRV | GU | NT | Romans | Chapter 7 | Verse 8] પણ પાપે, પ્રસંગ મળવાથી, આજ્ઞાથી મારામાં સઘળા પ્રકારનો લોભ ઉત્પન્ન કર્યો; કેમ કે નિયમશાસ્ત્ર વિના પાપ નિર્જીવ છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 9] હું તો અગાઉ નિયમશાસ્ત્ર વિના જીવતો હતો, પણ આજ્ઞા આવી એટલે પાપ સજીવન થયું અને હું મૃત્યુ પામ્યો;
[IRV | GU | NT | Romans | Chapter 7 | Verse 10] જે આજ્ઞા જીવનને અર્થે હતી તે તો મૃત્યુને અર્થે છે તેવું મને માલૂમ પડ્યું.
[IRV | GU | NT | Romans | Chapter 7 | Verse 11] કેમ કે પાપે, પ્રસંગ મળવાથી, આજ્ઞાથી મને છેતર્યો અને તે દ્વારા મને મારી નાખ્યો.
