[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 1] David spoke to the LORD the words of this song in the day that the LORD delivered him out of the hand of all his enemies, and out of the hand of Saul,
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 2] and he said: “The LORD is my rock, my fortress, and my deliverer, even mine;
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 3] God is my rock in whom I take refuge; my shield, and the horn of my salvation, my high tower, and my refuge. My savior, you save me from violence.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 4] I call on the LORD, who is worthy to be praised; So shall I be saved from my enemies.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 5] For the waves of death surrounded me. The floods of ungodliness made me afraid.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 6] The cords of Sheol were around me. The snares of death caught me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 7] In my distress, I called on the LORD. Yes, I called to my God. He heard my voice out of his temple. My cry came into his ears.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 8] Then the earth shook and trembled. The foundations of heaven quaked and were shaken, because he was angry.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 9] Smoke went up out of his nostrils. Consuming fire came out of his mouth. Coals were kindled by it.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 10] He bowed the heavens also, and came down. Thick darkness was under his feet.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 11] He rode on a cherub, and flew. Yes, he was seen on the wings of the wind.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 12] He made darkness a shelter around himself, gathering of waters, and thick clouds of the skies.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 13] At the brightness before him, coals of fire were kindled.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 14] The LORD thundered from heaven. The Most High uttered his voice.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 15] He sent out arrows and scattered them, lightning and confused them.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 16] Then the channels of the sea appeared. The foundations of the world were laid bare by the LORD’s rebuke, at the blast of the breath of his nostrils.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 17] He sent from on high and he took me. He drew me out of many waters.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 18] He delivered me from my strong enemy, from those who hated me, for they were too mighty for me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 19] They came on me in the day of my calamity, but the LORD was my support.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 20] He also brought me out into a large place. He delivered me, because he delighted in me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 21] The LORD rewarded me according to my righteousness. He rewarded me according to the cleanness of my hands.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 22] For I have kept the LORD’s ways, and have not wickedly departed from my God.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 23] For all his ordinances were before me. As for his statutes, I didn’t depart from them.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 24] I was also perfect toward him. I kept myself from my iniquity.
