[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 1] After the death of Saul, when David had returned from the slaughter of the Amalekites, and David had stayed two days in Ziklag,
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 2] on the third day, behold, a man came out of the camp from Saul, with his clothes torn and earth on his head. When he came to David, he fell to the earth and showed respect.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 3] David said to him, “Where do you come from?” He said to him, “I have escaped out of the camp of Israel.”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 4] David said to him, “How did it go? Please tell me.” He answered, “The people have fled from the battle, and many of the people also have fallen and are dead. Saul and Jonathan his son are dead also.”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 5] David said to the young man who told him, “How do you know that Saul and Jonathan his son are dead?”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 6] The young man who told him said, “As I happened by chance on Mount Gilboa, behold, Saul was leaning on his spear; and behold, the chariots and the horsemen followed close behind him.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 7] When he looked behind him, he saw me and called to me. I answered, ‘Here I am.’
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 8] He said to me, ‘Who are you?’ I answered him, ‘I am an Amalekite.’
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 9] He said to me, ‘Please stand beside me, and kill me, for anguish has taken hold of me because my life lingers in me.’
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 10] So I stood beside him and killed him, because I was sure that he could not live after he had fallen. I took the crown that was on his head and the bracelet that was on his arm, and have brought them here to my lord.”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 11] Then David took hold on his clothes and tore them; and all the men who were with him did likewise.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 12] They mourned, wept, and fasted until evening for Saul and for Jonathan his son, and for the people of the LORD, and for the house of Israel, because they had fallen by the sword.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 13] David said to the young man who told him, “Where are you from?” He answered, “I am the son of a foreigner, an Amalekite.”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 14] David said to him, “Why were you not afraid to stretch out your hand to destroy the LORD’s anointed?”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 15] David called one of the young men and said, “Go near, and cut him down!” He struck him so that he died.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 16] David said to him, “Your blood be on your head, for your mouth has testified against you, saying, ‘I have slain the LORD’s anointed.’”
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 17] David lamented with this lamentation over Saul and over Jonathan his son
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 18] (and he commanded them to teach the children of Judah the song of the bow; behold, it is written in the book of Jashar):
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 19] “Your glory, Israel, was slain on your high places! How the mighty have fallen!
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 20] Don’t tell it in Gath. Don’t publish it in the streets of Ashkelon, lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised triumph.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 21] You mountains of Gilboa, let there be no dew or rain on you, and no fields of offerings; for there the shield of the mighty was defiled and cast away, the shield of Saul was not anointed with oil.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 22] From the blood of the slain, from the fat of the mighty, Jonathan’s bow didn’t turn back. Saul’s sword didn’t return empty.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 23] Saul and Jonathan were lovely and pleasant in their lives. In their death, they were not divided. They were swifter than eagles. They were stronger than lions.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 24] You daughters of Israel, weep over Saul, who clothed you delicately in scarlet, who put ornaments of gold on your clothing.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 25] How the mighty have fallen in the middle of the battle! Jonathan was slain on your high places.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 26] I am distressed for you, my brother Jonathan. You have been very pleasant to me. Your love to me was wonderful, surpassing the love of women.
[WEB | EN | OT | 2 Samuel | Chapter 1 | Verse 27] How the mighty have fallen, and the weapons of war have perished!”
