[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 1] Πέτρος, ἀπόστολος Ἰησοῦ Χριστοῦ, ἐκλεκτοῖς παρεπιδήμοις διασπορᾶς Πόντου, Γαλατίας, Καππαδοκίας, Ἀσίας, καὶ Βιθυνίας,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 2] κατὰ πρόγνωσιν Θεοῦ πατρός, ἐν ἁγιασμῷ πνεύματος, εἰς ὑπακοὴν καὶ ῥαντισμὸν αἵματος Ἰησοῦ Χριστοῦ· χάρις ὑμῖν καὶ εἰρήνη πληθυνθείη.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 3] Εὐλογητὸς ὁ Θεὸς καὶ πατὴρ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ, ὁ κατὰ τὸ πολὺ αὐτοῦ ἔλεος ἀναγεννήσας + 1:3 ἡμᾶς ¦ ὑμᾶς ELZ ἡμᾶς εἰς ἐλπίδα ζῶσαν δι᾿ ἀναστάσεως Ἰησοῦ Χριστοῦ ἐκ νεκρῶν,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 4] εἰς κληρονομίαν ἄφθαρτον καὶ ἀμίαντον καὶ ἀμάραντον, τετηρημένην ἐν οὐρανοῖς εἰς + 1:4 ἡμᾶς ¦ ὑμᾶς SCR ἡμᾶς,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 5] τοὺς ἐν δυνάμει Θεοῦ φρουρουμένους διὰ πίστεως εἰς σωτηρίαν ἑτοίμην ἀποκαλυφθῆναι ἐν καιρῷ ἐσχάτῳ.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 6] Ἐν ᾧ ἀγαλλιᾶσθε, ὀλίγον ἄρτι, εἰ δέον ἐστί, λυπηθέντες ἐν ποικίλοις πειρασμοῖς,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 7] ἵνα τὸ δοκίμιον ὑμῶν τῆς πίστεως πολὺ τιμιώτερον χρυσίου τοῦ ἀπολλυμένου, διὰ πυρὸς δὲ δοκιμαζομένου, εὑρεθῇ εἰς ἔπαινον καὶ τιμὴν καὶ δόξαν ἐν ἀποκαλύψει Ἰησοῦ Χριστοῦ·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 8] ὃν οὐκ + 1:8 εἰδότες ¦ ἰδόντες SCR εἰδότες ἀγαπᾶτε, εἰς ὃν ἄρτι μὴ ὁρῶντες, πιστεύοντες δέ, ἀγαλλιᾶσθε χαρᾷ ἀνεκλαλήτῳ καὶ δεδοξασμένῃ,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 9] κομιζόμενοι τὸ τέλος τῆς πίστεως ὑμῶν, σωτηρίαν ψυχῶν.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 10] Περὶ ἧς σωτηρίας ἐξεζήτησαν καὶ ἐξηρεύνησαν προφῆται οἱ περὶ τῆς εἰς ὑμᾶς χάριτος προφητεύσαντες·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 11] ἐρευνῶντες εἰς τίνα ἢ ποῖον καιρὸν ἐδήλου τὸ ἐν αὐτοῖς πνεῦμα Χριστοῦ, προμαρτυρόμενον τὰ εἰς Χριστὸν παθήματα, καὶ τὰς μετὰ ταῦτα δόξας.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 12] Οἷς ἀπεκαλύφθη ὅτι οὐχ ἑαυτοῖς, ἡμῖν δὲ διηκόνουν αὐτά, ἃ νῦν ἀνηγγέλη ὑμῖν διὰ τῶν εὐαγγελισαμένων ὑμᾶς ἐν πνεύματι ἁγίῳ ἀποσταλέντι ἀπ᾿ οὐρανοῦ, εἰς ἃ ἐπιθυμοῦσιν ἄγγελοι παρακύψαι.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 13] Διὸ ἀναζωσάμενοι τὰς ὀσφύας τῆς διανοίας ὑμῶν, νήφοντες, τελείως ἐλπίσατε ἐπὶ τὴν φερομένην ὑμῖν χάριν ἐν ἀποκαλύψει Ἰησοῦ Χριστοῦ·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 14] ὡς τέκνα ὑπακοῆς, μὴ συσχηματιζόμενοι ταῖς πρότερον ἐν τῇ ἀγνοίᾳ ὑμῶν ἐπιθυμίαις,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 15] ἀλλὰ κατὰ τὸν καλέσαντα ὑμᾶς ἅγιον καὶ αὐτοὶ ἅγιοι ἐν πάσῃ ἀναστροφῇ γενήθητε·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 16] διότι γέγραπται, Ἅγιοι γένεσθε, ὅτι ἐγὼ ἅγιός εἰμι.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 17] Καὶ εἰ πατέρα ἐπικαλεῖσθε τὸν ἀπροσωπολήπτως κρίνοντα κατὰ τὸ ἑκάστου ἔργον, ἐν φόβῳ τὸν τῆς παροικίας ὑμῶν χρόνον ἀναστράφητε·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 18] εἰδότες ὅτι οὐ φθαρτοῖς, ἀργυρίῳ ἢ χρυσίῳ, ἐλυτρώθητε ἐκ τῆς ματαίας ὑμῶν ἀναστροφῆς πατροπαραδότου,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 19] ἀλλὰ τιμίῳ αἵματι ὡς ἀμνοῦ ἀμώμου καὶ ἀσπίλου Χριστοῦ,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 20] προεγνωσμένου μὲν πρὸ καταβολῆς κόσμου, φανερωθέντος δὲ ἐπ᾿ ἐσχάτων τῶν χρόνων δι᾿ ὑμᾶς,
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 21] τοὺς δι᾿ αὐτοῦ πιστεύοντας εἰς Θεόν, τὸν ἐγείραντα αὐτὸν ἐκ νεκρῶν, καὶ δόξαν αὐτῷ δόντα, ὥστε τὴν πίστιν ὑμῶν καὶ ἐλπίδα εἶναι εἰς Θεόν.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 22] Τὰς ψυχὰς ὑμῶν ἡγνικότες ἐν τῇ ὑπακοῇ τῆς ἀληθείας διὰ πνεύματος εἰς φιλαδελφίαν ἀνυπόκριτον, ἐκ καθαρᾶς καρδίας ἀλλήλους ἀγαπήσατε ἐκτενῶς·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 23] ἀναγεγεννημένοι οὐκ ἐκ σπορᾶς φθαρτῆς, ἀλλὰ ἀφθάρτου, διὰ λόγου ζῶντος Θεοῦ καὶ μένοντος εἰς τὸν αἰῶνα.
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 24] Διότι, Πᾶσα σὰρξ ὡς χόρτος, καὶ πᾶσα δόξα ἀνθρώπου ὡς ἄνθος χόρτου. Ἐξηράνθη ὁ χόρτος, καὶ τὸ ἄνθος αὐτοῦ ἐξέπεσε·
[GRCGTR | EL | NT | 1 Peter | Chapter 1 | Verse 25] τὸ δὲ ῥῆμα Κυρίου μένει εἰς τὸν αἰῶνα. Τοῦτο δέ ἐστι τὸ ῥῆμα τὸ εὐαγγελισθὲν εἰς ὑμᾶς.
