[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 1] Πρεσβυτέρους τοὺς ἐν ὑμῖν παρακαλῶ ὁ συμπρεσβύτερος καὶ μάρτυς τῶν τοῦ Χριστοῦ παθημάτων, ὁ καὶ τῆς μελλούσης ἀποκαλύπτεσθαι δόξης κοινωνός·
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 2] ποιμάνατε τὸ ἐν ὑμῖν ποίμνιον τοῦ Θεοῦ, ἐπισκοποῦντες μὴ ἀναγκαστῶς, ἀλλ᾿ ἑκουσίως· μηδὲ αἰσχροκερδῶς, ἀλλὰ προθύμως·
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 3] μηδ᾿ ὡς κατακυριεύοντες τῶν κλήρων, ἀλλὰ τύποι γινόμενοι τοῦ ποιμνίου.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 4] Καὶ φανερωθέντος τοῦ ἀρχιποίμενος, κομιεῖσθε τὸν ἀμαράντινον τῆς δόξης στέφανον.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 5] Ὁμοίως, νεώτεροι, ὑποτάγητε πρεσβυτέροις· πάντες δὲ ἀλλήλοις ὑποτασσόμενοι, τὴν ταπεινοφροσύνην ἐγκομβώσασθε· ὅτι ὁ Θεὸς ὑπερηφάνοις ἀντιτάσσεται, ταπεινοῖς δὲ δίδωσι χάριν.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 6] Ταπεινώθητε οὖν ὑπὸ τὴν κραταιὰν χεῖρα τοῦ Θεοῦ, ἵνα ὑμᾶς ὑψώσῃ ἐν καιρῷ,
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 7] πᾶσαν τὴν μέριμναν ὑμῶν ἐπιρρίψαντες ἐπ᾿ αὐτόν, ὅτι αὐτῷ μέλει περὶ ὑμῶν.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 8] Νήψατε, γρηγορήσατε· ὅτι ὁ ἀντίδικος ὑμῶν διάβολος, ὡς λέων ὠρυόμενος, περιπατεῖ ζητῶν τίνα καταπίῃ·
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 9] ᾧ ἀντίστητε στερεοὶ τῇ πίστει, εἰδότες τὰ αὐτὰ τῶν παθημάτων τῇ ἐν κόσμῳ ὑμῶν ἀδελφότητι ἐπιτελεῖσθαι.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 10] Ὁ δὲ Θεὸς πάσης χάριτος, ὁ καλέσας ἡμᾶς εἰς τὴν αἰώνιον αὐτοῦ δόξαν ἐν Χριστῷ Ἰησοῦ, ὀλίγον παθόντας αὐτὸς καταρτίσαι ὑμᾶς, στηρίξαι, σθενώσαι, θεμελιώσαι.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 11] Αὐτῷ ἡ δόξα καὶ τὸ κράτος εἰς τοὺς αἰῶνας τῶν αἰώνων. Ἀμήν.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 12] Διὰ Σιλουανοῦ ὑμῖν τοῦ πιστοῦ ἀδελφοῦ, ὡς λογίζομαι, δι᾿ ὀλίγων ἔγραψα, παρακαλῶν καὶ ἐπιμαρτυρῶν ταύτην εἶναι ἀληθῆ χάριν τοῦ Θεοῦ εἰς ἣν ἑστήκατε.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 13] Ἀσπάζεται ὑμᾶς ἡ ἐν Βαβυλῶνι συνεκλεκτή, καὶ Μάρκος ὁ υἱός μου.
[GRCGTR | EL | NT | 1 Peter | Chapter 5 | Verse 14] Ἀσπάσασθε ἀλλήλους ἐν φιλήματι ἀγάπης. Εἰρήνη ὑμῖν πᾶσι τοῖς ἐν Χριστῷ Ἰησοῦ. Ἀμήν.
