[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 1] Χριστοῦ οὖν παθόντος ὑπὲρ ἡμῶν σαρκί, καὶ ὑμεῖς τὴν αὐτὴν ἔννοιαν ὁπλίσασθε· ὅτι ὁ παθὼν ἐν σαρκί, πέπαυται ἁμαρτίας·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 2] εἰς τὸ μηκέτι ἀνθρώπων ἐπιθυμίαις, ἀλλὰ θελήματι Θεοῦ τὸν ἐπίλοιπον ἐν σαρκὶ βιῶσαι χρόνον.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 3] Ἀρκετὸς γὰρ ἡμῖν ὁ παρεληλυθὼς χρόνος τοῦ βίου τὸ θέλημα τῶν ἐθνῶν κατεργάσασθαι, πεπορευμένους ἐν ἀσελγείαις, ἐπιθυμίαις, οἰνοφλυγίαις, κώμοις, πότοις, καὶ ἀθεμίτοις εἰδωλολατρείαις·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 4] ἐν ᾧ ξενίζονται, μὴ συντρεχόντων ὑμῶν εἰς τὴν αὐτὴν τῆς ἀσωτίας ἀνάχυσιν, βλασφημοῦντες·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 5] οἳ ἀποδώσουσι λόγον τῷ ἑτοίμως ἔχοντι κρῖναι ζῶντας καὶ νεκρούς.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 6] Εἰς τοῦτο γὰρ καὶ νεκροῖς εὐηγγελίσθη, ἵνα κριθῶσι μὲν κατὰ ἀνθρώπους σαρκί, ζῶσι δὲ κατὰ Θεὸν πνεύματι.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 7] Πάντων δὲ τὸ τέλος ἤγγικε· σωφρονήσατε οὖν καὶ νήψατε εἰς τὰς προσευχάς·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 8] πρὸ πάντων δὲ τὴν εἰς ἑαυτοὺς ἀγάπην ἐκτενῆ ἔχοντες, ὅτι + 4:8 ἡ ¦ — ST ἡ ἀγάπη καλύψει πλῆθος ἁμαρτιῶν·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 9] φιλόξενοι εἰς ἀλλήλους ἄνευ γογγυσμῶν·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 10] ἕκαστος καθὼς ἔλαβε χάρισμα, εἰς ἑαυτοὺς αὐτὸ διακονοῦντες, ὡς καλοὶ οἰκονόμοι ποικίλης χάριτος Θεοῦ·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 11] εἴ τις λαλεῖ, ὡς λόγια Θεοῦ· εἴ τις διακονεῖ, ὡς ἐξ ἰσχύος ἧς χορηγεῖ ὁ Θεός· ἵνα ἐν πᾶσι δοξάζηται ὁ Θεὸς διὰ Ἰησοῦ Χριστοῦ, ᾧ ἐστὶν ἡ δόξα καὶ τὸ κράτος εἰς τοὺς αἰῶνας τῶν αἰώνων. Ἀμήν.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 12] Ἀγαπητοί, μὴ ξενίζεσθε τῇ ἐν ὑμῖν πυρώσει πρὸς πειρασμὸν ὑμῖν γινομένῃ, ὡς ξένου ὑμῖν συμβαίνοντος·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 13] ἀλλὰ + 4:13 καθὸ ¦ καθὼς ELZ καθὸ κοινωνεῖτε τοῖς τοῦ Χριστοῦ παθήμασι, χαίρετε, ἵνα καὶ ἐν τῇ ἀποκαλύψει τῆς δόξης αὐτοῦ χαρῆτε ἀγαλλιώμενοι.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 14] Εἰ ὀνειδίζεσθε ἐν ὀνόματι Χριστοῦ, μακάριοι· ὅτι τὸ τῆς δόξης καὶ τὸ τοῦ Θεοῦ πνεῦμα ἐφ᾿ ὑμᾶς ἀναπαύεται· κατὰ μὲν αὐτοὺς βλασφημεῖται, κατὰ δὲ ὑμᾶς δοξάζεται.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 15] Μὴ γάρ τις ὑμῶν πασχέτω ὡς φονεύς, ἢ κλέπτης, ἢ κακοποιός, ἢ ὡς ἀλλοτριοεπίσκοπος·
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 16] εἰ δὲ ὡς Χριστιανός, μὴ αἰσχυνέσθω, δοξαζέτω δὲ τὸν Θεὸν ἐν τῷ μέρει τούτῳ.
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 17] Ὅτι ὁ καιρὸς τοῦ ἄρξασθαι τὸ κρίμα ἀπὸ τοῦ οἴκου τοῦ Θεοῦ· εἰ δὲ πρῶτον ἀφ᾿ ἡμῶν, τί τὸ τέλος τῶν ἀπειθούντων τῷ τοῦ Θεοῦ εὐαγγελίῳ;
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 18] Καὶ εἰ ὁ δίκαιος μόλις σώζεται, ὁ ἀσεβὴς καὶ ἁμαρτωλὸς ποῦ φανεῖται;
[GRCGTR | EL | NT | 1 Peter | Chapter 4 | Verse 19] Ὥστε καὶ οἱ πάσχοντες κατὰ τὸ θέλημα τοῦ Θεοῦ, ὡς πιστῷ κτίστῃ παρατιθέσθωσαν τὰς ψυχὰς ἑαυτῶν ἐν ἀγαθοποιΐᾳ.
