[IRV | HI | OT | Genesis | Chapter 32 | Verse 1] याकूब ने भी अपना मार्ग लिया और परमेश्वर के दूत उसे आ मिले।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 2] उनको देखते ही याकूब ने कहा, “यह तो परमेश्वर का दल है।” इसलिए उसने उस स्थान का नाम महनैम रखा।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 3] तब याकूब ने सेईर देश में, अर्थात् एदोम देश में, अपने भाई एसाव के पास अपने आगे दूत भेज दिए।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 4] और उसने उन्हें यह आज्ञा दी, “मेरे प्रभु एसाव से यह कहना; कि तेरा दास याकूब तुझ से यह कहता है, कि मैं लाबान के यहाँ परदेशी होकर अब तक रहा;
[IRV | HI | OT | Genesis | Chapter 32 | Verse 5] और मेरे पास गाय-बैल, गदहे, भेड़-बकरियाँ, और दास-दासियाँ हैं और मैंने अपने प्रभु के पास इसलिए सन्देश भेजा है कि तेरे अनुग्रह की दृष्टि मुझ पर हो।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 6] वे दूत याकूब के पास लौटकर कहने लगे, “हम तेरे भाई एसाव के पास गए थे, और वह भी तुझ से भेंट करने को चार सौ पुरुष संग लिये हुए चला आता है।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 7] तब याकूब बहुत डर गया, और संकट में पड़ा: और यह सोचकर, अपने साथियों के, और भेड़-बकरियों, और गाय-बैलों, और ऊँटों के भी अलग-अलग दो दल कर लिये,
[IRV | HI | OT | Genesis | Chapter 32 | Verse 8] कि यदि एसाव आकर पहले दल को मारने लगे, तो दूसरा दल भागकर बच जाएगा।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 9] फिर याकूब ने कहा, “हे यहोवा, हे मेरे दादा अब्राहम के परमेश्वर, हे मेरे पिता इसहाक के परमेश्वर, तूने तो मुझसे कहा था कि अपने देश और जन्म-भूमि में लौट जा, और मैं तेरी भलाई करूँगा:
[IRV | HI | OT | Genesis | Chapter 32 | Verse 10] तूने जो-जो काम अपनी करुणा और सच्चाई से अपने दास के साथ किए हैं, कि मैं जो अपनी छड़ी ही लेकर इस यरदन नदी के पार उतर आया, और अब मेरे दो दल हो गए हैं, तेरे ऐसे-ऐसे कामों में से मैं एक के भी योग्य तो नहीं हूँ।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 11] मेरी विनती सुनकर मुझे मेरे भाई एसाव के हाथ से बचा मैं तो उससे डरता हूँ, कहीं ऐसा न हो कि वह आकर मुझे और माँ समेत लड़कों को भी मार डाले।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 12] तूने तो कहा है, कि मैं निश्चय तेरी भलाई करूँगा, और तेरे वंश को समुद्र के रेतकणों के समान बहुत करूँगा, जो बहुतायत के मारे गिने नहीं जा सकते।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 13] उसने उस दिन की रात वहीं बिताई; और जो कुछ उसके पास था उसमें से अपने भाई एसाव की भेंट के लिये छाँट छाँटकर निकाला;
[IRV | HI | OT | Genesis | Chapter 32 | Verse 14] अर्थात् दो सौ बकरियाँ, और बीस बकरे, और दो सौ भेड़ें, और बीस मेढ़े,
[IRV | HI | OT | Genesis | Chapter 32 | Verse 15] और बच्चों समेत दूध देनेवाली तीस ऊँटनियाँ, और चालीस गायें, और दस बैल, और बीस गदहियाँ और उनके दस बच्चे।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 16] इनको उसने झुण्ड-झुण्ड करके, अपने दासों को सौंपकर उनसे कहा, “मेरे आगे बढ़ जाओ; और झुण्डों के बीच-बीच में अन्तर रखो।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 17] फिर उसने अगले झुण्ड के रखवाले को यह आज्ञा दी, “जब मेरा भाई एसाव तुझे मिले, और पूछने लगे, ‘तू किसका दास है, और कहाँ जाता है, और ये जो तेरे आगे-आगे हैं, वे किसके हैं?’
[IRV | HI | OT | Genesis | Chapter 32 | Verse 18] तब कहना, ‘यह तेरे दास याकूब के हैं। हे मेरे प्रभु एसाव, ये भेंट के लिये तेरे पास भेजे गए हैं, और वह आप भी हमारे पीछे-पीछे आ रहा है।’”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 19] और उसने दूसरे और तीसरे रखवालों को भी, वरन् उन सभी को जो झुण्डों के पीछे-पीछे थे ऐसी ही आज्ञा दी कि जब एसाव तुम को मिले तब इसी प्रकार उससे कहना।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 20] और यह भी कहना, “तेरा दास याकूब हमारे पीछे-पीछे आ रहा है।” क्योंकि उसने यह सोचा कि यह भेंट जो मेरे आगे-आगे जाती है, इसके द्वारा मैं उसके क्रोध को शान्त करके तब उसका दर्शन करूँगा; हो सकता है वह मुझसे प्रसन्न हो जाए।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 21] इसलिए वह भेंट याकूब से पहले पार उतर गई, और वह आप उस रात को छावनी में रहा।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 22] उसी रात को वह उठा और अपनी दोनों स्त्रियों, और दोनों दासियों, और ग्यारहों लड़कों को संग लेकर घाट से यब्बोक नदी के पार उतर गया।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 23] उसने उन्हें उस नदी के पार उतार दिया, वरन् अपना सब कुछ पार उतार दिया।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 24] और याकूब आप अकेला रह गया; तब कोई पुरुष आकर पौ फटने तक उससे मल्लयुद्ध करता रहा।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 25] जब उसने देखा कि मैं याकूब पर प्रबल नहीं होता, तब उसकी जाँघ की नस को छुआ; और याकूब की जाँघ की नस उससे मल्लयुद्ध करते ही करते चढ़ गई।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 26] तब उसने कहा, “मुझे जाने दे, क्योंकि भोर होनेवाला है।” याकूब ने कहा, “जब तक तू मुझे आशीर्वाद न दे, तब तक मैं तुझे जाने न दूँगा।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 27] और उसने याकूब से पूछा, “तेरा नाम क्या है?” उसने कहा, “याकूब।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 28] उसने कहा, “तेरा नाम अब याकूब नहीं, परन्तु इस्राएल होगा, क्योंकि तू परमेश्वर से और मनुष्यों से भी युद्ध करके प्रबल हुआ है।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 29] याकूब ने कहा, “मैं विनती करता हूँ, मुझे अपना नाम बता।” उसने कहा, “तू मेरा नाम क्यों पूछता है?” तब उसने उसको वहीं आशीर्वाद दिया।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 30] तब याकूब ने यह कहकर उस स्थान का नाम पनीएल रखा; “परमेश्वर को आमने-सामने देखने पर भी मेरा प्राण बच गया है।”
[IRV | HI | OT | Genesis | Chapter 32 | Verse 31] पनीएल के पास से चलते-चलते सूर्य उदय हो गया, और वह जाँघ से लँगड़ाता था।
[IRV | HI | OT | Genesis | Chapter 32 | Verse 32] इस्राएली जो पशुओं की जाँघ की जोड़वाले जंघानस को आज के दिन तक नहीं खाते, इसका कारण यही है कि उस पुरुष ने याकूब की जाँघ के जोड़ में जंघानस को छुआ था।
