[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 1] And Gorgias took five thousand footmen, and a thousand chosen horse, and the army removed by night,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 2] that it might fall upon the army of the Jews and smite them suddenly: and the men of the citadel were his guides.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 3] And Judas heard thereof, and removed, he and the valiant men, that he might smite the king’s host which was at Emmaus,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 4] while as yet the forces were dispersed from the camp.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 5] And Gorgias came into the camp of Judas by night, and found no man; and he sought them in the mountains; for he said, These men flee from us.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 6] And as soon as it was day, Judas appeared in the plain with three thousand men: howbeit they had not armor nor swords as they desired.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 7] And they saw the camp of the Gentiles strong and fortified, and horsemen compassing it round about; and these were expert in war.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 8] And Judas said to the men that were with him, Fear ye not their multitude, neither be ye afraid of their onset.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 9] Remember how our fathers were saved in the Red Sea, when Pharaoh pursued them with a host.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 10] And now let us cry unto heaven, if he will have us, and will remember the covenant of our fathers, and destroy this army before our face today:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 11] and all the Gentiles shall know that there is one who redeemeth and saveth Israel.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 12] And the strangers lifted up their eyes, and saw them coming over against them:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 13] and they went out of the camp to battle. And they that were with Judas sounded their trumpets,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 14] and joined battle, and the Gentiles were discomfited, and fled into the plain.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 15] But all the hindmost fell by the sword: and they pursued them unto Gazara, and unto the plains of Idumea and Azotus and Jamnia, and there fell of them about three thousand men.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 16] And Judas and his host returned from pursuing after them,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 17] and he said unto the people, Be not greedy of the spoils, inasmuch as there is a battle before us;
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 18] and Gorgias and his host are nigh unto us in the mountain. But stand ye now against our enemies, and fight against them, and afterward take the spoils with boldness.
