[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 1] And Jonathan saw that the time served him, and he chose men, and sent them to Rome, to confirm and renew the friendship that they had with them.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 2] And to the Spartans, and to other places, he sent letters after the same manner.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 3] And they went unto Rome, and entered into the senate house, and said, Jonathan the high priest, and the nation of the Jews, have sent us, to renew for them the friendship and the confederacy, as in former time.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 4] And they gave them letters unto the men in every place, that they should bring them on their way to the land of Judah in peace.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 5] And this is the copy of the letters which Jonathan wrote to the Spartans:
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 6] Jonathan the high priest, and the senate of the nation, and the priests, and the rest of the people of the Jews, unto their brethren the Spartans, greeting:
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 7] Even before this time were letters sent unto Onias the high priest from Arius, who was reigning among you, to signify that ye are our brethren, as the copy here underwritten showeth.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 8] And Onias treated honorably the man that was sent, and received the letters, wherein declaration was made of confederacy and friendship.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 9] Therefore we also, albeit we need none of these things, having for our encouragement the holy books which are in our hands,
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 10] have assayed to send that we might renew our brotherhood and friendship with you, to the end that we should not become estranged from you altogether: for long time is passed since ye sent unto us.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 11] We therefore at all times without ceasing, both in our feasts, and on the other convenient days, do remember you in the sacrifices which we offer, and in our prayers, as it is right and meet to be mindful of brethren:
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 12] and moreover are glad for your glory.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 13] But as for ourselves, many afflictions and many wars have encompassed us, and the kings that are round about us have fought against us.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 14] We were not minded therefore to be troublesome unto you, and to the rest of our confederates and friends, in these wars;
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 15] for we have the help which is from heaven to help us, and we have been delivered from our enemies, and our enemies have been brought low.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 16] We chose therefore Numenius the son of Antiochus, and Antipater the son of Jason, and have sent them unto the Romans, to renew the friendship that we had with them, and the former confederacy.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 17] We commanded them therefore to go also unto you, and to salute you, and to deliver you our letters concerning the renewing of friendship and our brotherhood.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 18] And now ye shall do well if ye give us an answer thereto.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 19] And this is the copy of the letters which they sent to Onias:
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 20] Arius king of the Spartans to Onias the chief priest, greeting:
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 21] It hath been found in writing, concerning the Spartans and the Jews, that they are brethren, and that they are of the stock of Abraham:
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 22] and now, since this is come to our knowledge, ye shall do well to write unto us of your prosperity.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 23] And we moreover do write on our part to you, that your cattle and goods are ours, and ours are yours. We do command therefore that they make report unto you on this wise.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 24] And Jonathan heard that Demetrius’ princes were returned to fight against him with a greater host than afore,
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 25] and he removed from Jerusalem, and met them in the country of Hamath; for he gave them no respite to set foot in his country.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 26] And he sent spies into his camp, and they came again, and reported to him that they were appointed in such and such a way to fall upon them in the night season.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 27] But as soon as the sun was down, Jonathan commanded his men to watch, and to be in arms, that all the night long they might be ready for battle: and he put forth sentinels round about the camp.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 28] And the adversaries heard that Jonathan and his men were ready for battle, and they feared, and trembled in their hearts, and they kindled fires in their camp.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 29] But Jonathan and his men knew it not till the morning; for they saw the lights burning.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 30] And Jonathan pursued after them, and overtook them not; for they were gone over the river Eleutherus.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 31] And Jonathan turned aside to the Arabians, who are called Zabadeans, and smote them, and took their spoils.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 32] And he came out from thence, and came to Damascus, and took his journey through all the country.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 33] And Simon went forth, and took his journey as far as Askalon, and the strongholds that were near unto it. And he turned aside to Joppa, and took possession of it;
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 34] for he had heard that they were minded to deliver the stronghold unto the men of Demetrius; and he set a garrison there to keep it.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 35] And Jonathan returned, and called the elders of the people together; and he took counsel with them to build strongholds in Judea,
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 36] and to make the walls of Jerusalem higher, and to raise a great mound between the citadel and the city, to separate it from the city, that so it might be all alone, that men might neither buy nor sell.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 37] And they were gathered together to build the city, and there fell down part of the wall of the brook that is on the east side, and he repaired that which is called Chaphenatha.
[ASV | EN | OT | 1 Maccabees | Chapter 12 | Verse 38] And Simon also built Adida in the plain country, and made it strong, and set up gates and bars.
