[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 1] And Antiochus son of Demetrius the king sent letters from the isles of the sea unto Simon the priest and governor of the Jews, and to all the nation;
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 2] and the contents thereof were after this manner: King Antiochus to Simon the chief priest and governor, and to the nation of the Jews, greeting:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 3] Forasmuch as certain pestilent fellows have made themselves masters of the kingdom of our fathers, but my purpose is to claim the kingdom, that I may restore it as it was before; and moreover I have raised a multitude of foreign soldiers, and have prepared ships of war;
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 4] moreover I am minded to land in the country, that I may punish them that have destroyed our country, and them that have made many cities in the kingdom desolate:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 5] Now therefore I confirm unto thee all the exactions which the kings that were before me remitted unto thee, and whatsoever gifts besides they remitted unto thee:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 6] and I give thee leave to coin money for thy country with thine own stamp,
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 7] but that Jerusalem and the sanctuary should be free: and all the arms that thou hast prepared, and the strongholds that thou hast built, which thou hast in thy possession, let them remain unto thee:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 8] and everything owing to the king, and the things that shall be owing to the king from henceforth and forevermore, let them be remitted unto thee:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 9] moreover, when we shall have established our kingdom, we will glorify thee and thy nation and the temple with great glory, so that your glory shall be made manifest in all the earth.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 10] In the hundred and seventy and fourth year went Antiochus forth into the land of his fathers; and all the forces came together unto him, so that there were few men with Trypho.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 11] And king Antiochus pursued him, and he came, as he fled, unto Dor, which is by the sea:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 12] for he knew that troubles were come upon him all at once, and that his forces had forsaken him.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 13] And Antiochus encamped against Dor, and with him a hundred and twenty thousand men of war, and eight thousand horse.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 14] And he compassed the city round about, and the ships joined in the attack from the sea; and he vexed the city by land and sea, and suffered no man to go out or in.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 15] And Numenius and his company came from Rome, having letters to the kings and to the countries, wherein were written these things:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 16] Lucius, consul of the Romans, unto king Ptolemy, greeting:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 17] The Jews’ ambassadors came unto us as our friends and confederates, to renew the old friendship and confederacy, being sent from Simon the high priest, and from the people of the Jews:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 18] moreover they brought a shield of gold of a thousand pound.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 19] It pleased us therefore to write unto the kings and unto the countries, that they should not seek their hurt, nor fight against them, and their cities, and their country, nor be confederates with such as fight against them.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 20] Moreover it seemed good to us to receive the shield of them.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 21] If therefore any pestilent fellows have fled from their country unto you, deliver them unto Simon the high priest, that he may take vengeance on them according to their law.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 22] And the same things wrote he to Demetrius the king, and to Attalus, and to Ariarathes, and to Arsaces,
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 23] and unto all the countries, and to Sampsames, and to the Spartans, and unto Delos, and unto Myndos, and unto Sicyon, and unto Caria, and unto Samos, and unto Pamphylia, and unto Lycia, and unto Halicarnassus, and unto Rhodes, and unto Phaselis, and unto Cos, and unto Side, and unto Aradus, and Gortyna, and Cnidus, and Cyprus, and Cyrene.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 24] But the copy hereof they wrote to Simon the high priest.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 25] But Antiochus the king encamped against Dor the second day, bringing his forces up to it continually, and making engines of war, and he shut up Trypho from going in or out.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 26] And Simon sent him two thousand chosen men to fight on his side; and silver, and gold, and instruments of war in abundance.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 27] And he would not receive them, but set at nought all the covenants which he had made with him aforetime, and was estranged from him.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 28] And he sent unto him Athenobius, one of his Friends, to commune with him, saying, Ye hold possession of Joppa and Gazara, and the citadel that is in Jerusalem, cities of my kingdom.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 29] The borders thereof ye have wasted, and done great hurt in the land, and gat the dominion of many places in my kingdom.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 30] Now therefore deliver up the cities which ye have taken, and the tributes of the places whereof ye have gotten dominion without the borders of Judea:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 31] or else give me for them five hundred talents of silver; and for the harm that ye have done, and the tributes of the cities, other five hundred talents: or else we will come and subdue you.
