[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 1] And it came to pass, after that Alexander the Macedonian, the son of Philip, who came out of the land of Kittim, and smote Darius king of the Persians and Medes, it came to pass, after he had smitten him, that he reigned in his stead, in former time, over Greece.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 2] And he fought many battles, and won many strongholds, and slew the kings of the earth,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 3] and went through to the ends of the earth, and took spoils of a multitude of nations. And the earth was quiet before him, and he was exalted, and his heart was lifted up,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 4] and he gathered together an exceeding strong host, and ruled over countries and nations and principalities, and they became tributary unto him.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 5] And after these things he fell sick, and perceived that he should die.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 6] And he called his servants, who were honorable, who had been brought up with him from his youth, and he divided unto them his kingdom, while he was yet alive.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 7] And Alexander reigned twelve years, and he died.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 8] And his servants bare rule, each one in his place.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 9] And they did all put diadems upon themselves after that he was dead, and so did their sons after them many years: and they multiplied evils in the earth.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 10] And there came forth out of them a sinful root, Antiochus Epiphanes, son of Antiochus the king, who had been a hostage at Rome, and he reigned in the hundred and thirty and seventh year of the kingdom of the Greeks.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 11] In those days came there forth out of Israel transgressors of the law, and persuaded many, saying, let us go and make a covenant with the Gentiles that are round about us; for since we were parted from them many evils have befallen us.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 12] And the saying was good in their eyes.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 13] And certain of the people were forward herein and went to the king, and he gave them license to do after the ordinances of the Gentiles.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 14] And they built a place of exercise in Jerusalem according to the laws of the Gentiles;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 15] and they made themselves uncircumcised, and forsook the holy covenant, and joined themselves to the Gentiles, and sold themselves to do evil.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 16] And the kingdom was well ordered in the sight of Antiochus, and he thought to reign over Egypt, that he might reign over the two kingdoms.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 17] And he entered into Egypt with a great multitude, with chariots, and with elephants, and with horsemen, and with a great navy;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 18] and he made war against Ptolemy king of Egypt; and Ptolemy was put to shame before him, and fled; and many fell wounded to death.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 19] And they gat possession of the strong cities in the land of Egypt; and he took the spoils of Egypt.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 20] And Antiochus, after that he had smitten Egypt, returned in the hundred and forty and third year, and went up against Israel and Jerusalem with a great multitude,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 21] and entered presumptuously into the sanctuary, and took the golden altar, and the candlestick of the light, and all that pertained thereto,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 22] and the table of the showbread, and the cups to pour withal, and the bowls, and the golden censers, and the veil, and the crowns, and the adorning of gold which was on the face of the temple, and he scaled it all off.
