[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 1] And John went up from Gazara, and told Simon his father what Cendebeus was doing.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 2] And Simon called his two oldest sons, Judas and John, and said unto them, I and my brethren and my father’s house have fought the battles of Israel from our youth, even unto this day; and things have prospered in our hands, that we should deliver Israel oftentimes.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 3] But now I am old, and ye moreover, by his mercy, are of a sufficient age: be ye instead of me and my brother, and go forth and fight for our nation; but let the help which is from heaven be with you.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 4] And he chose out of the country twenty thousand men of war and horsemen, and they went against Cendebeus, and slept at Modein.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 5] And rising up in the morning, they went into the plain, and, behold, a great host came to meet them, of footmen and horsemen: and there was a brook between them.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 6] And he encamped over against them, he and his people: and he saw that the people were afraid to pass over the brook, and he passed over first, and the men saw him, and passed over after him.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 7] And he divided the people, and set the horsemen in the midst of the footmen: but the enemies’ horsemen were exceeding many.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 8] And they sounded with the trumpets; and Cendebeus and his army were put to the rout, and there fell of them many wounded to death, but they that were left fled to the stronghold:
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 9] at that time was Judas John’s brother wounded: but John pursued after them, till he came unto Kedron, which Cendebeus had built;
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 10] and they fled unto the towers that are in the fields of Azotus; and he burned it with fire; and there fell of them about two thousand men. And he returned into Judea in peace.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 11] And Ptolemy the son of Abubus had been appointed captain for the plain of Jericho, and he had much silver and gold;
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 12] for he was the high priest’s son-in-law.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 13] And his heart was lifted up, and he was minded to make himself master of the country, and he took counsel deceitfully against Simon and his sons, to make away with them.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 14] Now Simon was visiting the cities that were in the country, and taking care for the good ordering of them; and he went down to Jericho, himself and Mattathias and Judas his sons, in the hundred and seventy and seventh year, in the eleventh month, the same is the month Shebat:
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 15] and the son of Abubus received them deceitfully into the little stronghold that is called Dok, which he had built, and made them a great banquet, and hid men there.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 16] And when Simon and his sons had drunk freely, Ptolemy and his men rose up, and took their arms, and came in upon Simon into the banqueting place, and slew him, and his two sons, and certain of his servants.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 17] And he committed a great iniquity, and recompensed evil for good.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 18] And Ptolemy wrote these things, and sent to the king, that he should send him forces to aid him, and should deliver him their country and the cities.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 19] And he sent others to Gazara to make away with John: and unto the captains of thousands he sent letters to come unto him, that he might give them silver and gold and gifts.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 20] And others he sent to take possession of Jerusalem, and the mount of the temple.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 21] And one ran before to Gazara, and told John that his father and brethren were perished, and he hath sent to slay thee also.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 22] And when he heard, he was sore amazed; and he laid hands on the men that came to destroy him, and slew them; for he perceived that they were seeking to destroy him.
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 23] And the rest of the acts of John, and of his wars, and of his valiant deeds which he did, and of the building of the walls which he built, and of his doings,
[ASV | EN | OT | 1 Maccabees | Chapter 16 | Verse 24] behold, they are written in the chronicles of his high priesthood, from the time that he was made high priest after his father.
