[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 1] In those days rose up Mattathias the son of John, the son of Simeon, a priest of the sons of Joarib, from Jerusalem; and he dwelt at Modein.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 2] And he had five sons, John, who was surnamed Gaddi;
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 3] Simon, who was called Thassi;
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 4] Judas, who was called Maccabeus;
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 5] Eleazar, who was called Avaran; Jonathan, who was called Apphus.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 6] And he saw the blasphemies that were committed in Judah and in Jerusalem,
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 7] and he said, Woe is me! wherefore was I born to see the destruction of my people, and the destruction of the holy city, and to dwell there, when it was given into the hand of the enemy, the sanctuary into the hand of aliens?
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 8] Her temple is become as a man that was glorious:
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 9] her vessels of glory are carried away into captivity, her infants are slain in her streets, her young men with the sword of the enemy.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 10] What nation hath not inherited her palaces, and gotten possession of her spoils?
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 11] her adorning is all taken away; instead of a free woman she is become a bond woman:
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 12] and, behold, our holy things and our beauty and our glory are laid waste, and the Gentiles have profaned them.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 13] Wherefore should we live any longer?
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 14] And Mattathias and his sons rent their clothes, and put on sackcloth, and mourned exceedingly.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 15] And the king’s officers, that were enforcing the apostasy, came into the city Modein to sacrifice.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 16] And many of Israel came unto them, and Mattathias and his sons were gathered together.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 17] And the king’s officers answered and spake to Mattathias, saying, Thou art a ruler and an honorable and great man in this city, and strengthened with sons and brethren:
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 18] now therefore come thou first and do the commandment of the king, as all the nations have done, and the men of Judah, and they that remain in Jerusalem: and thou and thy house shall be in the number of the king’s Friends, and thou and thy sons shall be honored with silver and gold and many gifts.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 19] And Mattathias answered and said with a loud voice, If all the nations that are in the house of the king’s dominion hearken unto him, to fall away each one from the worship of his fathers, and have made choice to follow his commandments,
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 20] yet will I and my sons and my brethren walk in the covenant of our fathers.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 21] Heaven forbid that we should forsake the law and the ordinances.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 22] We will not hearken to the king’s words, to go aside from our worship, on the right hand, or on the left.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 23] And when he had left speaking these words, there came a Jew in the sight of all to sacrifice on the altar which was at Modein, according to the king’s commandment.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 24] And Mattathias saw it, and his zeal was kindled, and his heart was stirred, and he showed forth his wrath according to judgment, and ran, and slew him upon the altar.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 25] And the king’s officer, who compelled men to sacrifice, he killed at that time, and pulled down the altar.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 26] And he was zealous for the law, even as Phinehas did unto Zimri the son of Salu.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 27] And Mattathias cried out in the city with a loud voice, saying, Whosoever is zealous for the law, and maintaineth the covenant, let him come forth after me.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 28] And he and his sons fled into the mountains, and forsook all that they had in the city.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 29] Then many that sought after justice and judgment went down into the wilderness, to dwell there,
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 30] they, and their sons, and their wives, and their cattle; because evils were multiplied upon them.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 31] And it was told the king’s officers, and the forces that were in Jerusalem, the city of David, that certain men, who had broken the king’s commandment, were gone down into the secret places in the wilderness;
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 32] and many pursued after them, and having overtaken them, they encamped against them, and set the battle in array against them on the Sabbath day.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 33] And they said unto them, Thus far. Come forth, and do according to the word of the king, and ye shall live.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 34] And they said, We will not come forth, neither will we do the word of the king, to profane the Sabbath day.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 35] And they hastened to give them battle.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 36] And they answered them not, neither cast they a stone at them, nor stopped up the secret places,
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 37] saying, Let us die all in our innocency: heaven and earth witness over us, that ye put us to death without trial.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 38] And they rose up against them in battle on the Sabbath, and they died, they and their wives and their children, and their cattle, to the number of a thousand souls.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 39] And Mattathias and his friends knew it, and they mourned over them exceedingly.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 40] And one said to another, If we all do as our brethren have done, and fight not against the Gentiles for our lives and our ordinances, they will now quickly destroy us from off the earth.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 41] And they took counsel on that day, saying, whosoever shall come against us to battle on the Sabbath day, let us fight against him, and we shall in no wise all die, as our brethren died in the secret places.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 42] Then were gathered together unto them a company of Hasideans, mighty men of Israel, every one that offered himself willingly for the law.
