[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 1] Then he called Hermon, who had charge of the elephants. Full of rage, altogether fixed in his furious design,
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 2] he commanded him, with a quantity of unmixed wine with handfuls of incense infused, to drug the elephants early on the following day. These five hundred elephants were, when infuriated by the copious drinks of frankincense, to be led up to the execution of death upon the Jews.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 3] The king, after issuing these orders, went to his feasting, and gathered together all those of his friends and of the army who hated the Jews the most.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 4] The master of the elephants, Hermon, fulfilled his commission punctually.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 5] The servants appointed for the purpose went out about evening and bound the hands of the miserable victims, and took other precautions for their security at night, thinking that the whole race would perish together.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 6] The heathen believed the Jews to be destitute of all protection, for chains bound them.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 7] They invoked the Almighty Lord, and ceaselessly implored with tears their merciful God and Father, Ruler of all, Lord of every power,
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 8] to overthrow the evil purpose which had gone out against them, and to deliver them by extraordinary manifestation from that death which was in store for them.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 9] Their earnest entreaty went up to heaven.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 10] Then Hermon, who had filled his merciless elephants with copious drinks of mixed wine and frankincense, came early to the palace to report on these preparations.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 11] He, however, who has sent his good creature sleep from all time by night or by day thus gratifying whom he wills, diffused a portion of it now upon the king.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 12] By this sweet and profound influence of the Lord, he was held fast, and thus his unjust purpose was quite frustrated, and his unflinching resolve greatly falsified.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 13] But the Jews, having escaped the hour which had been fixed, praised their holy God, and again prayed him who is easily reconciled to display the power of his powerful hand to the arrogant Gentiles.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 14] The middle of the tenth hour had nearly arrived, when the person who sent invitations, seeing the guests who were invited present, came and shook the king.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 15] He gained his attention with difficulty, and hinting that the mealtime was getting past, talked the matter over with him.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 16] The king listened to this, and then turning aside to his drinking, commanded the guests to sit down before him.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 17] This done, he asked them to enjoy themselves, and to indulge in mirth at this somewhat late hour of the banquet.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 18] Conversation grew on, and the king sent for Hermon, and inquired of him, with fierce denunciations, why the Jews had been allowed to outlive that day.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 19] Hermon explained that he had done his bidding over night; and in this he was confirmed by his friends.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 20] The king, then, with a barbarity exceeding that of Phalaris, said, “They might thank his sleep of that day. Lose no time, and get ready the elephants against tomorrow, as you did before, for the destruction of these accursed Jews.”
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 21] When the king said this, the company present were glad, and approved. Then each man went to his own home.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 22] They didn’t employ the night in sleep, but in contriving cruel mockeries for those deemed miserable.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 23] The morning cock had just crowed, and Hermon, having harnessed the brutes, was stimulating them in the great colonnade.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 24] The city crowds were collected together to see the hideous spectacle, and waited impatiently for the dawn.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 25] The Jews, breathless with momentary suspense, stretched out their hands and prayed the Greatest God, in mournful strains, again to help them speedily.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 26] The sun’s rays were not yet shining and the king was waiting for his friends when Hermon came to him, calling him out, and saying that his desires could now be realized.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 27] The king, receiving him, was astonished at his unusual invitation. Overwhelmed with a spirit of oblivion about everything, inquired about the object of this earnest preparation.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 28] But this was the working of that Almighty God who had made him forget all his purpose.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 29] Hermon and all his friends pointed out the preparation of the animals. They are ready, O king, according to your own strict injunction.
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 30] The king was filled with fierce anger at these words, for, by the Providence of God regarding these things, his mind had become entirely confused. He looked hard at Hermon, and threatened him as follows:
[WEB | EN | OT | 3 Maccabees | Chapter 5 | Verse 31] “Your parents, or your children, were they here, would have given a large meal to these wild animals, not these innocent Jews, who have loyally served me and my forefathers.
