[KJV | EN | NT | Matthew | Chapter 22 | Verse 1] And Jesus answered and spake unto them again by parables, and said,
[KJV | EN | NT | Matthew | Chapter 22 | Verse 2] The kingdom of heaven is like unto a certain king, which made a marriage for his son,
[KJV | EN | NT | Matthew | Chapter 22 | Verse 3] and sent forth his servants to call them that were bidden to the wedding: and they would not come.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 4] Again, he sent forth other servants, saying, Tell them which are bidden, Behold, I have prepared my dinner: my oxen and my fatlings are killed, and all things are ready: come unto the marriage.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 5] But they made light of it, and went their ways, one to his farm, another to his merchandise:
[KJV | EN | NT | Matthew | Chapter 22 | Verse 6] and the remnant took his servants, and entreated them spitefully, and slew them.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 7] But when the king heard thereof, he was wroth: and he sent forth his armies, and destroyed those murderers, and burnt up their city.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 8] Then saith he to his servants, The wedding is ready, but they which were bidden were not worthy.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 9] Go ye therefore into the highways, and as many as ye shall find, bid to the marriage.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 10] So those servants went out into the highways, and gathered together all as many as they found, both bad and good: and the wedding was furnished with guests.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 11] And when the king came in to see the guests, he saw there a man which had not on a wedding garment:
[KJV | EN | NT | Matthew | Chapter 22 | Verse 12] and he saith unto him, Friend, how camest thou in hither not having a wedding garment? And he was speechless.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 13] Then said the king to the servants, Bind him hand and foot, and take him away, and cast him into outer darkness; there shall be weeping and gnashing of teeth.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 14] For many are called, but few are chosen.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 15] Then went the Pharisees, and took counsel how they might entangle him in his talk.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 16] And they sent out unto him their disciples with the Herodians, saying, Master, we know that thou art true, and teachest the way of God in truth, neither carest thou for any man: for thou regardest not the person of men.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 17] Tell us therefore, What thinkest thou? Is it lawful to give tribute unto Cesar, or not?
[KJV | EN | NT | Matthew | Chapter 22 | Verse 18] But Jesus perceived their wickedness, and said, Why tempt ye me, ye hypocrites?
[KJV | EN | NT | Matthew | Chapter 22 | Verse 19] Shew me the tribute money. And they brought unto him a penny.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 20] And he saith unto them, Whose is this image and superscription?
[KJV | EN | NT | Matthew | Chapter 22 | Verse 21] They say unto him, Cesar’s. Then saith he unto them, Render therefore unto Cesar the things which are Cesar’s; and unto God the things that are God’s.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 22] When they had heard these words, they marvelled, and left him, and went their way.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 23] The same day came to him the Sadducees, which say that there is no resurrection, and asked him,
[KJV | EN | NT | Matthew | Chapter 22 | Verse 24] saying, Master, Moses said, If a man die, having no children, his brother shall marry his wife, and raise up seed unto his brother.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 25] Now there were with us seven brethren: and the first, when he had married a wife, deceased, and, having no issue, left his wife unto his brother:
[KJV | EN | NT | Matthew | Chapter 22 | Verse 26] likewise the second also, and the third, unto the seventh.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 27] And last of all the woman died also.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 28] Therefore in the resurrection whose wife shall she be of the seven? for they all had her.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 29] Jesus answered and said unto them, Ye do err, not knowing the scriptures, nor the power of God.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 30] For in the resurrection they neither marry, nor are given in marriage, but are as the angels of God in heaven.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 31] But as touching the resurrection of the dead, have ye not read that which was spoken unto you by God, saying,
[KJV | EN | NT | Matthew | Chapter 22 | Verse 32] I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not the God of the dead, but of the living.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 33] And when the multitude heard this, they were astonished at his doctrine.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 34] But when the Pharisees had heard that he had put the Sadducees to silence, they were gathered together.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 35] Then one of them, which was a lawyer, asked him a question, tempting him, and saying,
[KJV | EN | NT | Matthew | Chapter 22 | Verse 36] Master, which is the great commandment in the law?
[KJV | EN | NT | Matthew | Chapter 22 | Verse 37] Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 38] This is the first and great commandment.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 39] And the second is like unto it, Thou shalt love thy neighbour as thyself.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 40] On these two commandments hang all the law and the prophets.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 41] While the Pharisees were gathered together, Jesus asked them,
[KJV | EN | NT | Matthew | Chapter 22 | Verse 42] saying, What think ye of Christ? whose son is he? They say unto him, The Son of David.
[KJV | EN | NT | Matthew | Chapter 22 | Verse 43] He saith unto them, How then doth David in spirit call him Lord, saying,
