[KJV | EN | NT | Matthew | Chapter 1 | Verse 1] The book of the generation of Jesus Christ, the son of David, the son of Abraham.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 2] Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 3] and Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 4] and Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 5] and Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 6] and Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 7] and Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 8] and Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 9] and Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 10] and Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 11] and Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:
[KJV | EN | NT | Matthew | Chapter 1 | Verse 12] and after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 13] and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 14] and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 15] and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
[KJV | EN | NT | Matthew | Chapter 1 | Verse 16] and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 17] So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 18] Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 19] Then Joseph her husband, being a just man, and not willing to make her a publick example, was minded to put her away privily.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 20] But while he thought on these things, behold, the angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 21] And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 22] Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying,
[KJV | EN | NT | Matthew | Chapter 1 | Verse 23] Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.
[KJV | EN | NT | Matthew | Chapter 1 | Verse 24] Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his wife:
[KJV | EN | NT | Matthew | Chapter 1 | Verse 25] and knew her not till she had brought forth her firstborn son: and he called his name JESUS.
