[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 1] If then, the seven kindred despised troubles even to death, it is admitted on all sides that righteous reasoning is absolute master over the emotions.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 2] For just as if they had eaten of the unholy as slaves to the emotions, we would have said that they had been conquered by them.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 3] Now it is not so. But by means of the reasoning which is praised by God, they mastered their emotions.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 4] It is impossible to overlook the leadership of reflection, for it gained the victory over both emotions and troubles.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 5] How, then, can we avoid according to these men mastery of emotion through right reasoning, since they didn’t withdraw from the pains of fire?
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 6] For just as by means of towers projecting in front of harbors men break the threatening waves, and thus assure a still course to vessels entering port,
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 7] so that seven-towered right-reasoning of the young men, securing the harbour of religion, conquered the tempest of emotions.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 8] For having arranged a holy choir of piety, they encouraged one another, saying,
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 9] “Brothers, may we die brotherly for the law. Let us imitate the three young men in Assyria who despised the equally afflicting furnace.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 10] Let’s not be cowards in the manifestation of piety.”
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 11] One said, “Courage, brother!” and another, “Nobly endure!”
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 12] Another said, “Remember of what stock you are;” and by the hand of our father Isaac endured to be slain for the sake of piety.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 13] One and all, looking at each other serene and confident, said, “Let’s sacrifice with all our heart our souls to God who gave them, and employ our bodies for the keeping of the law.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 14] Let’s not fear him who thinks he kills;
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 15] for great is the trial of soul and danger of eternal torment laid up for those who transgress the commandment of God.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 16] Let’s arm ourselves, therefore, in the self-control, which is divine reasoning.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 17] If we suffer like this, Abraham, Isaac, and Jacob will receive us, and all the fathers will commend us.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 18] As each one of the kindred was hauled away, the rest exclaimed, “Don’t disgrace us, O brother, nor falsify those who died before you!”
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 19] Now you are not ignorant of the charm of brotherhood, which the Divine and all wise Providence has imparted through fathers to children, and has engendered through the mother’s womb.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 20] In which these brothers having remained an equal time, and having been formed for the same period, and been increased by the same blood, and having been perfected through the same principle of life,
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 21] and having been brought forth at equal intervals, and having sucked milk from the same springs, hence their brotherly souls are reared up lovingly together,
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 22] and increase the more powerfully by reason of this simultaneous rearing, and by daily companionship, and by other education, and exercise in the law of God.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 23] Brotherly love being thus sympathetically constituted, the seven kindred had a more sympathetic mutual harmony.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 24] For being educated in the same law, and practicing the same virtues, and reared up in a just course of life, they increased this harmony with each other.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 25] For the same ardor for what is right and honorable increased their goodwill and harmony toward each other.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 26] For it acting along with religion, made their brotherly feeling more desirable to them.
[WEB | EN | OT | 4 Maccabees | Chapter 13 | Verse 27] And yet, although nature, companionship, and virtuous morals increased their brotherly love, those who were left endured to see their kindred, who were mistreated for their religion, tortured even to death.
