[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 1] When he, too, had undergone blessed martyrdom, and died in the cauldron into which he had been thrown, the seventh, the youngest of all, came forward,
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 2] whom the tyrant pitying, though he had been dreadfully reproached by his kindred,
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 3] seeing him already encompassed with chains, had him brought nearer, and endeavored to counsel him, saying,
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 4] “You see the end of the madness of your kindred, for they have died in torture through disobedience. You, if disobedient, having been miserably tormented, will yourself perish prematurely.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 5] But if you obey, you will be my friend, and have a charge over the affairs of the kingdom.”
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 6] Having thus exhorted him, he sent for the boy’s mother, that, by showing compassion to her for the loss of so many sons, he might incline her, through the hope of safety, to render the survivor obedient.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 7] He, after his mother had urged him on in the Hebrew tongue, (as we will soon relate) said,
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 8] “Release me that I may speak to the king and all his friends.”
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 9] They, rejoicing exceedingly at the promise of the youth, quickly let him go.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 10] He, running up to the pans, said,
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 11] “Impious tyrant, and most blasphemous man, were you not ashamed, having received prosperity and a kingdom from God, to kill His servants, and to rack the doers of godliness?
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 12] Therefore the divine vengeance is reserving you for eternal fire and torments, which will cling to you for all time.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 13] Weren’t you ashamed, man as you are, yet most savage, to cut out the tongues of men of like feeling and origin, and having thus abused to torture them?
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 14] But they, bravely dying, fulfilled their religion toward God.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 15] But you will groan as you deserve for having slain without cause the champions of virtue.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 16] Therefore,” he continued, “I myself, being about to die,
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 17] will not forsake my kindred.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 18] I call upon the God of my fathers to be merciful to my race.
[WEB | EN | OT | 4 Maccabees | Chapter 12 | Verse 19] But you, both living and dead, he will punish.”
