[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 1] Some of the spearbearers said that when she herself was about to be seized for the purpose of being put to death, she threw herself on the pile, rather than let them touch her body.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 2] O you mother, who together with seven children destroyed the violence of the tyrant, and rendered void his wicked intentions, and exhibited the nobleness of faith!
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 3] For you, like a house bravely built on the pillar of your children, bore the shock of tortures without swaying.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 4] Cheer up, therefore, O holy-minded mother! Hold the firm hope of your steadfastness with God.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 5] Not so gracious does the moon appear with the stars in heaven, as you are established as honorable before God, and fixed in the sky with your sons whom you illuminated with religion to the stars.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 6] For your bearing of children was after the manner of a child of Abraham.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 7] If it were lawful for us to paint as on a tablet the religion of your story, the spectators wouldn’t shudder at seeing the mother of seven children enduring for the sake of religion various tortures even to death.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 8] It would have been a worthwhile thing to have inscribed on the tomb itself these words as a memorial to those of the nation,
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 9] “Here an aged priest, and an aged woman, and seven sons, are buried through the violence of a tyrant, who wished to destroy the society of the Hebrews.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 10] These also avenged their nation, looking to God, and enduring torments to death.”
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 11] For it was truly a divine contest which was carried through by them.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 12] For at that time virtue presided over the contest, approving the victory through endurance, namely, immortality, eternal life.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 13] Eleazar was the first to contend. The mother of the seven children entered the contest, and the kindred contended.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 14] The tyrant was the antagonist; and the world and living men were the spectators.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 15] Reverence for God conquered, and crowned her own athletes.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 16] Who didn’t admire those champions of true legislation? Who were not amazed?
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 17] The tyrant himself, and all their council, admired their endurance,
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 18] through which, they also now stand beside the divine throne and live a blessed life.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 19] For Moses says, “All the saints are under your hands.”
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 20] These, therefore, having been sanctified through God, have been honored not only with this honor, but that also by the fact that because of them, the enemy didn’t overcome our nation.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 21] That tyrant was punished and their country purified.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 22] For they became the ransom to the sin of the nation. The Divine Providence saved Israel, which was afflicted before, by the blood of those pious ones and the death that appeased wrath.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 23] For the tyrant Antiochus, looking to their courageous virtue and to their endurance in torture, proclaimed that endurance as an example to his soldiers.
[WEB | EN | OT | 4 Maccabees | Chapter 17 | Verse 24] They proved to be to him noble and brave for land battles and for sieges; and he conquered and stormed the towns of all his enemies.
