[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 1] Now this one endured this praiseworthy death. The third was brought along, and exhorted by many to taste and save his life.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 2] But he cried out and said, “Don’t you know that the father of those who are dead is my father also, and that the same mother bore me, and that I was brought up in the same way?
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 3] I don’t renounce the noble relationship of my kindred.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 4] Now then, whatever instrument of vengeance you have, apply it to my body, for you aren’t able to touch my soul, even if you want to.”
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 5] But they, highly incensed at his boldness of speech, dislocated his hands and feet with racking engines, and wrenching them from their sockets, dismembered him.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 6] They dragged around his fingers, his arms, his legs, and his ankles.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 7] Not being able by any means to strangle him, they tore off his skin, together with the extreme tips of his fingers, and then dragged him to the wheel,
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 8] around which his vertebral joints were loosened, and he saw his own flesh torn to shreds, and streams of blood flowing from his entrails.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 9] When about to die, he said,
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 10] “We, O accursed tyrant, suffer this for the sake of Divine education and virtue.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 11] But you, for your impiety and blood shedding, will endure unceasing torments.”
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 12] Thus having died worthily of his kindred, they dragged forward the fourth, saying,
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 13] “Don’t share the madness of your kindred, but respect the king and save yourself.”
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 14] But he said to them, “You don’t have a fire so scorching as to make me play the coward.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 15] By the blessed death of my kindred, and the eternal punishment of the tyrant, and the glorious life of the pious, I will not repudiate the noble brotherhood.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 16] Invent, O tyrant, tortures, that you may learn, even through them, that I am the brother of those tormented before.”
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 17] When he had said this, the blood-thirsty, murderous, and unholy Antiochus ordered his tongue to be cut out.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 18] But he said, “Even if you take away the organ of speech, God still hears the silent.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 19] Behold, my tongue is extended, cut it off; for in spite of that you won’t silence our reasoning.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 20] We gladly lose our limbs on behalf of God.
[WEB | EN | OT | 4 Maccabees | Chapter 10 | Verse 21] But God will speedily find you, since you cut off the tongue, the instrument of divine melody.”
