[WLC | HE | OT | Job | Chapter 21 | Verse 1] וַיַּ֥עַן אִיּ֗וֹב וַיֹּאמַֽר׃
[WLC | HE | OT | Job | Chapter 21 | Verse 2] שִׁמְע֣וּ שָׁ֭מוֹעַ מִלָּתִ֑י וּתְהִי־זֹ֝֗את תַּנְח֥וּמֹֽתֵיכֶֽם׃
[WLC | HE | OT | Job | Chapter 21 | Verse 3] שָׂ֭אוּנִי וְאָנֹכִ֣י אֲדַבֵּ֑ר וְאַחַ֖ר דַּבְּרִ֣י תַלְעִֽיג׃
[WLC | HE | OT | Job | Chapter 21 | Verse 4] הֶ֭אָנֹכִי לְאָדָ֣ם שִׂיחִ֑י וְאִם־מַ֝דּ֗וּעַ לֹא־תִקְצַ֥ר רוּחִֽי׃
[WLC | HE | OT | Job | Chapter 21 | Verse 5] פְּנוּ־אֵלַ֥י וְהָשַׁ֑מּוּ וְשִׂ֖ימוּ יָ֣ד עַל־פֶּֽה׃
[WLC | HE | OT | Job | Chapter 21 | Verse 6] וְאִם־זָכַ֥רְתִּי וְנִבְהָ֑לְתִּי וְאָחַ֥ז בְּ֝שָׂרִ֗י פַּלָּצֽוּת׃
[WLC | HE | OT | Job | Chapter 21 | Verse 7] מַדּ֣וּעַ רְשָׁעִ֣ים יִחְי֑וּ עָ֝תְק֗וּ גַּם־גָּ֥בְרוּ חָֽיִל׃
[WLC | HE | OT | Job | Chapter 21 | Verse 8] זַרְעָ֤ם נָכ֣וֹן לִפְנֵיהֶ֣ם עִמָּ֑ם וְ֝צֶאֱצָאֵיהֶ֗ם לְעֵינֵיהֶֽם׃
[WLC | HE | OT | Job | Chapter 21 | Verse 9] בָּתֵּיהֶ֣ם שָׁל֣וֹם מִפָּ֑חַד וְלֹ֤א שֵׁ֖בֶט אֱל֣וֹהַּ עֲלֵיהֶֽם׃
[WLC | HE | OT | Job | Chapter 21 | Verse 10] שׁוֹר֣וֹ עִ֭בַּר וְלֹ֣א יַגְעִ֑ל תְּפַלֵּ֥ט פָּ֝רָת֗וֹ וְלֹ֣א תְשַׁכֵּֽל׃
[WLC | HE | OT | Job | Chapter 21 | Verse 11] יְשַׁלְּח֣וּ כַ֭צֹּאן עֲוִילֵיהֶ֑ם וְ֝יַלְדֵיהֶ֗ם יְרַקֵּדֽוּן׃
[WLC | HE | OT | Job | Chapter 21 | Verse 12] יִ֭שְׂאוּ כְּתֹ֣ף וְכִנּ֑וֹר וְ֝יִשְׂמְח֗וּ לְק֣וֹל עוּגָֽב׃
[WLC | HE | OT | Job | Chapter 21 | Verse 13] יבלו בַטּ֣וֹב יְמֵיהֶ֑ם וּ֝בְרֶ֗גַע שְׁא֣וֹל יֵחָֽתּוּ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 14] וַיֹּאמְר֣וּ לָ֭אֵל ס֣וּר מִמֶּ֑נּוּ וְדַ֥עַת דְּ֝רָכֶ֗יךָ לֹ֣א חָפָֽצְנוּ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 15] מַה־שַׁדַּ֥י כִּֽי־נַֽעַבְדֶ֑נּוּ וּמַה־נּ֝וֹעִ֗יל כִּ֣י נִפְגַּע־בּֽוֹ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 16] הֵ֤ן לֹ֣א בְיָדָ֣ם טוּבָ֑ם עֲצַ֥ת רְ֝שָׁעִ֗ים רָ֣חֲקָה מֶֽנִּי׃
[WLC | HE | OT | Job | Chapter 21 | Verse 17] כַּמָּ֤ה ׀ נֵר־רְשָׁ֘עִ֤ים יִדְעָ֗ךְ וְיָבֹ֣א עָלֵ֣ימוֹ אֵידָ֑ם חֲ֝בָלִ֗ים יְחַלֵּ֥ק בְּאַפּֽוֹ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 18] יִהְי֗וּ כְּתֶ֥בֶן לִפְנֵי־ר֑וּחַ וּ֝כְמֹ֗ץ גְּנָבַ֥תּוּ סוּפָֽה׃
[WLC | HE | OT | Job | Chapter 21 | Verse 19] אֱל֗וֹהַּ יִצְפֹּן־לְבָנָ֥יו אוֹנ֑וֹ יְשַׁלֵּ֖ם אֵלָ֣יו וְיֵדָֽע׃
[WLC | HE | OT | Job | Chapter 21 | Verse 20] יִרְא֣וּ עינו כִּיד֑וֹ וּמֵחֲמַ֖ת שַׁדַּ֣י יִשְׁתֶּֽה׃
[WLC | HE | OT | Job | Chapter 21 | Verse 21] כִּ֤י מַה־חֶפְצ֣וֹ בְּבֵית֣וֹ אַחֲרָ֑יו וּמִסְפַּ֖ר חֳדָשָׁ֣יו חֻצָּֽצוּ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 22] הַלְאֵ֥ל יְלַמֶּד־דָּ֑עַת וְ֝ה֗וּא רָמִ֥ים יִשְׁפּֽוֹט׃
[WLC | HE | OT | Job | Chapter 21 | Verse 23] זֶ֗ה יָ֭מוּת בְּעֶ֣צֶם תֻּמּ֑וֹ כֻּ֝לּ֗וֹ שַׁלְאֲנַ֥ן וְשָׁלֵֽיו׃
[WLC | HE | OT | Job | Chapter 21 | Verse 24] עֲ֭טִינָיו מָלְא֣וּ חָלָ֑ב וּמֹ֖חַ עַצְמוֹתָ֣יו יְשֻׁקֶּֽה׃
[WLC | HE | OT | Job | Chapter 21 | Verse 25] וְזֶ֗ה יָ֭מוּת בְּנֶ֣פֶשׁ מָרָ֑ה וְלֹֽא־אָ֝כַ֗ל בַּטּוֹבָֽה׃
[WLC | HE | OT | Job | Chapter 21 | Verse 26] יַ֭חַד עַל־עָפָ֣ר יִשְׁכָּ֑בוּ וְ֝רִמָּ֗ה תְּכַסֶּ֥ה עֲלֵיהֶֽם׃
[WLC | HE | OT | Job | Chapter 21 | Verse 27] הֵ֣ן יָ֭דַעְתִּי מַחְשְׁבֽוֹתֵיכֶ֑ם וּ֝מְזִמּ֗וֹת עָלַ֥י תַּחְמֹֽסוּ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 28] כִּ֤י תֹֽאמְר֗וּ אַיֵּ֥ה בֵית־נָדִ֑יב וְ֝אַיֵּ֗ה אֹ֤הֶל ׀ מִשְׁכְּנ֬וֹת רְשָׁעִֽים׃
[WLC | HE | OT | Job | Chapter 21 | Verse 29] הֲלֹ֣א שְׁ֭אֶלְתֶּם ע֣וֹבְרֵי דָ֑רֶךְ וְ֝אֹתֹתָ֗ם לֹ֣א תְנַכֵּֽרוּ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 30] כִּ֤י לְי֣וֹם אֵ֭יד יֵחָ֣שֶׂךְ רָ֑ע לְי֖וֹם עֲבָר֣וֹת יוּבָֽלוּ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 31] מִֽי־יַגִּ֣יד עַל־פָּנָ֣יו דַּרְכּ֑וֹ וְהֽוּא־עָ֝שָׂ֗ה מִ֣י יְשַׁלֶּם־לֽוֹ׃
[WLC | HE | OT | Job | Chapter 21 | Verse 32] וְ֭הוּא לִקְבָר֣וֹת יוּבָ֑ל וְֽעַל־גָּדִ֥ישׁ יִשְׁקֽוֹד׃
[WLC | HE | OT | Job | Chapter 21 | Verse 33] מָֽתְקוּ־ל֗וֹ רִגְבֵ֫י נָ֥חַל וְ֭אַחֲרָיו כָּל־אָדָ֣ם יִמְשׁ֑וֹךְ וּ֝לְפָנָ֗יו אֵ֣ין מִסְפָּֽר׃
[WLC | HE | OT | Job | Chapter 21 | Verse 34] וְ֭אֵיךְ תְּנַחֲמ֣וּנִי הָ֑בֶל וּ֝תְשֽׁוּבֹתֵיכֶ֗ם נִשְׁאַר־מָֽעַל׃ ס
