[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 1] लावी काहिनों या'नी लावी के क़बीले का कोई हिस्सा और मीरास इस्राईल के साथ न हो; वह ख़ुदावन्द की आतिशीन क़ुर्बानियाँ और उसी की मीरास खाया करें।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 2] इसलिए उनके भाइयों के साथ उनको मीरास न मिले; ख़ुदावन्द उनकी मीरास है, जैसा उसने ख़ुद उनसे कहा है।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 3] और जो लोग गाय — बैल या भेड़ या बकरी की क़ुर्बानी गुज़रानते हैं उनकी तरफ़ से काहिनों का यह हक़ होगा, कि वह काहिन को शाना और कनपटियाँ और झोझ दें।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 4] और तू अपने अनाज और मय और तेल के पहले फल में से, और अपनी भेड़ों के बाल में से जो पहली दफ़ा' कतरे जाएँ उसे देना।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 5] क्यूँकि ख़ुदावन्द तेरे ख़ुदा ने उसको तेरे सब क़बीलों में से चुन लिया है, ताकि वह और उसकी औलाद हमेशा ख़ुदावन्द के नाम से ख़िदमत के लिए हाज़िर रहें।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 6] और तेरी जो बस्तियाँ सब इस्राईलियों में हैं उनमें से अगर कोई लावी किसी बस्ती से जहाँ वह बूद — ओ — बाश करता था आए, और अपने दिल की पूरी चाहत से उस जगह हाज़िर हो जिसको ख़ुदावन्द चुनेगा:
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 7] तो अपने सब लावी भाइयों की तरह जो वहाँ ख़ुदावन्द के सामने खड़े रहते हैं, वह भी ख़ुदावन्द अपने ख़ुदा के नाम से ख़िदमत करे।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 8] और उन सबको खाने को बराबर हिस्सा मिले, 'अलावा उस क़ीमत के जो उसके बाप — दादा की मीरास बेचने से उसे हासिल हो।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 9] जब तू उस मुल्क में जो ख़ुदावन्द तेरा ख़ुदा तुमको देता है पहुँच जाओ, तो वहाँ की क़ौमों की तरह मकरूह काम करने न सीखना।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 10] तुझमें हरगिज़ कोई ऐसा न हो जो अपने बेटे या बेटी को आग में चलवाए, या फ़ालगीर या शगुन निकालने वाला या अफ़सूँनगर या जादूगर
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 11] या मंतरी या जिन्नात का आशना या रम्माल या साहिर हो।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 12] क्यूँकि वह सब जो ऐसा काम करते हैं ख़ुदावन्द के नज़दीक मकरूह हैं, और इन ही मकरूहात की वजह से ख़ुदावन्द तेरा ख़ुदा उनको तेरे सामने से निकालने पर है।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 13] तू ख़ुदावन्द अपने ख़ुदा के सामने कामिल रहना।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 14] क्यूँकि वह क़ौमें जिनका तू वारिस होगा शगुन निकालने वालों और फ़ालगीर की सुनती हैं; लेकिन तुझको ख़ुदावन्द तेरे ख़ुदा ने ऐसा करने न दिया।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 15] ख़ुदावन्द तेरा ख़ुदा तेरे लिए तेरे ही बीच से, या'नी तेरे ही भाइयों में से मेरी तरह एक नबी खड़ा करेगा तुम उसकी सुनना;
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 16] यह तेरी उस दरख़्वास्त के मुताबिक़ होगा जो तूने ख़ुदावन्द अपने ख़ुदा से मजमे' के दिन होरिब में की थी, 'मुझको न तो ख़ुदावन्द अपने ख़ुदा की आवाज़ फिर सुननी पड़े और न ऐसी बड़ी आग ही का नज़ारा हो, ताकि मैं मर न जाऊँ।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 17] और ख़ुदावन्द ने मुझसे कहा कि “वह जो कुछ कहते हैं इसलिए ठीक कहते हैं।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 18] मैं उनके लिए उन ही के भाइयों में से तेरी तरह एक नबी खड़ा करूँगा, और अपना कलाम उसके मुँह में डालूँगा, और जो कुछ मैं उसे हुक्म दूँगा वही वह उनसे कहेगा।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 19] और जो कोई मेरी उन बातों की जिनकी वह मेरा नाम लेकर कहेगा न सुने, तो मैं उनका हिसाब उनसे लूँगा।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 20] लेकिन जो नबी गुस्ताख़ बन कर कोई ऐसी बात मेरे नाम से कहे, जिसके कहने का मैंने उसको हुक्म नहीं दिया या और मा'बूदों के नाम से कुछ कहे, तो वह नबी क़त्ल किया जाए।
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 21] और अगर तू अपने दिल में कहे कि 'जो बात ख़ुदावन्द ने नहीं कही है, उसे हम क्यूँ कर पहचानें?'
[IRV | UR | OT | Deuteronomy | Chapter 18 | Verse 22] तो पहचान यह है, कि जब वह नबी ख़ुदावन्द के नाम से कुछ कहे और उसके कहे कि मुताबिक़ कुछ वाक़े' या पूरा न हो, तो वह बात ख़ुदावन्द की कही हुई नहीं; बल्कि उस नबी ने वह बात ख़ुद गुस्ताख़ बन कर कही है, तू उससे ख़ौफ़ न करना।
