[JPS | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man that hath seen affliction by the rod of His wrath.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 2] He hath led me and caused me to walk in darkness and not in light.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 3] Surely against me He turneth His hand again and again all the day.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 4] My flesh and my skin hath He worn out; He hath broken my bones.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 5] He hath builded against me, and compassed me with gall and travail.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 6] He hath made me to dwell in dark places, as those that have been long dead.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 7] He hath hedged me about, that I cannot go forth; He hath made my chain heavy.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 8] Yea, when I cry and call for help, He shutteth out my prayer.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 9] He hath enclosed my ways with hewn stone, He hath made my paths crooked.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 10] He is unto me as a bear lying in wait, as a lion in secret places.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 11] He hath turned aside my ways, and pulled me in pieces; He hath made me desolate.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 12] He hath bent His bow, and set me as a mark for the arrow.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 13] He hath caused the arrows of His quiver to enter into my reins.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 14] I am become a derision to all my people, and their song all the day.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 15] He hath filled me with bitterness, He hath sated me with wormwood.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 16] He hath also broken my teeth with gravel stones, He hath made me to wallow in ashes.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 17] And my soul is removed far off from peace, I forgot prosperity.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 18] And I said: 'My strength is perished, and mine expectation from the LORD.'
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 19] Remember mine affliction and mine anguish, the wormwood and the gall.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 20] My soul hath them still in remembrance, and is bowed down within me.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 21] This I recall to my mind, therefore have I hope.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 22] Surely the LORD'S mercies are not consumed, surely His compassions fail not.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 23] They are new every morning; great is Thy faithfulness.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 24] 'The LORD is my portion', saith my soul; 'Therefore will I hope in Him.'
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 25] The LORD is good unto them that wait for Him, to the soul that seeketh Him.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 26] It is good that a man should quietly wait for the salvation of the LORD.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 27] It is good for a man that he bear the yoke in his youth.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 28] Let him sit alone and keep silence, because He hath laid it upon him.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 29] Let him put his mouth in the dust, if so be there may be hope.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 30] Let him give his cheek to him that smiteth him, let him be filled full with reproach.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 31] For the Lord will not cast off for ever.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 32] For though He cause grief, yet will He have compassion according to the multitude of His mercies.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 33] For He doth not afflict willingly, nor grieve the children of men.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 34] To crush under foot all the prisoners of the earth,
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 35] To turn aside the right of a man before the face of the Most High,
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 36] To subvert a man in his cause, the Lord approveth not.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 37] Who is he that saith, and it cometh to pass, when the Lord commandeth it not?
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 38] Out of the mouth of the Most High proceedeth not evil and good?
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 39] Wherefore doth a living man complain, a strong man because of his sins?
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 40] Let us search and try our ways, and return to the LORD.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 41] Let us lift up our heart with our hands unto God in the heavens.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 42] We have transgressed and have rebelled; Thou hast not pardoned.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 43] Thou hast covered with anger and pursued us; Thou hast slain unsparingly.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 44] Thou hast covered Thyself with a cloud, so that no prayer can pass through.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 45] Thou hast made us as the offscouring and refuse in the midst of the peoples.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 46] All our enemies have opened their mouth wide against us.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 47] Terror and the pit are come upon us, desolation and destruction.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 48] Mine eye runneth down with rivers of water, for the breach of the daughter of my people.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 49] Mine eye is poured out, and ceaseth not, without any intermission,
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 50] Till the LORD look forth, and behold from heaven.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 51] Mine eye affected my soul, because of all the daughters of my city.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 52] They have chased me sore like a bird, that are mine enemies without cause.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 53] They have cut off my life in the dungeon, and have cast stones upon me.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 54] Waters flowed over my head; I said: 'I am cut off.'
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 55] I called upon Thy name, O LORD, Out of the lowest dungeon.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 56] Thou heardest my voice; hide not Thine ear at my sighing, at my cry.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 57] Thou drewest near in the day that I called upon Thee; Thou saidst: 'Fear not.'
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 58] O Lord, Thou hast pleaded the causes of my soul; Thou hast redeemed my life.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 59] O LORD, Thou hast seen my wrong; judge Thou my cause.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 60] Thou hast seen all their vengeance and all their devices against me.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 61] Thou hast heard their taunt, O LORD, and all their devices against me;
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 62] The lips of those that rose up against me, and their muttering against me all the day.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 63] Behold Thou their sitting down, and their rising up; I am their song.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 64] Thou wilt render unto them a recompense, O LORD, according to the work of their hands.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 65] Thou wilt give them hardness of heart, Thy curse unto them.
[JPS | EN | OT | Lamentations | Chapter 3 | Verse 66] Thou wilt pursue them in anger, and destroy them from under the heavens of the LORD.
