[JPS | EN | OT | Lamentations | Chapter 2 | Verse 1] How hath the Lord covered with a cloud the daughter of Zion in His anger! He hath cast down from heaven unto the earth the beauty of Israel, and hath not remembered His footstool in the day of His anger.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 2] The Lord hath swallowed up unsparingly all the habitations of Jacob; He hath thrown down in His wrath the strongholds of the daughter of Judah; He hath brought them down to the ground; He hath profaned the kingdom and the princes thereof.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 3] He hath cut off in fierce anger all the horn of Israel; He hath drawn back His right hand from before the enemy; and He hath burned in Jacob like a flaming fire, which devoureth round about.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 4] He hath bent His bow like an enemy, standing with His right hand as an adversary, and hath slain all that were pleasant to the eye; in the tent of the daughter of Zion He hath poured out His fury like fire.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 5] The Lord is become as an enemy, He hath swallowed up Israel; He hath swallowed up all her palaces, He hath destroyed his strongholds; and He hath multiplied in the daughter of Judah mourning and moaning.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 6] And He hath stripped His tabernacle, as if it were a garden, He hath destroyed His place of assembly; the LORD hath caused to be forgotten in Zion appointed season and sabbath, and hath rejected in the indignation of His anger the king and the priest.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 7] The Lord hath cast off His altar, He hath abhorred His sanctuary, He hath given up into the hand of the enemy the walls of her palaces; they have made a noise in the house of the LORD, as in the day of a solemn assembly.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 8] The LORD hath purposed to destroy the wall of the daughter of Zion; He hath stretched out the line, He hath not withdrawn His hand from destroying; but He hath made the rampart and wall to mourn, they languish together.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 9] Her gates are sunk into the ground; He hath destroyed and broken her bars; her king and her princes are among the nations, instruction is no more; yea, her prophets find no vision from the LORD.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 10] They sit upon the ground, and keep silence, the elders of the daughter of Zion; they have cast up dust upon their heads, they have girded themselves with sackcloth; the virgins of Jerusalem hang down their heads to the ground.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 11] Mine eyes do fail with tears, mine inwards burn, my liver is poured upon the earth, for the breach of the daughter of my people; because the young children and the sucklings swoon in the broad places of the city.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 12] They say to their mothers: 'Where is corn and wine?' when they swoon as the wounded in the broad places of the city, when their soul is poured out into their mothers' bosom.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 13] What shall I take to witness for thee? What shall I liken to thee, O daughter of Jerusalem? What shall I equal to thee, that I may comfort thee, O virgin daughter of Zion? For thy breach is great like the sea; who can heal thee?
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 14] Thy prophets have seen visions for thee of vanity and delusion; and they have not uncovered thine iniquity, to bring back thy captivity; but have prophesied for thee burdens of vanity and seduction.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 15] All that pass by clap their hands at thee; they hiss and wag their head at the daughter of Jerusalem: 'Is this the city that men called the perfection of beauty, the joy of the whole earth?'
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 16] All thine enemies have opened their mouth wide against thee; they hiss and gnash the teeth; they say: 'We have swallowed her up; certainly this is the day that we looked for; we have found, we have seen it.'
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 17] The LORD hath done that which He devised; He hath performed His word that He commanded in the days of old; He hath thrown down unsparingly; and He hath caused the enemy to rejoice over thee, He hath exalted the horn of thine adversaries.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 18] Their heart cried unto the Lord: 'O wall of the daughter of Zion, let tears run down like a river day and night; give thyself no respite; let not the apple of thine eye cease.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 19] Arise, cry out in the night, at the beginning of the watches; pour out thy heart like water before the face of the Lord; lift up thy hands toward Him for the life of thy young children, that faint for hunger at the head of every street.'
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 20] 'See, O LORD, and consider, to whom Thou hast done thus! Shall the women eat their fruit, the children that are dandled in the hands? Shall the priest and the prophet be slain in the sanctuary of the Lord?
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 21] The youth and the old man lie on the ground in the streets; my virgins and my young men are fallen by the sword; Thou hast slain them in the day of Thine anger; Thou hast slaughtered unsparingly.
[JPS | EN | OT | Lamentations | Chapter 2 | Verse 22] Thou hast called, as in the day of a solemn assembly, my terrors on every side, and there was none in the day of the LORD'S anger that escaped or remained; those that I have dandled and brought up hath mine enemy consumed.'
